"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.26 7:00 PM GMT","Lime Rock Park - Full Course","Global Mazda MX-5 Cup","2018","4","A","3","2162"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","146593","146593","Wolfgang Woehl","1","1","0","Running","-00.000","20","","59.018","58.015","2","20","1","126","0","0","42","DE-AT-CH","4025","4069","11","365","11","374","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","310523","310523","Kirill Antonov","5","2","0","Running","-05.305","0","","59.283","58.466","4","20","0","114","0","0","46","Central-Eastern Europe","3165","3212","11","349","11","360","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","335622","335622","Tim Johansson","2","3","0","Running","-05.586","0","","59.298","58.186","2","20","2","103","0","0","43","Scandinavia","3140","3171","12","464","12","466","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","328860","328860","Gabriel Hendriksz","6","6","0","Running","-12.825","0","","59.659","58.607","3","20","4","91","0","0","1","International Club","2080","2125","10","262","10","266","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","102049","102049","Nico de Koninck","11","9","0","Running","-30.741","0","","1:00.555","59.356","12","20","10","80","0","0","40","Benelux","1663","1707","11","348","11","336","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","334243","334243","Thiago Destro","7","10","0","Running","-31.065","0","","1:00.571","58.880","3","20","10","68","0","0","45","Brazil","1472","1507","6","264","6","262","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","297980","297980","Lautaro De La Iglesia","9","8","0","Running","-31.688","0","","1:00.602","59.434","19","20","10","57","0","0","24","Hispanoamérica","1913","1914","6","255","6","254","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","332417","332417","Benjamin Reig Molero","8","12","0","Running","-34.556","0","","1:00.746","59.235","2","20","9","45","0","0","38","Iberia","1461","1463","7","351","7","346","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","337464","337464","Stuart Ashe","10","11","0","Running","-1 L","0","","1:02.357","1:00.155","3","19","8","34","0","0","36","UK and I","1471","1457","7","350","7","346","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","279219","279219","Jaime Zurita","4","7","0","Running","-2 L","0","","1:00.220","58.245","3","18","3","22","0","0","15","Canada","2008","1957","11","361","11","360","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","290231","290231","Rodolfo Lopes3","3","4","32","Disconnected","-18 L","0","","1:02.122","58.566","2","2","2","11","0","0","45","Brazil","2624","2536","7","322","7","321","Global Mazda MX-5 Cup","100","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","131194","131194","Wojtek Potoczek","12","5","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","0","46","Central-Eastern Europe","2366","2270","15","348","15","348","Global Mazda MX-5 Cup","100","0"
