"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.27 7:00 AM GMT","Lime Rock Park - Full Course","Global Mazda MX-5 Cup","2018","4","A","3","2251"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","50316","50316","Terry Nightingale JR","2","3","0","Running","-00.000","11","","59.212","58.014","2","20","8","128","0","0","34","Australia/NZ","3795","3850","14","273","14","259","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","329254","329254","Bill Wortley","4","5","0","Running","-00.304","0","","59.227","58.434","4","20","2","113","0","0","1","International Club","2353","2423","8","499","8","499","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","38036","38036","Grant Bray","3","4","0","Running","-02.197","0","","59.321","58.252","3","20","4","99","0","0","34","Australia/NZ","3615","3634","20","415","20","407","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","162013","162013","Andries Fourie","9","2","0","Running","-06.341","0","","59.528","58.228","3","20","3","85","0","0","1","International Club","4161","4150","10","282","10","287","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","332918","332918","Colin Norris","5","6","0","Running","-14.873","0","","59.955","58.860","4","20","7","71","0","0","34","Australia/NZ","1517","1554","6","247","6","251","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","293484","293484","Jeremy Matthews2","6","8","0","Running","-25.083","0","","1:00.465","58.989","3","20","3","56","0","0","15","Canada","1381","1403","10","252","10","258","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","340559","340559","Joshua Juliano","8","9","0","Running","-37.132","0","","1:01.068","59.220","2","20","9","42","0","0","6","California Club","","","2","287","2","292","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","212940","212940","Wayne Cummins","1","1","0","Running","-1 L","9","","1:00.221","57.976","2","19","5","28","0","0","34","Australia/NZ","4677","4577","19","371","19","354","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","341073","341073","Brendan Champion","10","10","0","Running","-3 L","0","","1:06.097","1:00.467","2","17","8","14","0","0","34","Australia/NZ","1268","1236","6","267","6","262","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","325089","325089","David Stenger","7","7","32","Disconnected","-12 L","0","","1:00.734","59.099","5","8","2","7","0","0","23","Mid-South","1432","1373","11","368","11","368","Global Mazda MX-5 Cup","100","0"
