"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.30 12:45 AM GMT","Mid-Ohio Sports Car Course - Full Course","IMSA Sportscar Championship","2019","2","N/A","8","1595",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","230867","230867","Rodrigo Pflucker","1","2","0","Running","-00.000","32","","1:19.386","1:17.853","2","34","4","93","10","3","1","International Club","2834","2885","19","319","19","335","IMSA Sportscar Championship","55","0","93"
"2","102","Porsche 911 RSR","100","GTE Class","81551","81551","Matt Spangler","2","3","0","Running","-31.447","2","","1:20.389","1:18.577","2","34","5","83","8","2","20","Ohio","2301","2348","17","186","18","262","IMSA Sportscar Championship","55","0","83"
"3","102","Porsche 911 RSR","100","GTE Class","243805","243805","Alexis Demers","4","1","0","Running","-41.996","0","","1:20.700","1:19.009","2","34","4","74","6","2","15","Canada","2936","2949","20","479","20","477","IMSA Sportscar Championship","55","0","74"
"4","109","BMW M8 GTE","100","GTE Class","296278","296278","Mathew Martell","5","7","0","Running","-1:18.293","0","","1:21.767","1:19.778","3","34","7","65","4","3","29","Midwest","1549","1586","17","168","17","193","IMSA Sportscar Championship","55","0","65"
"5","102","Porsche 911 RSR","100","GTE Class","110233","110233","David Gomez Medina","6","6","0","Running","-1 L","0","","1:22.126","1:19.806","19","33","7","55","2","3","38","Iberia","1776","1786","14","231","14","254","IMSA Sportscar Championship","55","0","55"
"6","93","Ferrari 488 GTE","100","GTE Class","63954","63954","Scott Peterson","9","10","0","Running","-1 L","0","","1:22.159","1:19.974","23","33","1","46","0","5","12","New England","1283","1295","18","292","19","366","IMSA Sportscar Championship","55","0","46"
"7","72","Mercedes AMG GT3","473","IMSA2 GT3","213753","213753","Ke Shao","13","4","0","Running","-1 L","0","","1:23.588","1:21.455","20","33","5","72","2","4","29","Midwest","2041","2091","11","357","11","374","IMSA Sportscar Championship","45","0","72"
"8","93","Ferrari 488 GTE","100","GTE Class","329334","329334","Matthew Badua","7","13","0","Running","-1 L","0","","1:23.630","1:20.322","17","33","11","37","0","8","25","Carolina","831","849","9","160","9","198","IMSA Sportscar Championship","55","0","37"
"9","72","Mercedes AMG GT3","473","IMSA2 GT3","325098","325098","Gregory Armstrong","12","8","0","Running","-1 L","0","","1:23.757","1:21.404","28","33","4","36","0","5","32","West","1500","1504","18","239","18","265","IMSA Sportscar Championship","45","0","36"
"10","93","Ferrari 488 GTE","100","GTE Class","253258","253258","Steven Ford3","10","11","0","Running","-1 L","0","","1:24.040","1:19.925","31","33","13","27","0","8","30","Texas","1173","1155","10","247","10","259","IMSA Sportscar Championship","55","0","27"
"11","102","Porsche 911 RSR","100","GTE Class","298859","298859","Timothy Clouse","11","12","0","Running","-3 L","0","","1:26.749","1:22.610","22","31","6","18","0","7","32","West","1221","1184","20","443","20","435","IMSA Sportscar Championship","55","0","18"
"12","102","Porsche 911 RSR","100","GTE Class","328894","328894","Graham Sanders3","3","5","32","Disconnected","-27 L","0","","1:20.833","1:18.515","2","7","5","9","0","2","32","West","1922","1838","14","232","14","226","IMSA Sportscar Championship","55","0","9"
"13","93","Ferrari 488 GTE","100","GTE Class","174144","174144","Miguel Mier","8","14","32","Disconnected","-30 L","0","","1:23.745","1:20.972","3","4","10","4","0","4","30","Texas","754","705","10","252","10","237","IMSA Sportscar Championship","55","0","4"
"14","72","Mercedes AMG GT3","473","IMSA2 GT3","364754","364754","Andrew Benagh","14","9","32","Disconnected","-31 L","0","","1:37.183","1:27.861","2","3","3","18","0","R","12","New England","1351","1297","11","315","11","312","IMSA Sportscar Championship","45","0","18"
