"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.16 8:45 AM GMT","Sebring International Raceway - International","IMSA Sportscar Championship","2019","2","N/A","1","2638",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","109","BMW M8 GTE","100","GTE Class","147366","147366","Denis Grabovsky","1","1","0","Running","-00.000","24","","1:56.661","1:54.714","9","24","3","177","19","1","46","Central-Eastern Europe","6518","6546","18","264","18","292","IMSA Sportscar Championship","55","0","177"
"2","109","BMW M8 GTE","100","GTE Class","290836","290836","Samuel Frieding","4","12","0","Running","-16.347","0","","1:57.342","1:55.256","6","24","3","167","17","2","42","DE-AT-CH","2897","2987","16","494","16","499","IMSA Sportscar Championship","55","0","167"
"3","102","Porsche 911 RSR","100","GTE Class","309265","309265","Gyumin Kim","2","10","0","Running","-16.652","0","","1:57.355","1:55.228","7","24","8","158","15","2","47","Asia","3312","3381","18","273","18","274","IMSA Sportscar Championship","55","0","158"
"4","93","Ferrari 488 GTE","100","GTE Class","318720","318720","Michele Sangalli","3","4","0","Running","-24.122","0","","1:57.666","1:55.400","15","24","12","149","13","1","41","Italy","4549","4580","19","344","19","324","IMSA Sportscar Championship","55","0","149"
"5","109","BMW M8 GTE","100","GTE Class","249916","249916","Fernando Borda","10","6","0","Running","-31.489","0","","1:57.973","1:55.551","3","24","3","139","11","1","24","Hispanoamérica","3880","3915","18","267","18","292","IMSA Sportscar Championship","55","0","139"
"6","109","BMW M8 GTE","100","GTE Class","270691","270691","Benjamin Erdmann","6","8","0","Running","-34.838","0","","1:58.113","1:55.610","9","24","10","130","9","1","42","DE-AT-CH","3564","3596","18","292","18","276","IMSA Sportscar Championship","55","0","130"
"7","109","BMW M8 GTE","100","GTE Class","137847","137847","Niko Puonti","13","11","0","Running","-46.386","0","","1:58.594","1:56.347","2","24","1","121","7","2","44","Finland","3212","3243","20","417","20","435","IMSA Sportscar Championship","55","0","121"
"8","109","BMW M8 GTE","100","GTE Class","259054","259054","Ángel Molinero Andaluz","14","15","0","Running","-48.430","0","","1:58.679","1:55.784","8","24","9","111","5","2","38","Iberia","2504","2545","18","253","18","249","IMSA Sportscar Championship","55","0","111"
"9","109","BMW M8 GTE","100","GTE Class","46513","46513","Darryn Huxham","17","19","0","Running","-51.110","0","","1:58.790","1:56.377","3","24","6","102","3","3","34","Australia/NZ","2169","2210","20","423","20","419","IMSA Sportscar Championship","55","0","102"
"10","102","Porsche 911 RSR","100","GTE Class","172277","172277","Martin Hamann","11","9","0","Running","-56.359","0","","1:59.009","1:56.479","8","24","4","93","1","2","42","DE-AT-CH","3397","3395","20","447","20","450","IMSA Sportscar Championship","55","0","93"
"11","93","Ferrari 488 GTE","100","GTE Class","224662","224662","Ryan M Clarke","18","17","0","Running","-59.893","0","","1:59.156","1:56.687","11","24","6","83","0","3","15","Canada","2240","2259","18","225","18","245","IMSA Sportscar Championship","55","0","83"
"12","109","BMW M8 GTE","100","GTE Class","248499","248499","Ville Ruola","5","5","0","Running","-1:00.282","0","","1:59.173","1:55.904","5","24","8","74","0","1","44","Finland","4428","4382","19","318","19","318","IMSA Sportscar Championship","55","0","74"
"13","102","Porsche 911 RSR","100","GTE Class","327610","327610","John Agius","16","21","0","Running","-1:04.028","0","","1:59.329","1:56.805","17","24","1","65","0","3","1","International Club","2003","2009","18","245","18","284","IMSA Sportscar Championship","55","0","65"
"14","109","BMW M8 GTE","100","GTE Class","309575","309575","Teddy Leloup","8","14","0","Running","-1:18.973","0","","1:59.952","1:56.589","22","24","9","55","0","2","39","France","2554","2534","19","370","19","355","IMSA Sportscar Championship","55","0","55"
