"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.17 6:45 PM GMT","Sebring International Raceway - International","IMSA Sportscar Championship","2019","2","N/A","1","981",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","109","BMW M8 GTE","100","GTE Class","273694","273694","Landan Nash","29","27","0","Running","-00.000","1","","2:01.342","1:57.798","18","23","12","63","33","8","28","Michigan","817","923","10","282","10","289","IMSA Sportscar Championship","55","0","63"
"2","109","BMW M8 GTE","100","GTE Class","353847","353847","Oh Sang Hoon","1","12","0","Running","-09.700","22","","2:01.765","1:57.999","4","23","9","61","31","6","47","Asia","1153","1233","17","178","17","188","IMSA Sportscar Championship","55","0","61"
"3","93","Ferrari 488 GTE","100","GTE Class","291007","291007","Kenny Maurice","5","9","0","Running","-19.508","0","","2:02.192","1:58.205","6","23","6","59","29","5","39","France","1188","1260","10","215","10","247","IMSA Sportscar Championship","55","0","59"
"4","102","Porsche 911 RSR","100","GTE Class","158305","158305","Fabrice Renault","3","13","0","Running","-29.984","0","","2:02.647","1:58.181","4","23","13","57","27","6","39","France","1153","1221","14","271","14","266","IMSA Sportscar Championship","55","0","57"
"5","109","BMW M8 GTE","100","GTE Class","286224","286224","Joe Myers","19","4","0","Running","-49.899","0","","2:03.512","1:58.636","9","23","12","55","25","5","36","UK and I","1262","1319","15","315","15","313","IMSA Sportscar Championship","55","0","55"
"6","102","Porsche 911 RSR","100","GTE Class","352882","352882","Michael Meyers","8","19","0","Running","-54.946","0","","2:03.732","2:00.030","4","23","9","53","23","7","28","Michigan","1090","1150","18","247","18","246","IMSA Sportscar Championship","55","0","53"
"7","109","BMW M8 GTE","100","GTE Class","332704","332704","Barnabas Rana","25","21","0","Running","-1:08.468","0","","2:04.319","2:00.143","6","23","11","51","21","7","36","UK and I","988","1048","9","188","10","251","IMSA Sportscar Championship","55","0","51"
"8","102","Porsche 911 RSR","100","GTE Class","355673","355673","Jan Andel","13","11","0","Running","-1:15.391","0","","2:04.621","2:00.687","18","23","6","49","19","6","46","Central-Eastern Europe","1162","1206","12","459","12","466","IMSA Sportscar Championship","55","0","49"
"9","102","Porsche 911 RSR","100","GTE Class","354735","354735","Alberto Rajadell","9","22","0","Running","-1:19.271","0","","2:04.790","1:58.862","18","23","11","47","17","7","38","Iberia","946","996","11","318","11","327","IMSA Sportscar Championship","55","0","47"
"10","93","Ferrari 488 GTE","100","GTE Class","363435","363435","Ron Donselaar","20","8","0","Running","-1:26.633","0","","2:05.109","1:59.803","11","23","13","45","15","6","40","Benelux","1213","1243","11","349","11","348","IMSA Sportscar Championship","55","0","45"
"11","109","BMW M8 GTE","100","GTE Class","199511","199511","Tim MacMillan","33","32","0","Running","-1:33.374","0","","2:05.402","1:59.554","18","23","8","43","13","10","22","Florida","502","574","14","220","14","239","IMSA Sportscar Championship","55","0","43"
"12","93","Ferrari 488 GTE","100","GTE Class","325976","325976","Enguerrand Bedoiseau","28","26","0","Running","-1:43.425","0","","2:05.839","1:59.837","20","23","6","42","11","8","34","Australia/NZ","848","887","10","247","10","276","IMSA Sportscar Championship","55","0","42"
"13","93","Ferrari 488 GTE","100","GTE Class","213954","213954","Brian Blackburn","17","2","0","Running","-1:44.048","0","","2:05.867","2:00.391","20","23","10","40","9","5","6","California Club","1269","1278","14","229","14","242","IMSA Sportscar Championship","55","0","40"
"14","93","Ferrari 488 GTE","100","GTE Class","346493","346493","Daniel Newell","4","14","0","Running","-1 L","0","","2:07.413","1:58.190","3","22","11","38","7","5","27","Indiana","1153","1162","14","235","14","242","IMSA Sportscar Championship","55","0","38"
"15","93","Ferrari 488 GTE","100","GTE Class","339897","339897","Dennis Ganzhorn","21","15","0","Running","-1 L","0","","2:07.668","1:59.509","8","22","13","36","5","6","43","Scandinavia","1148","1152","14","236","14","238","IMSA Sportscar Championship","55","0","36"
"16","102","Porsche 911 RSR","100","GTE Class","331040","331040","Marcos Luque Gimenez","7","5","0","Running","-1 L","0","","2:08.213","1:59.612","20","22","14","34","3","5","38","Iberia","1251","1245","13","167","13","175","IMSA Sportscar Championship","55","0","34"
"17","109","BMW M8 GTE","100","GTE Class","354771","354771","Sérgio Silva","18","3","0","Running","-1 L","0","","2:08.567","2:01.140","5","22","13","32","1","5","38","Iberia","1267","1254","10","286","10","289","IMSA Sportscar Championship","55","0","32"
"18","102","Porsche 911 RSR","100","GTE Class","348292","348292","Antti Apilainen","26","24","0","Running","-1 L","0","","2:11.155","2:03.538","6","22","15","30","0","8","44","Finland","923","922","14","243","14","237","IMSA Sportscar Championship","55","0","30"
"19","93","Ferrari 488 GTE","100","GTE Class","339100","339100","Jonas Firavicius2","27","25","0","Running","-2 L","0","","2:14.026","2:05.529","15","21","16","28","0","8","36","UK and I","856","854","15","349","15","327","IMSA Sportscar Championship","55","0","28"
"20","109","BMW M8 GTE","100","GTE Class","268479","268479","PEREZ laurent","32","31","0","Running","-2 L","0","","2:10.172","2:01.562","10","21","9","26","0","8","39","France","694","697","10","267","10","280","IMSA Sportscar Championship","55","0","26"
