"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.20 4:45 AM GMT","Watkins Glen International - Boot","IMSA Sportscar Championship","2019","2","N/A","2","1254",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","102","Porsche 911 RSR","100","GTE Class","259040","259040","John Hurley","3","3","0","Running","-00.000","7","","1:46.543","1:44.425","18","26","1","80","33","3","25","Carolina","1616","1696","14","240","14","271","IMSA Sportscar Championship","55","0","80"
"2","109","BMW M8 GTE","100","GTE Class","178727","178727","Michael R Mueller","2","10","0","Running","-08.185","0","","1:46.858","1:44.353","13","26","9","77","31","4","22","Florida","1505","1583","11","367","11","365","IMSA Sportscar Championship","55","0","77"
"3","109","BMW M8 GTE","100","GTE Class","255925","255925","Ken Ladd","1","14","0","Running","-09.687","19","","1:46.915","1:44.034","2","26","2","75","29","6","22","Florida","1439","1514","15","367","15","383","IMSA Sportscar Championship","55","0","75"
"4","102","Porsche 911 RSR","100","GTE Class","289510","289510","Caleb Finn","8","24","0","Running","-17.509","0","","1:47.216","1:44.777","2","26","3","72","27","7","21","Georgia","1127","1212","12","425","12","435","IMSA Sportscar Championship","55","0","72"
"5","109","BMW M8 GTE","100","GTE Class","223480","223480","Tyler Lugo-Vickery","5","23","0","Running","-18.107","0","","1:47.239","1:45.295","14","26","8","70","25","7","22","Florida","1258","1330","10","291","11","343","IMSA Sportscar Championship","55","0","70"
"6","109","BMW M8 GTE","100","GTE Class","346796","346796","Lauren Manuel Garcia Carro","4","2","0","Running","-20.237","0","","1:47.321","1:44.575","2","26","3","67","23","4","23","Mid-South","1626","1676","14","231","14","255","IMSA Sportscar Championship","55","0","67"
"7","102","Porsche 911 RSR","100","GTE Class","266622","266622","Brian Martin7","7","8","0","Running","-44.820","0","","1:48.266","1:45.405","5","26","8","65","21","4","22","Florida","1527","1575","14","220","14","232","IMSA Sportscar Championship","55","0","65"
"8","109","BMW M8 GTE","100","GTE Class","310160","310160","Logan Gary","33","27","0","Running","-46.699","0","","1:48.338","1:44.974","13","26","2","63","19","8","34","Australia/NZ","972","1042","14","270","14","295","IMSA Sportscar Championship","55","0","63"
"9","93","Ferrari 488 GTE","100","GTE Class","296388","296388","Mark Fisher6","26","9","0","Running","-47.710","0","","1:48.480","1:44.751","13","26","4","60","17","5","32","West","1506","1543","19","313","19","321","IMSA Sportscar Championship","55","0","60"
"10","109","BMW M8 GTE","100","GTE Class","324753","324753","Scott Curtis","6","12","0","Running","-54.878","0","","1:48.653","1:45.644","13","26","9","58","15","6","36","UK and I","1453","1487","19","349","19","330","IMSA Sportscar Championship","55","0","58"
"11","93","Ferrari 488 GTE","100","GTE Class","346579","346579","Alan Lee2","23","28","0","Running","-1:09.619","0","","1:49.220","1:45.400","19","26","3","55","13","7","33","Northwest","831","893","18","226","18","245","IMSA Sportscar Championship","55","0","55"
"12","109","BMW M8 GTE","100","GTE Class","167962","167962","Byron Rodney","19","29","0","Running","-1:17.082","0","","1:49.507","1:46.410","16","26","6","53","11","7","6","California Club","953","1001","19","395","19","382","IMSA Sportscar Championship","55","0","53"
"13","93","Ferrari 488 GTE","100","GTE Class","321208","321208","Gerardo Martinez Duran","18","30","0","Running","-1:19.946","0","","1:49.617","1:46.430","25","26","4","50","9","8","24","Hispanoamérica","889","935","15","336","15","347","IMSA Sportscar Championship","55","0","50"
"14","102","Porsche 911 RSR","100","GTE Class","328323","328323","Marc Paragas","16","26","0","Running","-1:20.214","0","","1:49.555","1:46.631","26","26","11","48","7","7","30","Texas","1009","1042","9","150","9","174","IMSA Sportscar Championship","55","0","48"
"15","109","BMW M8 GTE","100","GTE Class","136485","136485","Nathan Wingnut","12","13","0","Running","-1:22.606","0","","1:48.760","1:45.055","14","26","15","46","5","4","34","Australia/NZ","1444","1449","14","220","14","213","IMSA Sportscar Championship","55","0","46"
"16","109","BMW M8 GTE","100","GTE Class","227915","227915","Kevin Paskawych","31","21","0","Running","-1:40.327","0","","1:50.401","1:46.613","13","26","10","43","3","5","20","Ohio","1293","1299","14","217","14","220","IMSA Sportscar Championship","55","0","43"
"17","93","Ferrari 488 GTE","100","GTE Class","355671","355671","Pearson Story","17","22","0","Running","-1 L","0","","1:51.714","1:46.728","4","25","12","41","1","5","32","West","1275","1276","11","337","11","336","IMSA Sportscar Championship","55","0","41"
"18","109","BMW M8 GTE","100","GTE Class","304881","304881","Richard Gortatowsky","29","17","0","Running","-1 L","0","","1:51.984","1:47.086","7","25","4","38","0","4","14","New York","1360","1352","14","243","14","262","IMSA Sportscar Championship","55","0","38"
"19","102","Porsche 911 RSR","100","GTE Class","282950","282950","Michael R Anderson","22","18","29","Disqualified","-2 L","0","","1:51.863","1:46.336","6","24","17","36","0","5","33","Northwest","1344","1331","14","205","13","154","IMSA Sportscar Championship","55","0","36"
"20","93","Ferrari 488 GTE","100","GTE Class","342162","342162","Sebastian Stick","32","25","29","Disqualified","-2 L","0","","1:53.513","1:47.007","24","24","17","33","0","5","34","Australia/NZ","1047","1043","10","243","10","238","IMSA Sportscar Championship","55","0","33"
"21","93","Ferrari 488 GTE","100","GTE Class","314419","314419","Andrew Jung","11","20","32","Disconnected","-7 L","0","","1:47.611","1:44.552","5","19","7","31","0","4","34","Australia/NZ","1326","1302","14","233","14","237","IMSA Sportscar Championship","55","0","31"
"22","102","Porsche 911 RSR","100","GTE Class","282947","282947","Zack Holland","20","4","0","Running","-8 L","0","","2:36.473","1:47.036","10","18","7","29","0","4","33","Northwest","1590","1548","14","225","14","228","IMSA Sportscar Championship","55","0","29"
"23","102","Porsche 911 RSR","100","GTE Class","256359","256359","Bradley Dunkerley","34","34","32","Disconnected","-9 L","0","","1:48.010","1:44.561","14","17","3","26","0","9","34","Australia/NZ","590","598","10","242","10","259","IMSA Sportscar Championship","55","0","26"
"24","93","Ferrari 488 GTE","100","GTE Class","80110","80110","Rob Hruska","30","19","32","Disconnected","-10 L","0","","1:49.617","1:46.335","6","16","8","24","0","4","25","Carolina","1328","1286","14","227","14","227","IMSA Sportscar Championship","55","0","24"
"25","92","Ford GT - 2017","100","GTE Class","332374","332374","Peyton Taylor","24","33","32","Disconnected","-10 L","0","","1:57.729","1:47.162","13","16","12","21","0","8","25","Carolina","752","737","10","258","10","252","IMSA Sportscar Championship","55","0","21"
"26","102","Porsche 911 RSR","100","GTE Class","111720","111720","Rene Oliveira Leal","28","16","32","Disconnected","-16 L","0","","1:51.012","1:44.968","2","10","7","19","0","4","45","Brazil","1378","1322","15","331","15","320","IMSA Sportscar Championship","55","0","19"
"27","93","Ferrari 488 GTE","100","GTE Class","308594","308594","Joshua Collins2","21","11","32","Disconnected","-19 L","0","","1:47.130","1:45.910","3","7","5","16","0","4","30","Texas","1487","1420","18","260","18","243","IMSA Sportscar Championship","55","0","16"
"28","92","Ford GT - 2017","100","GTE Class","225716","225716","Rod Lynne","25","7","32","Disconnected","-22 L","0","","1:55.417","1:46.750","3","4","6","14","0","4","34","Australia/NZ","1536","1461","15","350","15","337","IMSA Sportscar Championship","55","0","14"
"29","109","BMW M8 GTE","100","GTE Class","348392","348392","Jordan Sinibaldi","13","31","32","Disconnected","-23 L","0","","2:01.345","1:46.828","2","3","7","12","0","7","28","Michigan","787","747","14","242","14","228","IMSA Sportscar Championship","55","0","12"
"30","109","BMW M8 GTE","100","GTE Class","224011","224011","JF Godin","9","1","32","Disconnected","-25 L","0","","00.000","","","1","4","9","0","4","15","Canada","1648","1557","19","356","19","339","IMSA Sportscar Championship","55","0","9"
"31","109","BMW M8 GTE","100","GTE Class","320083","320083","Tyler Mills","10","6","32","Disconnected","-26 L","0","","00.000","","","0","4","0","0","4","32","West","1574","1473","15","341","15","330","IMSA Sportscar Championship","55","0","0"
"32","109","BMW M8 GTE","100","GTE Class","31039","31039","Kennan Miller","14","5","32","Disconnected","-26 L","0","","00.000","","","0","4","0","0","4","17","Virginias","1589","1487","11","346","11","338","IMSA Sportscar Championship","55","0","0"
"33","102","Porsche 911 RSR","100","GTE Class","361467","361467","Elijah Mitchell","15","32","32","Disconnected","-26 L","0","","00.000","","","0","4","0","0","8","32","West","757","694","14","274","14","262","IMSA Sportscar Championship","55","0","0"
"34","109","BMW M8 GTE","100","GTE Class","44403","44403","Shawn Begg","27","15","32","Disconnected","-26 L","0","","00.000","","","0","4","0","0","5","15","Canada","1415","1320","19","374","19","355","IMSA Sportscar Championship","55","0","0"
