"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.23 8:45 PM GMT","Watkins Glen International - Boot","IMSA Sportscar Championship","2019","2","N/A","2","3071",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","18900","18900","Doug Doster","1","25","0","Running","-00.000","21","","1:44.040","1:40.452","3","26","7","77","4","2","31","Great Plains","2706","2748","20","444","20","429","IMSA Sportscar Championship","60","0","77"
"2","109","BMW M8 GTE","100","GTE Class","252689","252689","Ricardo  Rico","6","4","0","Running","-22.690","3","","1:44.912","1:42.865","6","26","9","236","15","1","38","Iberia","5589","5654","25","161","25","149","IMSA Sportscar Championship","55","0","236"
"3","102","Porsche 911 RSR","100","GTE Class","294483","294483","Tuomas Tähtelä","8","1","0","Running","-30.026","2","","1:45.194","1:42.656","2","26","6","220","13","1","44","Finland","6214","6254","25","164","25","169","IMSA Sportscar Championship","55","0","220"
"4","93","Ferrari 488 GTE","100","GTE Class","221352","221352","Ahmed Elbaz","10","10","0","Running","-33.970","0","","1:45.346","1:42.845","2","26","13","204","11","1","1","International Club","4246","4316","17","138","17","132","IMSA Sportscar Championship","55","0","204"
"5","109","BMW M8 GTE","100","GTE Class","240638","240638","Erick Goldner","7","3","0","Running","-37.202","0","","1:45.470","1:43.035","4","26","3","188","9","1","45","Brazil","5595","5623","26","212","26","229","IMSA Sportscar Championship","55","0","188"
"6","102","Porsche 911 RSR","100","GTE Class","108880","108880","Sean McBeth","15","14","0","Running","-47.616","0","","1:45.871","1:43.477","5","26","4","173","7","1","6","California Club","3715","3774","18","231","18","246","IMSA Sportscar Championship","55","0","173"
"7","102","Porsche 911 RSR","100","GTE Class","116725","116725","Nilton Carvalho","14","11","0","Running","-51.524","0","","1:46.021","1:43.712","7","26","1","157","5","1","36","UK and I","3885","3927","19","349","19","368","IMSA Sportscar Championship","55","0","157"
"8","93","Ferrari 488 GTE","100","GTE Class","229035","229035","Llyr Hughes","17","5","0","Running","-52.287","0","","1:46.050","1:43.710","5","26","4","141","3","1","36","UK and I","5292","5290","20","445","20","443","IMSA Sportscar Championship","55","0","141"
"9","109","BMW M8 GTE","100","GTE Class","308108","308108","Rafael Bervanger.","11","7","0","Running","-53.357","0","","1:46.092","1:43.426","5","26","10","125","1","1","45","Brazil","4890","4884","19","321","19","307","IMSA Sportscar Championship","55","0","125"
"10","93","Ferrari 488 GTE","100","GTE Class","152944","152944","Scott Brazier","9","2","0","Running","-56.012","0","","1:46.194","1:43.050","7","26","16","110","0","1","36","UK and I","5982","5941","17","123","17","112","IMSA Sportscar Championship","55","0","110"
"11","93","Ferrari 488 GTE","100","GTE Class","21560","21560","Chris Warner","18","21","0","Running","-58.331","0","","1:46.283","1:43.800","9","26","6","94","0","2","36","UK and I","3138","3149","18","285","18","284","IMSA Sportscar Championship","55","0","94"
"12","93","Ferrari 488 GTE","100","GTE Class","84104","84104","Marco Testani","20","20","0","Running","-1:07.374","0","","1:46.630","1:43.967","5","26","3","78","0","2","41","Italy","3143","3142","18","261","18","279","IMSA Sportscar Championship","55","0","78"
"13","102","Porsche 911 RSR","100","GTE Class","238492","238492","Federico Alonso","12","12","0","Running","-1:09.941","0","","1:46.729","1:43.391","5","26","7","62","0","1","24","Hispanoamérica","3867","3835","19","323","19","317","IMSA Sportscar Championship","55","0","62"
"14","102","Porsche 911 RSR","100","GTE Class","213667","213667","Francesco Faustini","19","16","0","Running","-1:14.048","0","","1:46.887","1:44.189","18","26","6","47","0","1","41","Italy","3562","3526","16","456","16","451","IMSA Sportscar Championship","55","0","47"
"15","109","BMW M8 GTE","100","GTE Class","249076","249076","Simon Schaedlich","21","19","0","Running","-1:24.416","0","","1:47.286","1:44.191","6","26","10","31","0","2","42","DE-AT-CH","3179","3140","19","374","19","347","IMSA Sportscar Championship","55","0","31"
"16","72","Mercedes AMG GT3","473","IMSA2 GT3","324806","324806","Anton Steiner","22","6","0","Running","-1 L","0","","1:48.622","1:45.486","2","25","0","169","14","1","42","DE-AT-CH","5283","5324","20","499","20","499","IMSA Sportscar Championship","45","0","169"
"17","72","Mercedes AMG GT3","473","IMSA2 GT3","321523","321523","Pascal Hoffmann","26","17","0","Running","-1 L","0","","1:49.509","1:45.578","7","25","15","156","12","3","42","DE-AT-CH","3478","3544","19","376","19","326","IMSA Sportscar Championship","45","0","156"
