"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.31 8:45 PM GMT","Homestead Miami Speedway - Road Course B","IMSA Sportscar Championship","2019","2","N/A","3","1188",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","102","Porsche 911 RSR","100","GTE Class","318736","318736","Juan Maria2","8","11","0","Running","-00.000","11","","1:15.565","1:12.926","2","36","8","75","28","4","38","Iberia","1362","1449","10","243","10","267","IMSA Sportscar Championship","55","0","75"
"2","102","Porsche 911 RSR","100","GTE Class","330418","330418","Sven Bentmann","27","24","0","Running","-10.880","0","","1:16.117","1:13.473","12","36","16","72","26","6","42","DE-AT-CH","940","1042","11","309","11","307","IMSA Sportscar Championship","55","0","72"
"3","102","Porsche 911 RSR","100","GTE Class","364623","364623","Alex Delgado","2","9","0","Running","-12.197","0","","1:16.155","1:13.099","30","36","12","69","24","3","38","Iberia","1412","1483","11","343","11","346","IMSA Sportscar Championship","55","0","69"
"4","109","BMW M8 GTE","100","GTE Class","114460","114460","Lukasz M Derejski","10","3","0","Running","-21.780","1","","1:16.420","1:13.498","22","36","10","66","22","4","36","UK and I","1702","1754","19","328","19","317","IMSA Sportscar Championship","55","0","66"
"5","109","BMW M8 GTE","100","GTE Class","361865","361865","Chris Arendsen","9","18","0","Running","-32.322","0","","1:16.713","1:14.065","11","36","10","64","20","5","42","DE-AT-CH","1176","1244","10","263","10","281","IMSA Sportscar Championship","55","0","64"
"6","102","Porsche 911 RSR","100","GTE Class","312772","312772","Osmar Schultz","7","13","0","Running","-40.127","0","","1:16.930","1:13.357","2","36","6","61","18","4","45","Brazil","1339","1392","20","403","19","358","IMSA Sportscar Championship","55","0","61"
"7","109","BMW M8 GTE","100","GTE Class","367366","367366","Jason Smith25","13","21","0","Running","-48.601","0","","1:17.165","1:14.579","29","36","8","58","16","5","12","New England","1039","1101","19","330","19","327","IMSA Sportscar Championship","55","0","58"
"8","92","Ford GT - 2017","100","GTE Class","135319","135319","Joshua Borje-Bonkowski","23","27","0","Running","-48.635","0","","1:17.166","1:14.609","19","36","16","56","14","6","32","West","606","690","14","224","14","223","IMSA Sportscar Championship","55","0","56"
"9","109","BMW M8 GTE","100","GTE Class","332428","332428","Jens Wolters","12","5","0","Running","-1:14.541","0","","1:17.886","1:14.407","30","36","6","53","12","R","42","DE-AT-CH","1578","1600","11","323","11","341","IMSA Sportscar Championship","55","0","53"
"10","102","Porsche 911 RSR","100","GTE Class","356844","356844","Ceso Bagay","15","16","0","Running","-1:14.713","0","","1:17.891","1:14.211","2","36","10","50","10","5","6","California Club","1198","1231","11","342","11","350","IMSA Sportscar Championship","55","0","50"
"11","109","BMW M8 GTE","100","GTE Class","261656","261656","Carsten Knoll","26","23","0","Running","-1 L","0","","1:18.562","1:14.426","14","35","4","48","8","7","42","DE-AT-CH","1008","1044","14","221","14","249","IMSA Sportscar Championship","55","0","48"
"12","93","Ferrari 488 GTE","100","GTE Class","348723","348723","Thomas Kleindopf","19","26","0","Running","-1 L","0","","1:18.843","1:14.889","21","35","11","45","6","8","42","DE-AT-CH","717","765","11","312","11","321","IMSA Sportscar Championship","55","0","45"
"13","102","Porsche 911 RSR","100","GTE Class","340516","340516","Harald Sonnberger","14","17","0","Running","-1 L","0","","1:18.921","1:13.758","35","35","9","42","4","6","42","DE-AT-CH","1178","1191","11","341","11","349","IMSA Sportscar Championship","55","0","42"
"14","93","Ferrari 488 GTE","100","GTE Class","356273","356273","Christer Andersson2","21","20","0","Running","-1 L","0","","1:19.055","1:14.464","21","35","6","40","2","7","43","Scandinavia","1048","1061","15","331","15","342","IMSA Sportscar Championship","55","0","40"
"15","93","Ferrari 488 GTE","100","GTE Class","296718","296718","Joseph Carr","20","22","0","Running","-1 L","0","","1:19.830","1:14.311","26","35","11","37","0","6","32","West","1026","1034","13","187","13","199","IMSA Sportscar Championship","55","0","37"
"16","109","BMW M8 GTE","100","GTE Class","365683","365683","Daniel Balsa3","25","19","0","Running","-1 L","0","","1:19.928","1:14.424","31","35","16","34","0","5","45","Brazil","1118","1115","11","329","11","323","IMSA Sportscar Championship","55","0","34"
"17","109","BMW M8 GTE","100","GTE Class","312122","312122","Antoine Allard","18","7","0","Running","-1 L","0","","1:19.954","1:14.258","3","35","16","32","0","6","15","Canada","1534","1504","11","380","11","365","IMSA Sportscar Championship","55","0","32"
"18","109","BMW M8 GTE","100","GTE Class","336108","336108","Brendon Chantler2","6","4","0","Running","-2 L","0","","1:17.103","1:13.831","34","34","5","29","0","4","1","International Club","1646","1604","11","327","11","345","IMSA Sportscar Championship","55","0","29"
"19","102","Porsche 911 RSR","100","GTE Class","261863","261863","Andre Gomes4","3","12","0","Running","-2 L","1","","1:14.911","1:12.877","19","34","10","26","0","4","38","Iberia","1352","1316","14","273","14","274","IMSA Sportscar Championship","55","0","26"
"20","93","Ferrari 488 GTE","100","GTE Class","205291","205291","Stijn Hendriks","1","6","29","Disqualified","-3 L","2","","1:16.049","1:13.433","2","33","17","24","0","5","40","Benelux","1548","1497","11","372","11","356","IMSA Sportscar Championship","55","0","24"
"21","109","BMW M8 GTE","100","GTE Class","353847","353847","Oh Sang Hoon","4","8","0","Running","-4 L","21","","1:15.758","1:13.236","6","32","11","21","0","6","47","Asia","1430","1377","17","153","17","153","IMSA Sportscar Championship","55","0","21"
"22","109","BMW M8 GTE","100","GTE Class","318274","318274","Alessandro Tortorella","17","10","0","Running","-9 L","0","","1:43.925","1:14.815","7","27","15","18","0","5","41","Italy","1389","1331","19","301","18","233","IMSA Sportscar Championship","55","0","18"
"23","109","BMW M8 GTE","100","GTE Class","200335","200335","Christopher Flamion","16","1","32","Disconnected","-14 L","0","","1:20.210","1:14.392","5","22","14","16","0","3","26","Illinois","1815","1733","14","233","14","218","IMSA Sportscar Championship","55","0","16"
"24","109","BMW M8 GTE","100","GTE Class","199006","199006","Ian Mccarthy","24","25","29","Disqualified","-17 L","0","","1:17.064","1:14.603","17","19","17","13","0","7","36","UK and I","787","748","9","141","9","140","IMSA Sportscar Championship","55","0","13"
"25","102","Porsche 911 RSR","100","GTE Class","107159","107159","Sergio Pasian","22","15","32","Disconnected","-20 L","0","","1:18.111","1:14.258","16","16","7","10","0","5","15","Canada","1230","1159","11","324","11","322","IMSA Sportscar Championship","55","0","10"
"26","109","BMW M8 GTE","100","GTE Class","242873","242873","Derek Carmenate","29","29","32","Disconnected","-22 L","0","","1:22.790","1:14.151","6","14","13","8","0","9","22","Florida","500","469","10","204","9","162","IMSA Sportscar Championship","55","0","8"
"27","109","BMW M8 GTE","100","GTE Class","360361","360361","David Moore10","11","14","32","Disconnected","-32 L","0","","5:53.786","1:14.415","3","4","9","5","0","6","6","California Club","1281","1193","11","386","11","366","IMSA Sportscar Championship","55","0","5"
"28","102","Porsche 911 RSR","100","GTE Class","33003","33003","Leandro Lage","5","2","32","Disconnected","-35 L","0","","00.000","","","1","4","2","0","3","45","Brazil","1810","1693","18","249","18","233","IMSA Sportscar Championship","55","0","2"
