"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.08 4:45 PM GMT","Autodromo Nazionale Monza - Grand Prix","IMSA Sportscar Championship","2019","2","N/A","4","3382",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","289017","289017","Tommy Mikael Unhola","1","6","0","Running","-00.000","13","","1:44.400","1:41.819","4","26","8","138","2","1","44","Finland","4581","4629","20","437","20","418","IMSA Sportscar Championship","60","0","138"
"2","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","242569","242569","Gilles Le Blanc","2","5","0","Running","-04.184","12","","1:44.561","1:42.076","20","26","3","69","0","1","15","Canada","4621","4603","16","447","16","452","IMSA Sportscar Championship","60","0","69"
"3","93","Ferrari 488 GTE","100","GTE Class","261900","261900","Arthur Lehouck","4","1","0","Running","-1:02.594","1","","1:46.808","1:44.282","4","26","2","237","19","1","39","France","6989","7027","25","130","25","156","IMSA Sportscar Championship","55","0","237"
"4","93","Ferrari 488 GTE","100","GTE Class","248410","248410","Axel Aire","6","10","0","Running","-1:02.991","0","","1:46.823","1:44.313","5","26","4","224","17","1","39","France","4189","4273","17","154","17","177","IMSA Sportscar Championship","55","0","224"
"5","109","BMW M8 GTE","100","GTE Class","136965","136965","Ivo Howeller","5","2","0","Running","-1:06.927","0","","1:46.974","1:44.395","2","26","2","212","15","1","42","DE-AT-CH","6241","6271","26","201","26","221","IMSA Sportscar Championship","55","0","212"
"6","93","Ferrari 488 GTE","100","GTE Class","306354","306354","Jesse Kramer","7","18","0","Running","-1:08.272","0","","1:47.026","1:44.429","8","26","10","199","13","1","40","Benelux","3667","3744","13","133","13","147","IMSA Sportscar Championship","55","0","199"
"7","93","Ferrari 488 GTE","100","GTE Class","221352","221352","Ahmed Elbaz","10","14","0","Running","-1:17.827","0","","1:47.393","1:44.464","3","26","11","187","11","1","1","International Club","3859","3921","13","134","13","145","IMSA Sportscar Championship","55","0","187"
"8","93","Ferrari 488 GTE","100","GTE Class","277400","277400","Nick Madsen","9","13","0","Running","-1:18.986","0","","1:47.438","1:44.372","2","26","12","174","9","2","43","Scandinavia","4099","4145","15","343","15","329","IMSA Sportscar Championship","55","0","174"
"9","93","Ferrari 488 GTE","100","GTE Class","318720","318720","Michele Sangalli","11","4","0","Running","-1:22.079","0","","1:47.557","1:44.843","3","26","8","162","7","1","41","Italy","5077","5090","17","106","17","120","IMSA Sportscar Championship","55","0","162"
"10","93","Ferrari 488 GTE","100","GTE Class","344936","344936","Duh Crni","23","12","0","Running","-1:22.882","0","","1:47.587","1:44.679","5","26","9","149","5","1","1","International Club","4002","4031","19","324","19","310","IMSA Sportscar Championship","55","0","149"
