"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.11 10:45 AM GMT","Circuit de Spa-Francorchamps - Endurance","IMSA Sportscar Championship","2019","2","N/A","5","2778",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","78137","78137","Yannick  Lapchin","2","1","0","Running","-00.000","17","","2:14.081","2:10.608","2","21","7","188","32","1","39","France","7005","7032","26","211","26","219","IMSA Sportscar Championship","55","0","188"
"2","93","Ferrari 488 GTE","100","GTE Class","318053","318053","Carlos Fenollosa F.","3","4","0","Running","-06.595","0","","2:14.395","2:10.621","5","21","7","182","30","1","38","Iberia","4903","4955","17","157","17","184","IMSA Sportscar Championship","55","0","182"
"3","93","Ferrari 488 GTE","100","GTE Class","216941","216941","Aitor Lejarraga","4","14","0","Running","-12.353","0","","2:14.669","2:11.050","2","21","9","176","28","1","38","Iberia","3747","3817","17","150","17","171","IMSA Sportscar Championship","55","0","176"
"4","93","Ferrari 488 GTE","100","GTE Class","342465","342465","Dominic Ferraris","6","17","0","Running","-20.890","0","","2:15.075","2:11.267","2","21","8","170","26","2","34","Australia/NZ","3152","3231","17","145","17","171","IMSA Sportscar Championship","55","0","170"
"5","93","Ferrari 488 GTE","100","GTE Class","254796","254796","Miguel Carvalho2","5","19","0","Running","-23.486","0","","2:15.199","2:11.862","3","21","12","164","24","2","38","Iberia","2866","2947","17","108","17","130","IMSA Sportscar Championship","55","0","164"
"6","109","BMW M8 GTE","100","GTE Class","170557","170557","Dali Jankovic2","10","6","0","Running","-24.485","0","","2:15.246","2:11.675","5","21","11","158","22","1","43","Scandinavia","4561","4595","19","313","19","304","IMSA Sportscar Championship","55","0","158"
"7","109","BMW M8 GTE","100","GTE Class","17580","17580","Matteo Calestani","8","3","0","Running","-26.854","0","","2:15.359","2:11.550","2","21","11","152","20","1","41","Italy","5393","5406","18","241","18","239","IMSA Sportscar Championship","55","0","152"
"8","102","Porsche 911 RSR","100","GTE Class","16668","16668","Antti Levoska","12","7","0","Running","-28.201","0","","2:15.423","2:11.909","15","21","13","146","18","1","44","Finland","4539","4562","19","346","19","322","IMSA Sportscar Championship","55","0","146"
"9","109","BMW M8 GTE","100","GTE Class","316492","316492","Klaus-Dietrich Schulze","11","12","0","Running","-31.352","0","","2:15.573","2:12.168","12","21","14","141","16","1","42","DE-AT-CH","3876","3907","18","244","18","231","IMSA Sportscar Championship","55","0","141"
"10","102","Porsche 911 RSR","100","GTE Class","30662","30662","Justin Strickland","13","23","0","Running","-32.397","0","","2:15.623","2:11.837","6","21","11","135","14","2","34","Australia/NZ","2521","2581","18","256","18","252","IMSA Sportscar Championship","55","0","135"
"11","93","Ferrari 488 GTE","100","GTE Class","228806","228806","Mathieu NEU","15","15","0","Running","-32.842","1","","2:15.644","2:12.037","6","21","11","129","12","2","39","France","3206","3241","20","440","20","415","IMSA Sportscar Championship","55","0","129"
"12","102","Porsche 911 RSR","100","GTE Class","135597","135597","Johan Hellemans","17","21","0","Running","-43.557","0","","2:16.154","2:12.459","8","21","6","123","10","2","40","Benelux","2597","2643","18","250","18","267","IMSA Sportscar Championship","55","0","123"
"13","93","Ferrari 488 GTE","100","GTE Class","222806","222806","Iñigo Bea","24","11","0","Running","-52.081","0","","2:16.560","2:12.478","19","21","9","117","8","1","38","Iberia","3883","3889","20","474","20","448","IMSA Sportscar Championship","55","0","117"
"14","93","Ferrari 488 GTE","100","GTE Class","262194","262194","Antonio Nespereira Lage2","19","13","0","Running","-53.369","0","","2:16.621","2:12.005","6","21","16","111","6","2","38","Iberia","3812","3814","11","327","11","328","IMSA Sportscar Championship","55","0","111"
"15","93","Ferrari 488 GTE","100","GTE Class","202398","202398","Juan Aragones","20","22","0","Running","-58.202","0","","2:16.851","2:12.920","8","21","6","105","4","2","38","Iberia","2578","2606","19","338","19","343","IMSA Sportscar Championship","55","0","105"
"16","102","Porsche 911 RSR","100","GTE Class","299178","299178","Bernd Halbeisen2","22","16","0","Running","-58.740","0","","2:16.877","2:12.651","8","21","11","99","2","2","42","DE-AT-CH","3158","3164","19","378","19","351","IMSA Sportscar Championship","55","0","99"
