"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.11 12:45 PM GMT","Circuit de Spa-Francorchamps - Endurance","IMSA Sportscar Championship","2019","2","N/A","5","1260",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","109","BMW M8 GTE","100","GTE Class","167075","167075","Simon Ermisch","1","5","0","Running","-00.000","18","","2:17.090","2:13.670","3","20","6","80","30","4","42","DE-AT-CH","1655","1733","13","183","14","263","IMSA Sportscar Championship","55","0","80"
"2","93","Ferrari 488 GTE","100","GTE Class","353745","353745","Miguel Sanchez3","2","3","0","Running","-03.533","0","","2:17.267","2:14.111","2","20","14","77","28","5","38","Iberia","1658","1730","17","119","17","125","IMSA Sportscar Championship","55","0","77"
"3","109","BMW M8 GTE","100","GTE Class","331333","331333","Robert Blackmore","14","9","0","Running","-22.317","0","","2:18.205","2:14.459","11","20","6","74","26","5","36","UK and I","1544","1614","18","252","18","269","IMSA Sportscar Championship","55","0","74"
"4","109","BMW M8 GTE","100","GTE Class","290973","290973","Christoph Steiner","13","18","0","Running","-23.752","0","","2:18.277","2:14.607","2","20","13","72","24","4","42","DE-AT-CH","1303","1377","14","255","14","255","IMSA Sportscar Championship","55","0","72"
"5","102","Porsche 911 RSR","100","GTE Class","78055","78055","Atsushi Kanata","5","28","0","Running","-30.675","0","","2:18.624","2:14.836","11","20","10","69","22","7","47","Asia","913","1002","17","129","17","150","IMSA Sportscar Championship","55","0","69"
"6","93","Ferrari 488 GTE","100","GTE Class","324011","324011","Cesar De los Santos","12","7","0","Running","-31.101","2","","2:18.645","2:14.553","8","20","2","66","20","4","24","Hispanoamérica","1571","1620","18","252","18","285","IMSA Sportscar Championship","55","0","66"
"7","102","Porsche 911 RSR","100","GTE Class","283437","283437","Wouter Bakker","15","13","0","Running","-39.960","0","","2:19.087","2:15.605","12","20","13","64","18","4","40","Benelux","1445","1493","10","261","10","273","IMSA Sportscar Championship","55","0","64"
"8","109","BMW M8 GTE","100","GTE Class","352260","352260","Jonathan Poulet","26","16","0","Running","-40.408","0","","2:19.109","2:13.628","15","20","10","61","16","5","40","Benelux","1332","1379","14","240","14","252","IMSA Sportscar Championship","55","0","61"
"9","93","Ferrari 488 GTE","100","GTE Class","352721","352721","Kamil Grabowski","11","2","0","Running","-48.708","0","","2:19.525","2:15.593","11","20","11","58","14","3","46","Central-Eastern Europe","1707","1731","10","294","11","345","IMSA Sportscar Championship","55","0","58"
"10","92","Ford GT - 2017","100","GTE Class","235794","235794","David Sherman2","27","17","0","Running","-59.356","0","","2:20.057","2:15.265","17","20","7","56","12","5","42","DE-AT-CH","1318","1353","19","352","19","349","IMSA Sportscar Championship","55","0","56"
