"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.16 10:45 PM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","IMSA Sportscar Championship","2019","2","N/A","6","2527",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","274258","274258","Malick N'Doye","1","13","0","Running","-00.000","24","","1:40.485","1:37.625","20","27","6","70","0","2","39","France","3088","3088","18","263","18","280","IMSA Sportscar Championship","60","0","70"
"2","93","Ferrari 488 GTE","100","GTE Class","305747","305747","Sadi Laguerre","3","8","0","Running","-22.827","3","","1:41.330","1:38.796","2","27","6","195","17","2","39","France","3719","3805","15","345","15","360","IMSA Sportscar Championship","55","0","195"
"3","93","Ferrari 488 GTE","100","GTE Class","300107","300107","Diego Cabanela","4","3","0","Running","-31.352","0","","1:41.646","1:38.839","18","27","7","183","15","1","38","Iberia","5159","5203","18","266","18","275","IMSA Sportscar Championship","55","0","183"
"4","93","Ferrari 488 GTE","100","GTE Class","248410","248410","Axel Aire","11","5","0","Running","-37.681","0","","1:41.880","1:39.230","18","27","8","172","13","1","39","France","4300","4350","17","186","18","248","IMSA Sportscar Championship","55","0","172"
"5","102","Porsche 911 RSR","100","GTE Class","197077","197077","Matias Canapino","5","21","0","Running","-38.538","0","","1:41.912","1:38.937","18","27","12","160","11","2","24","Hispanoamérica","2582","2666","13","127","13","159","IMSA Sportscar Championship","55","0","160"
"6","93","Ferrari 488 GTE","100","GTE Class","322405","322405","Fabio Unverdruss","9","11","0","Running","-43.048","0","","1:42.079","1:39.082","18","27","14","149","9","2","42","DE-AT-CH","3656","3700","17","179","17","172","IMSA Sportscar Championship","55","0","149"
"7","93","Ferrari 488 GTE","100","GTE Class","310385","310385","Carlos Cabanela","12","7","0","Running","-51.259","0","","1:42.383","1:39.703","17","27","9","137","7","1","38","Iberia","3917","3943","19","338","19","333","IMSA Sportscar Championship","55","0","137"
"8","93","Ferrari 488 GTE","100","GTE Class","165251","165251","Arthur Bueno Karut","13","22","0","Running","-56.002","0","","1:42.559","1:39.665","20","27","4","126","5","3","45","Brazil","2259","2319","14","258","14","292","IMSA Sportscar Championship","55","0","126"
"9","93","Ferrari 488 GTE","100","GTE Class","156803","156803","Tiago Campos","8","10","0","Running","-1:03.567","0","","1:42.839","1:39.651","4","27","16","114","3","2","38","Iberia","3669","3679","13","151","13","167","IMSA Sportscar Championship","55","0","114"
"10","102","Porsche 911 RSR","100","GTE Class","217804","217804","Kevin Oonk2","14","19","0","Running","-1:13.558","0","","1:43.209","1:40.040","8","27","15","103","1","2","40","Benelux","2626","2653","18","260","18","237","IMSA Sportscar Championship","55","0","103"
"11","92","Ford GT - 2017","100","GTE Class","147146","147146","Shawn Romig","18","17","0","Running","-1:20.080","0","","1:43.450","1:40.493","18","27","6","91","0","2","18","Atlantic","2686","2700","20","480","20","469","IMSA Sportscar Championship","55","0","91"
"12","102","Porsche 911 RSR","100","GTE Class","343601","343601","Christopher Daquino","16","15","0","Running","-1:22.267","0","","1:43.531","1:40.405","27","27","9","80","0","2","23","Mid-South","2808","2809","18","257","18","260","IMSA Sportscar Championship","55","0","80"
"13","102","Porsche 911 RSR","100","GTE Class","175034","175034","Eder Penetra","15","18","0","Running","-1:24.087","0","","1:43.599","1:40.405","26","27","2","68","0","2","45","Brazil","2665","2659","19","343","19","367","IMSA Sportscar Championship","55","0","68"
"14","109","BMW M8 GTE","100","GTE Class","237248","237248","Andre Accioly","19","16","0","Running","-1:24.871","0","","1:43.628","1:40.208","27","27","16","57","0","2","45","Brazil","2758","2738","17","136","17","136","IMSA Sportscar Championship","55","0","57"
"15","92","Ford GT - 2017","100","GTE Class","238060","238060","Roman Papyan","6","2","29","Disqualified","-1 L","0","","1:42.426","1:39.005","17","26","18","45","0","1","46","Central-Eastern Europe","5165","5076","25","139","25","106","IMSA Sportscar Championship","55","0","45"
"16","72","Mercedes AMG GT3","473","IMSA2 GT3","254855","254855","Nicholas O Short","28","9","0","Running","-1 L","0","","1:46.261","1:42.074","19","26","16","113","15","1","6","California Club","3680","3726","11","364","11","356","IMSA Sportscar Championship","45","0","113"
"17","72","Mercedes AMG GT3","473","IMSA2 GT3","240676","240676","Michael Kirkham2","20","6","0","Running","-1 L","0","","1:46.349","1:41.666","19","26","13","105","13","1","34","Australia/NZ","4092","4118","18","283","18","259","IMSA Sportscar Championship","45","0","105"
"18","72","Mercedes AMG GT3","473","IMSA2 GT3","80654","80654","Nate Olson","24","25","0","Running","-1 L","0","","1:46.969","1:42.910","17","26","12","97","11","4","20","Ohio","1793","1865","14","226","14","237","IMSA Sportscar Championship","45","0","97"
"19","72","Mercedes AMG GT3","473","IMSA2 GT3","299393","299393","Denny Rimpl","21","12","0","Running","-1 L","0","","1:46.996","1:42.210","21","26","9","90","9","2","42","DE-AT-CH","3388","3402","17","164","17","180","IMSA Sportscar Championship","45","0","90"
"20","72","Mercedes AMG GT3","473","IMSA2 GT3","294502","294502","Alexandre M Rosa","25","26","0","Running","-1 L","0","","1:47.147","1:43.183","2","26","9","82","7","4","38","Iberia","1740","1789","14","263","14","277","IMSA Sportscar Championship","45","0","82"
"21","72","Mercedes AMG GT3","473","IMSA2 GT3","290637","290637","Adriano Ramos Benitez","23","24","0","Running","-1 L","0","","1:47.485","1:42.893","23","26","6","75","5","3","38","Iberia","2048","2073","19","319","19","326","IMSA Sportscar Championship","45","0","75"
"22","72","Mercedes AMG GT3","473","IMSA2 GT3","349622","349622","Pierre Miville-Deschenes","30","29","0","Running","-1 L","0","","1:48.131","1:43.837","19","26","9","67","3","7","15","Canada","1512","1545","11","325","11","339","IMSA Sportscar Championship","45","0","67"
"23","72","Mercedes AMG GT3","473","IMSA2 GT3","330999","330999","Nuno Rosa","29","33","0","Running","-2 L","0","","1:48.748","1:44.806","7","25","16","60","1","6","38","Iberia","1379","1405","18","213","18","202","IMSA Sportscar Championship","45","0","60"
"24","72","Mercedes AMG GT3","473","IMSA2 GT3","371398","371398","Tobias Barthold","26","27","0","Running","-2 L","0","","1:49.025","1:43.212","18","25","10","52","0","3","42","DE-AT-CH","1700","1701","11","325","11","338","IMSA Sportscar Championship","45","0","52"
"25","72","Mercedes AMG GT3","473","IMSA2 GT3","338929","338929","Jordan Prichard","35","35","0","Running","-2 L","0","","1:50.161","1:45.318","18","25","13","45","0","6","30","Texas","1014","1032","11","314","11","321","IMSA Sportscar Championship","45","0","45"
"26","72","Mercedes AMG GT3","473","IMSA2 GT3","359563","359563","Chris Mathews","27","32","0","Running","-2 L","0","","1:48.456","1:43.738","23","25","15","37","0","6","34","Australia/NZ","1451","1437","15","342","15","328","IMSA Sportscar Championship","45","0","37"
"27","73","Audi R8 LMS","473","IMSA2 GT3","310378","310378","Henry Brinkmann","31","30","0","Running","-2 L","0","","1:50.937","1:44.906","18","25","14","30","0","4","42","DE-AT-CH","1481","1453","11","344","11","344","IMSA Sportscar Championship","45","0","30"
"28","93","Ferrari 488 GTE","100","GTE Class","364654","364654","Markus Bange","17","23","0","Running","-2 L","0","","1:46.667","1:40.571","18","25","9","34","0","5","42","DE-AT-CH","2224","2197","11","383","11","389","IMSA Sportscar Championship","55","0","34"
"29","72","Mercedes AMG GT3","473","IMSA2 GT3","367194","367194","Mike Galbraith","33","31","0","Running","-2 L","0","","1:51.975","1:44.035","17","25","4","22","0","4","20","Ohio","1462","1423","18","205","18","230","IMSA Sportscar Championship","45","0","22"
"30","109","BMW M8 GTE","100","GTE Class","214885","214885","Moises A Caraballo","2","1","0","Running","-8 L","0","","1:43.955","1:39.616","3","19","6","22","0","1","24","Hispanoamérica","5443","5327","18","248","18","252","IMSA Sportscar Championship","55","0","22"
"31","73","Audi R8 LMS","473","IMSA2 GT3","349465","349465","George Lewis4","22","20","32","Disconnected","-15 L","0","","1:47.163","1:43.016","3","12","12","15","0","3","36","UK and I","2626","2535","18","239","18","212","IMSA Sportscar Championship","45","0","15"
"32","72","Mercedes AMG GT3","473","IMSA2 GT3","317930","317930","Craig Newell2","34","34","32","Disconnected","-19 L","0","","1:49.748","1:44.951","7","8","8","7","0","3","34","Australia/NZ","1197","1144","13","186","13","179","IMSA Sportscar Championship","45","0","7"
"33","73","Audi R8 LMS","473","IMSA2 GT3","358555","358555","Kevin CHAILLON","32","28","32","Disconnected","-20 L","0","","1:53.948","1:45.769","7","7","10","3","0","3","39","France","1661","1576","10","252","10","243","IMSA Sportscar Championship","45","0","3"
