"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.18 12:45 AM GMT","Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix","IMSA Sportscar Championship","2019","2","N/A","6","3462",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","62396","62396","Tyson Meier","3","9","0","Running","-00.000","5","","1:41.015","1:38.412","2","27","12","227","18","1","29","Midwest","5119","5192","18","257","18","245","IMSA Sportscar Championship","55","0","227"
"2","93","Ferrari 488 GTE","100","GTE Class","101152","101152","Agustin Canapino","4","1","0","Running","-01.303","4","","1:40.604","1:38.473","23","27","2","214","16","1","24","Hispanoamérica","8249","8263","27","351","27","371","IMSA Sportscar Championship","55","0","214"
"3","93","Ferrari 488 GTE","100","GTE Class","300107","300107","Diego Cabanela","8","7","0","Running","-11.892","0","","1:40.996","1:38.817","10","27","5","201","14","1","38","Iberia","5311","5359","19","331","19","341","IMSA Sportscar Championship","55","0","201"
"4","109","BMW M8 GTE","100","GTE Class","214885","214885","Moises A Caraballo","9","6","0","Running","-16.218","0","","1:41.156","1:38.765","14","27","7","189","12","1","24","Hispanoamérica","5425","5460","18","281","18","286","IMSA Sportscar Championship","55","0","189"
"5","93","Ferrari 488 GTE","100","GTE Class","189528","189528","Jackson Souslin Harlow","7","5","0","Running","-18.079","0","","1:41.225","1:38.789","6","27","11","176","10","1","34","Australia/NZ","5862","5878","18","249","18","247","IMSA Sportscar Championship","55","0","176"
"6","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","18900","18900","Doug Doster","1","25","0","Running","-20.750","18","","1:41.564","1:37.555","4","27","10","61","1","2","31","Great Plains","2611","2629","19","339","19","329","IMSA Sportscar Championship","60","0","61"
"7","93","Ferrari 488 GTE","100","GTE Class","326047","326047","Álvaro Muñiz Mora","5","11","0","Running","-22.314","0","","1:41.382","1:38.921","3","27","9","163","8","1","38","Iberia","4669","4699","18","251","18","255","IMSA Sportscar Championship","55","0","163"
"8","93","Ferrari 488 GTE","100","GTE Class","207427","207427","Robert L Harris","6","12","0","Running","-23.794","0","","1:41.437","1:38.916","2","27","14","151","6","1","31","Great Plains","4611","4631","19","339","19","315","IMSA Sportscar Championship","55","0","151"
"9","93","Ferrari 488 GTE","100","GTE Class","88747","88747","Martin Solari","13","4","0","Running","-31.857","0","","1:41.735","1:39.049","6","27","4","138","4","1","24","Hispanoamérica","6181","6161","19","344","19","357","IMSA Sportscar Championship","55","0","138"
"10","109","BMW M8 GTE","100","GTE Class","338424","338424","Andrew Caron","11","18","0","Running","-32.878","0","","1:41.773","1:39.292","19","27","16","126","2","2","15","Canada","3267","3298","13","137","13","156","IMSA Sportscar Championship","55","0","126"
"11","93","Ferrari 488 GTE","100","GTE Class","255734","255734","Vincenzo Taormina","15","23","0","Running","-49.075","0","","1:42.373","1:39.812","4","27","4","113","0","2","16","Pennsylvania","2753","2786","14","268","14","297","IMSA Sportscar Championship","55","0","113"
"12","102","Porsche 911 RSR","100","GTE Class","330185","330185","Romulo Gomes","18","24","0","Running","-1:06.240","0","","1:43.008","1:40.187","12","27","13","100","0","3","45","Brazil","2720","2744","18","233","18","226","IMSA Sportscar Championship","55","0","100"
"13","93","Ferrari 488 GTE","100","GTE Class","227014","227014","Sergio Pis Maojo","17","20","0","Running","-1:08.930","0","","1:43.108","1:39.967","13","27","16","88","0","2","38","Iberia","2933","2941","14","247","14","243","IMSA Sportscar Championship","55","0","88"
"14","109","BMW M8 GTE","100","GTE Class","157403","157403","Jose Ramon Buela","21","17","0","Running","-1:10.968","0","","1:43.183","1:40.435","7","27","8","75","0","1","38","Iberia","3357","3345","19","334","19","333","IMSA Sportscar Championship","55","0","75"
"15","72","Mercedes AMG GT3","473","IMSA2 GT3","242733","242733","Sindre Setsaas","22","3","0","Running","-1:23.331","0","","1:43.641","1:40.832","4","27","2","175","8","1","43","Scandinavia","6984","7018","26","239","26","273","IMSA Sportscar Championship","45","0","175"
"16","73","Audi R8 LMS","473","IMSA2 GT3","203936","203936","Alex Simonic","23","2","0","Running","-1:27.628","0","","1:43.800","1:40.701","12","27","8","153","6","1","6","California Club","7019","7031","27","302","26","253","IMSA Sportscar Championship","45","0","153"
"17","72","Mercedes AMG GT3","473","IMSA2 GT3","66921","66921","Jordan Weekes","24","10","0","Running","-1:30.803","0","","1:43.918","1:41.093","15","27","3","131","4","1","36","UK and I","5027","5048","19","305","19","327","IMSA Sportscar Championship","45","0","131"
"18","72","Mercedes AMG GT3","473","IMSA2 GT3","240676","240676","Michael Kirkham2","25","13","0","Running","-1:37.204","0","","1:44.155","1:41.294","10","27","1","109","2","1","34","Australia/NZ","4140","4155","19","386","20","456","IMSA Sportscar Championship","45","0","109"
