"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.23 10:45 PM GMT","Road America - Full Course","IMSA Sportscar Championship","2019","2","N/A","7","1413",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","347361","347361","David Fuentes","1","3","0","Running","-00.000","22","","2:05.275","2:02.815","2","22","0","89","34","3","38","Iberia","2184","2251","17","142","18","248","IMSA Sportscar Championship","55","0","89"
"2","109","BMW M8 GTE","100","GTE Class","265919","265919","Paul Cassidy","3","4","0","Running","-05.017","0","","2:05.503","2:02.825","10","22","4","86","32","2","36","UK and I","2172","2234","18","252","18","274","IMSA Sportscar Championship","55","0","86"
"3","109","BMW M8 GTE","100","GTE Class","359593","359593","Renan Moura Bueno","2","5","0","Running","-08.984","0","","2:05.683","2:03.075","8","22","4","83","30","4","45","Brazil","2092","2150","19","310","19","326","IMSA Sportscar Championship","55","0","83"
"4","109","BMW M8 GTE","100","GTE Class","52550","52550","Mauro Trevisan","6","8","0","Running","-26.553","0","","2:06.482","2:03.714","7","22","3","81","28","4","45","Brazil","1779","1843","18","222","18","253","IMSA Sportscar Championship","55","0","81"
"5","102","Porsche 911 RSR","100","GTE Class","171082","171082","Kaya Selcuk","4","1","0","Running","-28.609","0","","2:06.575","2:03.625","6","22","8","78","26","2","1","International Club","2231","2274","18","202","18","216","IMSA Sportscar Championship","55","0","78"
"6","93","Ferrari 488 GTE","100","GTE Class","331184","331184","Patrik Hakanson","9","19","0","Running","-38.551","0","","2:07.027","2:03.848","17","22","6","75","24","5","43","Scandinavia","1353","1423","17","174","18","245","IMSA Sportscar Championship","55","0","75"
"7","109","BMW M8 GTE","100","GTE Class","295055","295055","Juan Manuel Santabaya","13","13","0","Running","-50.309","0","","2:07.561","2:04.210","20","22","3","73","22","3","24","Hispanoamérica","1487","1545","14","255","14","287","IMSA Sportscar Championship","55","0","73"
"8","109","BMW M8 GTE","100","GTE Class","15426","15426","Benjamin Waddell","5","2","0","Running","-51.856","0","","2:05.989","2:02.688","8","22","14","70","20","3","32","West","2210","2236","11","346","11","345","IMSA Sportscar Championship","55","0","70"
"9","109","BMW M8 GTE","100","GTE Class","19285","19285","Joao Milani","18","9","0","Running","-1:07.548","0","","2:08.345","2:03.328","19","22","11","68","18","3","45","Brazil","1681","1720","11","337","11","343","IMSA Sportscar Championship","55","0","68"
"10","109","BMW M8 GTE","100","GTE Class","362321","362321","Kevin Michael Bleidorn","21","11","0","Running","-1:07.726","0","","2:08.353","2:04.005","9","22","11","65","16","4","42","DE-AT-CH","1596","1633","11","361","11","364","IMSA Sportscar Championship","55","0","65"
"11","93","Ferrari 488 GTE","100","GTE Class","43324","43324","David K Hall","28","6","0","Running","-1:07.907","0","","2:08.361","2:04.394","9","22","5","62","14","4","23","Mid-South","2042","2056","19","323","19","332","IMSA Sportscar Championship","55","0","62"
"12","93","Ferrari 488 GTE","100","GTE Class","362117","362117","Marc Ivan Rodriguez Nieto","22","12","0","Running","-1:11.416","0","","2:08.520","2:04.774","10","22","12","60","12","5","38","Iberia","1524","1552","19","352","19","328","IMSA Sportscar Championship","55","0","60"
"13","109","BMW M8 GTE","100","GTE Class","217915","217915","Timon Ewert","26","25","0","Running","-1:11.719","0","","2:08.534","2:04.176","9","22","7","57","10","7","42","DE-AT-CH","1204","1242","14","248","14","266","IMSA Sportscar Championship","55","0","57"
"14","109","BMW M8 GTE","100","GTE Class","360213","360213","Rodrigo Lugon","11","10","0","Running","-1:27.824","0","","2:09.267","2:03.799","15","22","7","54","8","6","24","Hispanoamérica","1632","1644","11","342","11","356","IMSA Sportscar Championship","55","0","54"
"15","102","Porsche 911 RSR","100","GTE Class","312772","312772","Osmar Schultz","14","14","0","Running","-1:32.277","0","","2:09.469","2:05.037","5","22","12","52","6","4","45","Brazil","1475","1488","20","483","20","438","IMSA Sportscar Championship","55","0","52"
"16","102","Porsche 911 RSR","100","GTE Class","325098","325098","Gregory Armstrong","25","16","0","Running","-1:35.576","0","","2:09.618","2:04.995","20","22","9","49","4","5","32","West","1364","1377","18","260","18","259","IMSA Sportscar Championship","55","0","49"
"17","102","Porsche 911 RSR","100","GTE Class","352343","352343","Jan Mikolajczyk","20","32","0","Running","-1:40.769","0","","2:09.855","2:04.832","10","22","13","47","2","6","17","Virginias","960","988","11","359","11","358","IMSA Sportscar Championship","55","0","47"
"18","92","Ford GT - 2017","100","GTE Class","38003","38003","PJ Salley","32","22","0","Running","-1:41.831","0","","2:10.072","2:05.657","5","22","5","44","0","5","32","West","1330","1333","20","456","20","448","IMSA Sportscar Championship","55","0","44"
"19","92","Ford GT - 2017","100","GTE Class","226126","226126","David Buckley2","8","30","0","Running","-1:49.794","0","","2:10.265","2:04.347","6","22","14","41","0","7","36","UK and I","1079","1089","14","248","14","246","IMSA Sportscar Championship","55","0","41"
"20","93","Ferrari 488 GTE","100","GTE Class","201974","201974","Michael Worrell","35","33","32","Disconnected","-1 L","0","","2:08.401","2:03.883","11","21","9","39","0","8","36","UK and I","948","960","14","246","14","259","IMSA Sportscar Championship","55","0","39"
"21","102","Porsche 911 RSR","100","GTE Class","314435","314435","Shane Stiles","16","35","0","Running","-1 L","0","","2:11.421","2:05.159","4","21","12","36","0","9","34","Australia/NZ","617","644","11","326","11","331","IMSA Sportscar Championship","55","0","36"
"22","93","Ferrari 488 GTE","100","GTE Class","331952","331952","Andrés Depetrini","33","26","0","Running","-6 L","0","","2:09.308","2:04.895","10","16","11","34","0","5","24","Hispanoamérica","1195","1183","10","251","10","256","IMSA Sportscar Championship","55","0","34"
"23","109","BMW M8 GTE","100","GTE Class","217505","217505","Zachary Routhier","30","17","0","Running","-6 L","0","","2:58.445","2:07.625","8","16","16","31","0","7","32","West","1343","1318","14","244","14","227","IMSA Sportscar Championship","55","0","31"
"24","102","Porsche 911 RSR","100","GTE Class","314845","314845","Brian Skeels","27","29","32","Disconnected","-9 L","0","","2:34.949","2:11.468","6","13","16","28","0","7","26","Illinois","1010","996","10","226","10","216","IMSA Sportscar Championship","55","0","28"
"25","93","Ferrari 488 GTE","100","GTE Class","346147","346147","Francisco Javier Narbona Mena","29","15","0","Running","-9 L","0","","2:10.756","2:06.670","13","13","5","26","0","4","38","Iberia","1467","1424","11","376","11","376","IMSA Sportscar Championship","55","0","26"
"26","93","Ferrari 488 GTE","100","GTE Class","366927","366927","Andrew Goodlett","19","23","32","Disconnected","-15 L","0","","2:08.090","2:05.099","3","7","7","23","0","6","27","Indiana","1240","1202","11","343","11","338","IMSA Sportscar Championship","55","0","23"
"27","93","Ferrari 488 GTE","100","GTE Class","211296","211296","Javier Borges","23","24","32","Disconnected","-16 L","0","","2:09.074","2:06.852","5","6","8","20","0","6","38","Iberia","1209","1167","18","228","18","213","IMSA Sportscar Championship","55","0","20"
