"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.30 8:45 AM GMT","Mid-Ohio Sports Car Course - Full Course","IMSA Sportscar Championship","2019","2","N/A","8","1720",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","87289","87289","Coppitters Laurent","1","3","0","Running","-00.000","33","","1:20.906","1:19.184","2","34","2","95","13","2","40","Benelux","2395","2458","18","273","19","350","IMSA Sportscar Championship","55","0","95"
"2","109","BMW M8 GTE","100","GTE Class","93215","93215","Sebastian Murray-Wessberg","4","7","0","Running","-05.943","0","","1:21.081","1:19.255","2","34","7","87","11","4","34","Australia/NZ","1815","1884","19","320","19","323","IMSA Sportscar Championship","55","0","87"
"3","109","BMW M8 GTE","100","GTE Class","64972","64972","Michael Gray","3","6","0","Running","-06.725","1","","1:21.104","1:19.449","2","34","8","80","9","4","34","Australia/NZ","1818","1873","19","355","19","350","IMSA Sportscar Championship","55","0","80"
"4","102","Porsche 911 RSR","100","GTE Class","191251","191251","Chris Pellatt","2","9","0","Running","-07.728","0","","1:21.133","1:19.409","5","34","3","73","7","4","34","Australia/NZ","1679","1725","15","349","15","370","IMSA Sportscar Championship","55","0","73"
"5","102","Porsche 911 RSR","100","GTE Class","115216","115216","Karl-Johan Hagelin","8","2","0","Running","-08.062","0","","1:21.143","1:19.734","13","34","5","65","5","2","43","Scandinavia","3153","3142","19","353","19","358","IMSA Sportscar Championship","55","0","65"
"6","109","BMW M8 GTE","100","GTE Class","83712","83712","Nils Jordan","5","8","0","Running","-21.054","0","","1:21.525","1:20.110","2","34","4","58","3","4","34","Australia/NZ","1736","1751","20","463","20","465","IMSA Sportscar Championship","55","0","58"
"7","93","Ferrari 488 GTE","100","GTE Class","348106","348106","Miguel A. Davila","6","4","0","Running","-24.569","0","","1:21.629","1:19.963","2","34","3","51","1","2","38","Iberia","2246","2230","18","239","18","271","IMSA Sportscar Championship","55","0","51"
"8","92","Ford GT - 2017","100","GTE Class","96327","96327","Tim Craghill","9","12","0","Running","-46.746","0","","1:22.281","1:19.735","33","34","11","43","0","7","34","Australia/NZ","1080","1095","14","236","14","248","IMSA Sportscar Championship","55","0","43"
"9","109","BMW M8 GTE","100","GTE Class","263378","263378","Michael Spithill","7","5","0","Running","-51.691","0","","1:22.426","1:20.136","2","34","4","36","0","4","34","Australia/NZ","1836","1805","18","275","18","298","IMSA Sportscar Championship","55","0","36"
"10","72","Mercedes AMG GT3","473","IMSA2 GT3","69481","69481","Soeren Kolodziej","15","1","0","Running","-55.491","0","","1:22.451","1:20.791","8","34","4","97","0","1","42","DE-AT-CH","6381","6381","19","367","19","378","IMSA Sportscar Championship","45","0","97"
"11","109","BMW M8 GTE","100","GTE Class","15644","15644","Joe Walker","10","11","0","Running","-1 L","0","","1:24.192","1:21.189","4","33","6","29","0","4","23","Mid-South","1395","1368","19","352","19","354","IMSA Sportscar Championship","55","0","29"
"12","93","Ferrari 488 GTE","100","GTE Class","344917","344917","Andrej Burek","11","10","0","Running","-1 L","0","","1:24.692","1:22.049","29","33","6","21","0","4","46","Central-Eastern Europe","1638","1586","18","234","18","250","IMSA Sportscar Championship","55","0","21"
"13","102","Porsche 911 RSR","100","GTE Class","345746","345746","Jean-Jacques Honta","12","13","0","Running","-1 L","0","","1:25.531","1:21.848","4","33","15","14","0","7","39","France","1022","984","10","263","10","268","IMSA Sportscar Championship","55","0","14"
"14","93","Ferrari 488 GTE","100","GTE Class","326837","326837","Sorin Vasile2","13","14","0","Running","-2 L","0","","1:27.481","1:23.019","2","32","9","7","0","8","46","Central-Eastern Europe","982","932","14","228","14","244","IMSA Sportscar Championship","55","0","7"
"15","109","BMW M8 GTE","100","GTE Class","366395","366395","Oliver Ebersold","14","15","0","Running","-5 L","0","","1:37.637","1:30.177","21","29","8","3","0","8","42","DE-AT-CH","546","508","11","392","11","392","IMSA Sportscar Championship","55","0","3"
