"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.15 8:45 AM GMT","Daytona International Speedway - Road Course","IMSA Sportscar Championship","2019","2","N/A","10","2360",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","70","Chevrolet Corvette C7 Daytona Prototype","77","Corvette C7 Daytona Prototype","255048","255048","Haiyou Xu","1","17","0","Running","-00.000","27","","1:41.048","1:38.481","5","27","2","58","2","3","47","Asia","1884","1924","18","251","18","275","IMSA Sportscar Championship","60","0","58"
"2","93","Ferrari 488 GTE","100","GTE Class","259565","259565","Dave Cameron","5","2","0","Running","-1:10.394","0","","1:43.655","1:40.476","3","27","0","168","11","1","36","UK and I","3846","3915","19","327","19","352","IMSA Sportscar Championship","55","0","168"
"3","93","Ferrari 488 GTE","100","GTE Class","19648","19648","Enar Mariinsky","12","1","0","Running","-1:13.896","0","","1:43.785","1:41.117","3","27","10","152","9","1","44","Finland","3858","3910","19","349","19","326","IMSA Sportscar Championship","55","0","152"
"4","102","Porsche 911 RSR","100","GTE Class","270383","270383","Aleksey Seleznev","10","11","0","Running","-1:27.961","0","","1:44.328","1:41.903","19","27","2","137","7","2","46","Central-Eastern Europe","2614","2684","15","337","15","354","IMSA Sportscar Championship","55","0","137"
"5","93","Ferrari 488 GTE","100","GTE Class","310727","310727","Antonio Delicado Calo","4","8","0","Running","-1:36.491","0","","1:44.726","1:40.835","2","27","10","122","5","3","38","Iberia","2893","2937","14","232","14","237","IMSA Sportscar Championship","55","0","122"
"6","92","Ford GT - 2017","100","GTE Class","41073","41073","Richard Westbrook","11","13","0","Running","-1 L","0","","1:45.518","1:41.829","4","26","5","106","3","4","36","UK and I","2390","2433","18","295","18","297","IMSA Sportscar Championship","55","0","106"
"7","102","Porsche 911 RSR","100","GTE Class","366619","366619","Andreas Fink","15","12","0","Running","-1 L","0","","1:45.722","1:41.424","5","26","13","91","1","3","42","DE-AT-CH","2415","2441","15","351","15","332","IMSA Sportscar Championship","55","0","91"
"8","92","Ford GT - 2017","100","GTE Class","361210","361210","Daniel Pásztor","14","3","0","Running","-1 L","0","","1:45.821","1:41.526","4","26","9","76","0","2","46","Central-Eastern Europe","3783","3754","17","154","17","153","IMSA Sportscar Championship","55","0","76"
"9","72","Mercedes AMG GT3","473","IMSA2 GT3","347205","347205","Christoph Maliszewski","17","14","0","Running","-1 L","0","","1:45.971","1:42.825","2","26","2","111","6","4","42","DE-AT-CH","2382","2457","19","341","19","355","IMSA Sportscar Championship","45","0","111"
"10","72","Mercedes AMG GT3","473","IMSA2 GT3","69608","69608","Ben Warren","16","9","0","Running","-1 L","0","","1:46.000","1:42.295","4","26","15","92","4","2","36","UK and I","2755","2790","18","204","17","144","IMSA Sportscar Championship","45","0","92"
