"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.19 2:45 AM GMT","Daytona International Speedway - Road Course","IMSA Sportscar Championship","2019","2","N/A","10","1097",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","109","BMW M8 GTE","100","GTE Class","271947","271947","Dylan Ault","1","3","0","Running","-00.000","27","","1:43.719","1:41.510","3","27","0","70","32","4","6","California Club","1547","1621","18","264","18","299","IMSA Sportscar Championship","55","0","70"
"2","102","Porsche 911 RSR","100","GTE Class","359606","359606","Jeroen De Doncker","14","5","0","Running","-36.653","0","","1:45.076","1:42.472","4","27","4","67","30","4","17","Virginias","1509","1579","11","313","11","329","IMSA Sportscar Championship","55","0","67"
"3","93","Ferrari 488 GTE","100","GTE Class","332217","332217","Chad Harvey","7","20","0","Running","-1:03.444","0","","1:45.891","1:42.507","2","27","4","65","28","7","14","New York","1062","1147","18","257","18","271","IMSA Sportscar Championship","55","0","65"
"4","92","Ford GT - 2017","100","GTE Class","338925","338925","Roger Checkley","9","1","0","Running","-1:07.097","0","","1:46.203","1:42.480","3","27","3","63","26","5","15","Canada","1566","1621","19","352","19","361","IMSA Sportscar Championship","55","0","63"
"5","109","BMW M8 GTE","100","GTE Class","63954","63954","Scott Peterson","16","9","0","Running","-1:13.633","0","","1:46.528","1:43.609","8","27","16","61","24","5","12","New England","1334","1393","19","305","18","232","IMSA Sportscar Championship","55","0","61"
"6","93","Ferrari 488 GTE","100","GTE Class","289166","289166","Paul Espina","10","24","0","Running","-1:32.027","0","","1:47.127","1:43.878","4","27","16","59","22","7","22","Florida","918","993","10","246","10","246","IMSA Sportscar Championship","55","0","59"
"7","93","Ferrari 488 GTE","100","GTE Class","82709","82709","Jonathon Hernandez","30","26","0","Running","-1:38.533","0","","1:47.367","1:44.391","8","27","3","56","20","8","30","Texas","861","934","14","200","14","226","IMSA Sportscar Championship","55","0","56"
"8","109","BMW M8 GTE","100","GTE Class","371257","371257","Vlademir Porto","24","10","0","Running","-1:40.278","0","","1:44.292","1:44.044","8","27","3","54","18","5","45","Brazil","1332","1373","11","373","11","386","IMSA Sportscar Championship","55","0","54"
"9","102","Porsche 911 RSR","100","GTE Class","365683","365683","Daniel Balsa3","5","8","32","Disconnected","-1 L","0","","1:45.902","1:42.745","2","26","5","52","16","5","45","Brazil","1350","1384","14","251","14","266","IMSA Sportscar Championship","55","0","52"
"10","102","Porsche 911 RSR","100","GTE Class","358819","358819","Spencer Mui","17","21","0","Running","-1 L","0","","1:47.714","1:43.625","8","26","8","50","14","6","19","New Jersey","1044","1087","10","244","10","259","IMSA Sportscar Championship","55","0","50"
