"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.19 4:45 PM GMT","Daytona International Speedway - Road Course","IMSA Sportscar Championship","2019","2","N/A","10","1438",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","93","Ferrari 488 GTE","100","GTE Class","147666","147666","Zach Whitaker","2","18","0","Running","-00.000","25","","1:44.085","1:41.576","3","26","2","92","34","8","32","West","1441","1538","15","389","16","445","IMSA Sportscar Championship","55","0","92"
"2","109","BMW M8 GTE","100","GTE Class","356613","356613","Markus Lehtonen2","1","5","0","Running","-23.499","1","","1:44.988","1:41.644","3","26","11","89","32","4","44","Finland","1623","1706","14","246","14","243","IMSA Sportscar Championship","55","0","89"
"3","109","BMW M8 GTE","100","GTE Class","341986","341986","Gabriel Montoro","8","20","0","Running","-29.940","0","","1:45.236","1:42.307","2","26","10","86","30","4","38","Iberia","1428","1514","14","226","14","228","IMSA Sportscar Championship","55","0","86"
"4","93","Ferrari 488 GTE","100","GTE Class","347934","347934","Zachary Pagan2","22","22","0","Running","-32.060","0","","1:45.368","1:42.505","4","26","16","83","28","5","6","California Club","1384","1466","10","244","10","240","IMSA Sportscar Championship","55","0","83"
"5","92","Ford GT - 2017","100","GTE Class","176188","176188","Alessandro Dalledonne","28","10","0","Running","-32.602","0","","1:45.338","1:42.571","11","26","15","81","26","2","41","Italy","1549","1618","11","353","11","342","IMSA Sportscar Championship","55","0","81"
"6","102","Porsche 911 RSR","100","GTE Class","114692","114692","Dennis Pütz","3","2","0","Running","-38.693","0","","1:45.573","1:42.427","5","26","9","78","24","4","42","DE-AT-CH","1664","1722","14","262","14","263","IMSA Sportscar Championship","55","0","78"
"7","93","Ferrari 488 GTE","100","GTE Class","366873","366873","?ukasz Bogacz","20","15","0","Running","-44.359","0","","1:45.790","1:42.887","18","26","8","75","22","5","46","Central-Eastern Europe","1469","1530","11","360","11","364","IMSA Sportscar Championship","55","0","75"
"8","93","Ferrari 488 GTE","100","GTE Class","371951","371951","Lars Wätzig","18","13","0","Running","-1:00.264","0","","1:46.402","1:43.379","8","26","5","73","20","4","42","DE-AT-CH","1492","1546","14","220","14","238","IMSA Sportscar Championship","55","0","73"
"9","102","Porsche 911 RSR","100","GTE Class","286395","286395","Michael Bolden2","31","19","0","Running","-1:00.986","0","","1:46.429","1:42.348","6","26","9","70","18","4","36","UK and I","1432","1483","17","145","17","151","IMSA Sportscar Championship","55","0","70"
"10","102","Porsche 911 RSR","100","GTE Class","368601","368601","Pablo Avilés Prieto","6","31","0","Running","-1:13.552","0","","1:46.913","1:42.339","2","26","10","67","16","4","38","Iberia","1266","1320","11","344","11","345","IMSA Sportscar Championship","55","0","67"
"11","102","Porsche 911 RSR","100","GTE Class","358376","358376","Maciej Kowalski","14","25","0","Running","-1:24.430","0","","1:46.016","1:42.544","3","26","3","64","14","5","46","Central-Eastern Europe","1355","1398","14","291","15","353","IMSA Sportscar Championship","55","0","64"
"12","109","BMW M8 GTE","100","GTE Class","44403","44403","Shawn Begg","34","33","0","Running","-1:36.332","0","","1:47.788","1:44.199","7","26","5","62","12","5","15","Canada","1243","1286","18","265","18","270","IMSA Sportscar Championship","55","0","62"
"13","109","BMW M8 GTE","100","GTE Class","251369","251369","Beyze Adrien","29","14","0","Running","-1 L","0","","1:48.286","1:42.509","4","25","8","59","10","4","39","France","1490","1516","15","354","15","349","IMSA Sportscar Championship","55","0","59"
"14","102","Porsche 911 RSR","100","GTE Class","374784","374784","Maciej P?ócienniczak","23","23","0","Running","-1 L","0","","1:48.849","1:44.567","4","25","9","56","8","5","46","Central-Eastern Europe","1376","1401","11","353","11","353","IMSA Sportscar Championship","55","0","56"
"15","93","Ferrari 488 GTE","100","GTE Class","363619","363619","Max Doridot","15","16","0","Running","-1 L","0","","1:45.233","1:41.957","4","25","8","54","6","4","39","France","1466","1481","15","319","15","320","IMSA Sportscar Championship","55","0","54"
"16","109","BMW M8 GTE","100","GTE Class","205644","205644","Howie Briss","26","34","0","Running","-3 L","0","","2:00.781","1:43.929","3","23","8","51","4","4","31","Great Plains","1242","1263","11","313","11","319","IMSA Sportscar Championship","55","0","51"
"17","109","BMW M8 GTE","100","GTE Class","371532","371532","José Luis Saburido","32","21","0","Running","-3 L","0","","1:50.307","1:45.896","22","23","7","48","2","5","38","Iberia","1393","1400","11","319","11","324","IMSA Sportscar Championship","55","0","48"
"18","109","BMW M8 GTE","100","GTE Class","150234","150234","Adrian Storr","17","32","0","Running","-6 L","0","","1:49.855","1:43.106","3","20","9","46","0","4","36","UK and I","1257","1265","13","182","13","183","IMSA Sportscar Championship","55","0","46"
"19","109","BMW M8 GTE","100","GTE Class","353847","353847","Oh Sang Hoon","9","4","29","Disqualified","-8 L","0","","1:48.547","1:41.798","3","18","19","43","0","6","47","Asia","1636","1622","14","228","14","202","IMSA Sportscar Championship","55","0","43"
"20","102","Porsche 911 RSR","100","GTE Class","332990","332990","Jose Antonio Vazquez Carrero","12","7","0","Running","-8 L","0","","2:32.221","1:42.230","2","18","12","40","0","5","38","Iberia","1590","1572","18","296","18","252","IMSA Sportscar Championship","55","0","40"
"21","93","Ferrari 488 GTE","100","GTE Class","331204","331204","Juan Colom","25","9","0","Running","-8 L","0","","2:35.799","1:44.483","17","18","13","37","0","6","38","Iberia","1570","1547","14","267","14","246","IMSA Sportscar Championship","55","0","37"
"22","93","Ferrari 488 GTE","100","GTE Class","328403","328403","Sam Bentham","5","26","32","Disconnected","-13 L","0","","1:44.853","1:41.987","10","13","13","35","0","5","36","UK and I","1324","1307","19","309","18","235","IMSA Sportscar Championship","55","0","35"
"23","93","Ferrari 488 GTE","100","GTE Class","173037","173037","Phillip Temples","10","8","32","Disconnected","-13 L","0","","1:44.735","1:42.162","3","13","13","32","0","4","22","Florida","1574","1540","18","274","18","229","IMSA Sportscar Championship","55","0","32"
"24","102","Porsche 911 RSR","100","GTE Class","372463","372463","Ralf Kalus","16","27","0","Running","-14 L","0","","3:53.278","1:43.633","7","12","15","29","0","5","42","DE-AT-CH","1299","1272","10","271","10","252","IMSA Sportscar Championship","55","0","29"
"25","93","Ferrari 488 GTE","100","GTE Class","33668","33668","Keith Harrelson","4","29","32","Disconnected","-15 L","0","","1:44.110","1:42.436","3","11","11","27","0","4","25","Carolina","1295","1262","15","348","15","326","IMSA Sportscar Championship","55","0","27"
"26","109","BMW M8 GTE","100","GTE Class","356447","356447","Viachaslau Harbachou","11","1","29","Disqualified","-15 L","0","","1:44.518","1:42.411","10","11","19","24","0","5","46","Central-Eastern Europe","1680","1624","17","108","17","70","IMSA Sportscar Championship","55","0","24"
