"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.17 8:15 PM GMT","Richmond International Raceway","IndyCar Series - Oval - Fixed","2018","1","N/A","6","1976"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","177225","177225","Michael Stanley","7","4","0","Running","-00.000","34","","26.432","16.671","53","110","0","120","17","2","32","West","2658","2730","20","499","20","499","IndyCar Series - Oval - Fixed","100","0"
"2","57","Dallara DW12","63","Dallara DW12","284569","284569","Valmor Arenhartt","2","1","0","Running","-01.189","40","","26.443","16.665","61","110","4","112","15","1","45","Brazil","3391","3434","16","483","16","483","IndyCar Series - Oval - Fixed","100","0"
"3","57","Dallara DW12","63","Dallara DW12","145937","145937","Ryan Bowles","1","3","0","Running","-01.686","30","","26.448","16.477","2","110","2","105","13","2","21","Georgia","2698","2748","20","430","20","440","IndyCar Series - Oval - Fixed","100","0"
"4","57","Dallara DW12","63","Dallara DW12","304643","304643","Maxime Burtschi","16","16","0","Running","-03.424","0","","26.463","16.803","33","110","0","98","11","5","39","France","1342","1428","11","391","12","464","IndyCar Series - Oval - Fixed","100","0"
"5","57","Dallara DW12","63","Dallara DW12","149473","149473","Harold Palmer","14","9","0","Running","-1 L","0","","26.718","16.972","51","109","0","91","9","2","23","Mid-South","2021","2070","20","446","20","469","IndyCar Series - Oval - Fixed","100","0"
"6","57","Dallara DW12","63","Dallara DW12","281070","281070","Silvio Roberto Sanchez","9","14","0","Running","-1 L","0","","26.734","17.168","65","109","2","84","7","5","45","Brazil","1601","1654","19","369","19","389","IndyCar Series - Oval - Fixed","100","0"
"7","57","Dallara DW12","63","Dallara DW12","178870","178870","Timothy Bates","15","13","0","Running","-1 L","0","","26.740","17.306","71","109","8","77","5","3","25","Carolina","1675","1714","19","342","19","338","IndyCar Series - Oval - Fixed","100","0"
"8","57","Dallara DW12","63","Dallara DW12","126658","126658","Pascal Dupas","10","10","0","Running","-6 L","0","","26.289","16.734","50","104","11","70","3","3","39","France","1937","1955","18","246","18","238","IndyCar Series - Oval - Fixed","100","0"
"9","57","Dallara DW12","63","Dallara DW12","211935","211935","Gary Powell3","12","6","0","Running","-24 L","1","","27.590","17.108","67","86","6","63","1","2","25","Carolina","2404","2397","20","499","20","499","IndyCar Series - Oval - Fixed","100","0"
"10","57","Dallara DW12","63","Dallara DW12","126712","126712","J.J. Tubb","5","11","32","Disconnected","-38 L","0","","30.010","16.688","51","72","6","56","0","4","36","UK and I","1811","1812","16","440","16","436","IndyCar Series - Oval - Fixed","100","0"
"11","57","Dallara DW12","63","Dallara DW12","181025","181025","Edward Lack","3","2","32","Disconnected","-68 L","5","","30.639","16.651","10","42","4","49","0","2","36","UK and I","3320","3266","20","456","20","441","IndyCar Series - Oval - Fixed","100","0"
"12","57","Dallara DW12","63","Dallara DW12","263761","263761","Dave Walsh","6","15","32","Disconnected","-72 L","0","","29.021","16.727","21","38","0","42","0","4","36","UK and I","1503","1495","15","320","15","330","IndyCar Series - Oval - Fixed","100","0"
"13","57","Dallara DW12","63","Dallara DW12","200704","200704","DV Warhurst","4","7","32","Disconnected","-83 L","0","","28.782","16.689","4","27","2","35","0","2","21","Georgia","2352","2302","19","367","19","365","IndyCar Series - Oval - Fixed","100","0"
"14","57","Dallara DW12","63","Dallara DW12","273494","273494","Steven Harry","11","5","32","Disconnected","-105 L","0","","19.275","17.399","2","5","2","28","0","2","21","Georgia","2413","2350","20","451","20","443","IndyCar Series - Oval - Fixed","100","0"
"15","57","Dallara DW12","63","Dallara DW12","267335","267335","R L Mitchell","13","8","32","Disconnected","-105 L","0","","19.322","17.338","3","5","2","21","0","3","28","Michigan","2143","2077","19","352","19","340","IndyCar Series - Oval - Fixed","100","0"
"16","57","Dallara DW12","63","Dallara DW12","244552","244552","Brad Scruggs","8","17","32","Disconnected","-109 L","0","","21.194","","","1","2","14","0","5","25","Carolina","1067","1034","11","349","11","341","IndyCar Series - Oval - Fixed","100","0"
"17","57","Dallara DW12","63","Dallara DW12","235894","235894","Corey Walters","17","12","32","Disconnected","-110 L","0","","00.000","","","0","0","0","0","3","33","Northwest","1800","1721","20","423","20","423","IndyCar Series - Oval - Fixed","100","0"
"18","57","Dallara DW12","63","Dallara DW12","103887","103887","Daniel Simmons","18","18","32","Disconnected","-110 L","0","","00.000","","","0","0","0","0","7","25","Carolina","1056","1005","17","143","17","143","IndyCar Series - Oval - Fixed","100","0"
