"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.28 2:00 AM GMT","Road America - Full Course","IndyCar Series - Road","2018","1","N/A","3","2104"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","232950","232950","Henry Bennett","3","1","0","Running","-00.000","27","","1:48.948","1:45.540","19","32","2","131","25","1","36","UK and I","4898","4935","20","499","20","499","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","17051","17051","Tim Holgate","2","2","0","Running","-04.208","1","","1:49.080","1:45.295","13","32","15","125","23","1","20","Ohio","4317","4355","16","465","16","441","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","176142","176142","Andrew Kinsella","5","7","0","Running","-09.672","0","","1:49.251","1:45.905","32","32","7","120","21","2","15","Canada","3141","3196","20","471","20","461","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","48488","48488","Joe Branch2","8","4","0","Running","-38.663","0","","1:50.157","1:46.837","32","32","4","115","19","2","27","Indiana","3377","3419","16","499","16","499","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","21975","21975","John Downing","6","6","0","Running","-39.457","0","","1:50.181","1:46.561","32","32","2","110","17","2","33","Northwest","3322","3357","20","499","20","499","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","26052","26052","Adam Dock","9","5","0","Running","-48.262","0","","1:50.457","1:46.841","32","32","6","104","15","2","30","Texas","3368","3394","20","499","20","499","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","156971","156971","Simon Briant2","7","9","0","Running","-1:09.317","0","","1:50.563","1:47.197","27","32","5","99","13","2","33","Northwest","2995","3023","20","499","20","498","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","180414","180414","Arturo Amro","11","11","0","Running","-1:22.300","0","","1:51.520","1:47.652","18","32","8","94","11","2","34","Australia/NZ","2743","2769","19","331","19","338","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","204909","204909","Andrew Burns2","21","15","0","Running","-1:25.727","0","","1:51.627","1:46.564","2","32","13","89","9","2","29","Midwest","2303","2334","13","184","14","251","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","68572","68572","Rob Unglenieks","13","8","0","Running","-1:27.801","0","","1:51.692","1:47.791","23","32","11","83","7","2","28","Michigan","3122","3123","20","499","20","488","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","36204","36204","Pierre Bourdon","10","12","0","Running","-1:30.658","0","","1:51.781","1:47.776","32","32","5","78","5","3","15","Canada","2429","2441","19","351","19","369","IndyCar Series - Road","100","0"
