"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.09 12:00 AM GMT","Brands Hatch Circuit - Indy","IndyCar Series - Road","2018","1","N/A","5","2500"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","204032","204032","Adam Blocker","2","4","0","Running","-00.000","47","","37.718","36.568","42","65","0","152","19","1","25","Carolina","4177","4233","20","461","20","483","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","80719","80719","Austin Espitee","3","2","0","Running","-05.121","0","","37.797","36.910","46","65","3","144","17","1","12","New England","4497","4537","20","486","20","488","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","154558","154558","Liam Quinn","4","3","0","Running","-05.616","0","","37.804","36.871","34","65","11","136","15","1","36","UK and I","4258","4293","20","499","20","490","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","156971","156971","Simon Briant2","9","8","0","Running","-29.167","0","","38.167","37.220","39","65","2","128","13","2","33","Northwest","3149","3199","20","499","20","499","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","21975","21975","John Downing","6","5","0","Running","-37.169","0","","38.290","37.202","2","65","3","120","11","2","33","Northwest","3377","3411","20","499","20","499","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","285703","285703","Andrew Z Wood","7","17","0","Running","-1 L","0","","38.349","37.124","42","64","1","112","9","3","12","New England","1995","2058","14","245","14","282","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","176142","176142","Andrew Kinsella","5","7","0","Running","-1 L","0","","38.603","37.175","2","64","4","104","7","2","15","Canada","3162","3182","20","470","20","466","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","110963","110963","Adam Plunkett","10","14","0","Running","-2 L","0","","38.944","37.553","7","63","5","96","5","3","6","California Club","2113","2153","20","499","20","484","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","258419","258419","Craig Shepherd","16","15","0","Running","-2 L","0","","39.384","38.134","57","63","0","88","3","3","29","Midwest","2011","2044","20","474","20","495","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","204909","204909","Andrew Burns2","14","13","0","Running","-3 L","0","","39.288","37.658","40","62","13","80","1","2","29","Midwest","2233","2249","14","242","14","240","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","78932","78932","Niall McBride","12","12","0","Running","-3 L","0","","39.633","37.070","8","62","10","72","0","2","36","UK and I","2290","2294","18","267","18","252","IndyCar Series - Road","100","0"
"12","57","Dallara DW12","63","Dallara DW12","279455","279455","Ryan Hellyer","11","16","0","Running","-3 L","0","","39.657","37.717","36","62","6","64","0","4","34","Australia/NZ","2003","2006","20","446","20","438","IndyCar Series - Road","100","0"
"13","57","Dallara DW12","63","Dallara DW12","256057","256057","David Adams8","13","10","0","Running","-3 L","0","","39.758","37.838","43","62","4","56","0","2","27","Indiana","2452","2432","20","499","20","499","IndyCar Series - Road","100","0"
"14","57","Dallara DW12","63","Dallara DW12","36204","36204","Pierre Bourdon","15","11","0","Running","-3 L","0","","39.792","37.935","5","62","16","48","0","3","15","Canada","2418","2389","18","235","18","212","IndyCar Series - Road","100","0"
"15","57","Dallara DW12","63","Dallara DW12","137764","137764","Sara Dove","8","9","29","Disqualified","-13 L","5","","38.342","36.842","44","52","19","40","0","2","36","UK and I","2792","2742","18","271","18","217","IndyCar Series - Road","100","0"
"16","57","Dallara DW12","63","Dallara DW12","284016","284016","Lance Simon","19","20","32","Disconnected","-23 L","0","","43.029","39.580","23","42","2","32","0","7","31","Great Plains","968","969","20","413","20","419","IndyCar Series - Road","100","0"
"17","57","Dallara DW12","63","Dallara DW12","17801","17801","Brian Zager","20","19","29","Disqualified","-36 L","0","","44.281","39.275","10","29","17","24","0","6","29","Midwest","1290","1270","15","357","15","315","IndyCar Series - Road","100","0"
"18","57","Dallara DW12","63","Dallara DW12","232950","232950","Henry Bennett","1","1","0","Running","-52 L","13","","37.122","36.658","4","13","4","16","0","1","36","UK and I","4836","4712","20","499","20","499","IndyCar Series - Road","100","0"
"19","57","Dallara DW12","63","Dallara DW12","158513","158513","Jeff Pritchard","17","18","32","Disconnected","-53 L","0","","39.777","38.677","3","12","4","8","0","5","12","New England","1364","1321","19","361","19","345","IndyCar Series - Road","100","0"
"20","57","Dallara DW12","63","Dallara DW12","68572","68572","Rob Unglenieks","18","6","32","Disconnected","-65 L","0","","00.000","","","0","2","0","0","2","28","Michigan","3195","3086","20","499","20","499","IndyCar Series - Road","100","0"
