"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.10.13 10:00 PM GMT","Mazda Raceway Laguna Seca - Full Course","IndyCar Series - Road","2017","4","N/A","5","1653"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","176188","176188","Alessandro Dalledonne","1","1","0","Running","-00.000","26","","1:09.576","1:07.853","23","40","5","97","10","2","41","Italy","4159","4189","19","310","19","327","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","49276","49276","Andrey Efimenko","2","2","0","Running","-03.713","14","","1:11.078","1:09.252","34","40","4","87","8","2","46","Central-Eastern Europe","3316","3343","20","485","20","481","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","266603","266603","Yanisse Ameurlaine","9","7","0","Running","-33.144","0","","1:11.763","1:09.972","25","40","8","77","6","4","39","France","1486","1547","14","276","14","287","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","259287","259287","Francisco Diaz","3","3","0","Running","-58.437","0","","1:12.446","1:10.191","25","40","4","67","4","4","38","Iberia","2102","2123","17","158","18","249","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","142118","142118","Irmas Ibric","4","4","0","Running","-1:18.262","0","","1:12.942","1:09.831","15","40","8","58","2","3","42","DE-AT-CH","2084","2087","19","379","19","365","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","63217","63217","Daniel Vieites","5","6","0","Running","-1 L","0","","1:13.474","1:10.545","31","39","8","48","0","4","38","Iberia","1592","1594","19","336","19","334","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","203150","203150","Daniel Colgate","6","5","0","Running","-1 L","0","","1:14.907","1:10.383","31","39","16","38","0","6","12","New England","1618","1602","14","282","14","269","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","199134","199134","Rafael Davila","7","9","0","Running","-4 L","0","","1:20.551","1:13.784","35","36","9","29","0","7","38","Iberia","1064","1053","15","358","15","358","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","26227","26227","Jeffrey Oakley","8","10","0","Running","-28 L","0","","1:19.855","1:12.129","5","12","14","19","0","7","20","Ohio","860","842","18","224","17","144","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","153928","153928","Matt Hackathorn","10","8","32","Disconnected","-37 L","0","","1:23.838","1:14.702","2","3","6","9","0","5","33","Northwest","1432","1369","11","341","11","329","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","258229","258229","Patrick Levasseur","11","11","32","Disconnected","-40 L","0","","00.000","","","0","0","0","0","9","15","Canada","563","527","11","352","11","352","IndyCar Series - Road","100","0"
