"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.11.22 2:00 AM GMT","Watkins Glen International - Cup","IndyCar Series - Road","2017","4","N/A","11","1355"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","69838","69838","Joel Tremblay","1","1","0","Running","-00.000","51","","57.054","55.114","37","55","0","79","9","1","35","Western Canada","4680","4697","20","479","20","499","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","134446","134446","Lincoln Miguel","2","2","0","Running","-18.948","4","","57.398","55.479","13","55","0","70","7","3","45","Brazil","2109","2151","20","430","20","446","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","249464","249464","Jacob Yuenger","5","3","0","Running","-2 L","0","","59.690","57.691","45","53","3","61","5","4","32","West","1639","1676","20","458","20","464","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","246587","246587","Luis Pedreros","9","7","0","Running","-2 L","0","","59.946","58.014","13","53","1","52","3","6","24","Hispanoamérica","1104","1143","14","259","14","299","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","176217","176217","Vincent Scatena","4","6","0","Running","-3 L","0","","59.783","57.458","15","52","14","43","1","5","29","Midwest","1251","1263","10","227","10","237","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","213952","213952","Michael H Burton","6","8","0","Running","-5 L","0","","1:00.186","58.055","17","50","4","35","0","8","30","Texas","842","855","10","267","10","298","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","83524","83524","Benoit Savoie","7","5","0","Running","-15 L","0","","59.035","56.902","38","40","8","26","0","6","15","Canada","1259","1232","14","253","14","255","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","101694","101694","Taylor Cox","3","4","32","Disconnected","-17 L","0","","1:00.732","57.326","15","38","8","17","0","4","20","Ohio","1630","1569","19","364","19","348","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","276567","276567","Samuel Doughty2","8","9","32","Disconnected","-39 L","0","","1:05.433","1:02.638","11","16","6","8","0","8","22","Florida","796","754","11","386","11","374","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","211781","211781","Darren Shepherdson","10","10","32","Disconnected","-53 L","0","","1:06.635","1:01.956","2","2","2","4","0","9","34","Australia/NZ","359","329","9","141","9","139","IndyCar Series - Road","100","0"
