"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.11.25 6:00 PM GMT","Watkins Glen International - Cup","IndyCar Series - Road","2017","4","N/A","11","1817"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","151625","151625","Vincent Brehm","1","4","0","Running","-00.000","51","","56.656","54.913","16","55","1","111","18","2","40","Benelux","2982","3045","19","303","19","331","IndyCar Series - Road","100","0"
"2","57","Dallara DW12","63","Dallara DW12","153763","153763","Christian Steele","2","1","0","Running","-01.832","1","","56.690","54.859","14","55","7","104","16","1","6","California Club","4552","4575","20","444","20","434","IndyCar Series - Road","100","0"
"3","57","Dallara DW12","63","Dallara DW12","154558","154558","Liam Quinn","3","2","0","Running","-03.738","0","","56.724","54.904","54","55","1","98","14","1","36","UK and I","4103","4123","20","486","20","499","IndyCar Series - Road","100","0"
"4","57","Dallara DW12","63","Dallara DW12","78932","78932","Niall McBride","4","9","0","Running","-25.488","3","","57.120","55.118","15","55","7","92","12","3","36","UK and I","2172","2225","19","345","19","345","IndyCar Series - Road","100","0"
"5","57","Dallara DW12","63","Dallara DW12","117884","117884","Rikki Gerhardt","8","7","0","Running","-38.790","0","","57.362","55.011","54","55","0","86","10","3","42","DE-AT-CH","2523","2555","20","499","20","499","IndyCar Series - Road","100","0"
"6","57","Dallara DW12","63","Dallara DW12","137764","137764","Sara Dove","6","6","0","Running","-51.024","0","","57.584","55.193","55","55","6","80","8","3","36","UK and I","2759","2775","15","371","15","376","IndyCar Series - Road","100","0"
"7","57","Dallara DW12","63","Dallara DW12","21975","21975","John Downing","7","3","0","Running","-1 L","0","","57.893","55.822","50","54","2","74","6","2","33","Northwest","3141","3138","20","499","20","499","IndyCar Series - Road","100","0"
"8","57","Dallara DW12","63","Dallara DW12","110963","110963","Adam Plunkett","9","8","0","Running","-1 L","0","","58.104","55.665","54","54","5","67","4","3","6","California Club","2316","2322","20","465","20","461","IndyCar Series - Road","100","0"
"9","57","Dallara DW12","63","Dallara DW12","52369","52369","Joe Marks","10","10","0","Running","-1 L","0","","58.616","56.339","12","54","2","61","2","3","32","West","1911","1919","19","370","19","391","IndyCar Series - Road","100","0"
"10","57","Dallara DW12","63","Dallara DW12","211227","211227","Andrew Botterill","11","11","0","Running","-1 L","0","","58.617","56.208","53","54","8","55","0","4","36","UK and I","1705","1710","18","248","18","256","IndyCar Series - Road","100","0"
"11","57","Dallara DW12","63","Dallara DW12","174859","174859","Andreas Eik","5","5","0","Running","-2 L","0","","58.845","55.762","50","53","4","49","0","2","43","Scandinavia","2866","2827","16","499","16","499","IndyCar Series - Road","100","0"
"12","57","Dallara DW12","63","Dallara DW12","59850","59850","Mark Bartholomew","16","13","0","Running","-3 L","0","","1:00.850","57.825","34","52","3","43","0","5","14","New York","1321","1320","18","295","19","361","IndyCar Series - Road","100","0"
"13","57","Dallara DW12","63","Dallara DW12","251691","251691","Andrew Faryniarz","17","15","0","Running","-3 L","0","","1:00.512","57.513","20","52","4","37","0","5","12","New England","1060","1059","11","338","11","359","IndyCar Series - Road","100","0"
"14","57","Dallara DW12","63","Dallara DW12","249198","249198","Jorge Destro","13","12","32","Disconnected","-6 L","0","","1:00.576","57.306","16","49","10","30","0","3","45","Brazil","1636","1602","14","260","14","263","IndyCar Series - Road","100","0"
"15","57","Dallara DW12","63","Dallara DW12","231068","231068","Dan McFarlane","18","17","32","Disconnected","-39 L","0","","57.661","56.960","13","16","7","24","0","8","16","Pennsylvania","851","840","19","306","18","240","IndyCar Series - Road","100","0"
"16","57","Dallara DW12","63","Dallara DW12","48163","48163","David A Levine","12","16","32","Disconnected","-46 L","0","","1:00.560","57.566","3","9","6","18","0","8","26","Illinois","942","916","10","249","10","240","IndyCar Series - Road","100","0"
"17","57","Dallara DW12","63","Dallara DW12","75974","75974","Neil Black","19","19","32","Disconnected","-49 L","0","","1:08.974","1:04.681","2","6","12","12","0","9","15","Canada","555","539","13","150","13","122","IndyCar Series - Road","100","0"
"18","57","Dallara DW12","63","Dallara DW12","146119","146119","Jorge De La Torre","14","14","32","Disconnected","-55 L","0","","00.000","","","0","6","0","0","6","30","Texas","1110","1051","11","317","11","308","IndyCar Series - Road","100","0"
"19","57","Dallara DW12","63","Dallara DW12","93164","93164","Daniel M Murphy","15","18","32","Disconnected","-55 L","0","","00.000","","","0","4","0","0","10","14","New York","615","579","10","260","10","251","IndyCar Series - Road","100","0"
