"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.27 5:00 PM GMT","Phoenix International Raceway - 2008 - Road Course","Global Mazda MX-5 Cup","2018","2","A","7","1980"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","268487","268487","Hakan Guven","3","4","0","Running","-00.000","8","","1:09.384","1:08.127","3","15","4","115","0","0","1","International Club","2199","2282","7","376","7","386","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","305082","305082","Steph Wild","1","3","0","Running","-00.827","7","","1:09.440","1:08.319","3","15","4","103","0","0","42","DE-AT-CH","2325","2386","11","351","11","358","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","258665","258665","Huseyin Cetmen","5","2","0","Running","-08.559","0","","1:09.955","1:08.544","4","15","5","92","0","0","1","International Club","2364","2406","10","239","10","250","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","306704","306704","Matt Pearce","7","8","0","Running","-10.573","0","","1:10.090","1:09.089","5","15","4","80","0","0","36","UK and I","1690","1737","11","333","11","339","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","34436","34436","Paul Knight","6","7","0","Running","-15.345","0","","1:10.407","1:09.321","6","15","4","69","0","0","36","UK and I","1700","1729","7","326","7","339","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","322560","322560","Tony Christensen2","9","10","0","Running","-21.831","0","","1:10.839","1:09.151","4","15","4","57","0","0","43","Scandinavia","1503","1522","6","250","6","269","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","278655","278655","Tino Sturlic","4","6","0","Running","-22.038","0","","1:10.853","1:08.650","3","15","14","46","0","0","46","Central-Eastern Europe","1768","1759","10","242","10","234","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249588","249588","Eric Rojo","11","5","0","Running","-27.755","0","","1:11.234","1:09.271","5","15","2","34","0","0","38","Iberia","1989","1953","14","209","14","225","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321660","321660","Francisco Jorge de la Fuente Merino","10","11","0","Running","-29.235","0","","1:11.333","1:09.080","3","15","4","23","0","0","38","Iberia","1497","1462","6","276","6","296","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321182","321182","Alessandro Tessitore","8","9","0","Running","-1 L","0","","1:17.163","1:08.516","14","14","4","11","0","0","41","Italy","1684","1624","7","361","7","370","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","155909","155909","Nicolas Eouzan","2","1","0","Running","-8 L","0","","1:10.108","1:08.692","5","7","5","5","0","0","39","France","3960","3819","18","221","18","212","Global Mazda MX-5 Cup","100","0"
