"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.11 7:00 PM GMT","Lime Rock Park - Chicane","Global Mazda MX-5 Cup","2018","2","A","9","2159"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311328","311328","Mikkel Gade","1","3","0","Running","-00.000","12","","1:00.818","59.588","2","20","7","125","0","0","43","Scandinavia","2719","2793","13","136","13","137","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","197873","197873","Satoshi Tanaka","2","5","0","Running","-01.515","8","","1:00.894","59.700","2","20","2","112","0","0","47","Asia","1975","2054","7","347","7","356","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","303815","303815","Thor Qualmann","5","4","0","Running","-11.381","0","","1:01.387","1:00.358","7","20","13","100","0","0","43","Scandinavia","2602","2644","15","333","15","307","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","256090","256090","Isidoro Campos","6","8","0","Running","-23.079","0","","1:01.972","1:01.019","9","20","2","87","0","0","38","Iberia","1733","1785","11","344","11","350","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","260968","260968","Tom Loomes","11","9","0","Running","-35.979","0","","1:02.616","1:01.077","14","20","3","75","0","0","36","UK and I","1693","1729","10","237","10","245","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","303363","303363","Javier Carballo Garcia","9","6","0","Running","-39.567","0","","1:02.796","1:01.509","9","20","5","62","0","0","38","Iberia","1840","1852","12","447","12","443","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","291031","291031","Yoann Bill Cousin","10","7","0","Running","-40.580","0","","1:02.846","1:01.397","15","20","3","50","0","0","39","France","1739","1738","11","357","11","358","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","199157","199157","Urbano José Villanueva Rodríguez","8","11","0","Running","-49.825","0","","1:03.309","1:01.504","4","20","3","37","0","0","38","Iberia","1645","1629","14","238","14","243","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","277400","277400","Nick Madsen","3","2","29","Disqualified","-1 L","0","","1:01.200","1:00.105","4","19","18","25","0","0","43","Scandinavia","2811","2739","9","142","9","126","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311541","311541","Maks Bunevich3","4","1","29","Disqualified","-1 L","0","","1:01.205","1:00.208","5","19","19","12","0","0","46","Central-Eastern Europe","5040","4905","18","277","18","208","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","323972","323972","Juergen Lohse","7","10","0","Running","-2 L","0","","1:08.566","1:00.431","2","18","11","6","0","0","42","DE-AT-CH","1661","1590","6","230","6","227","Global Mazda MX-5 Cup","100","0"
