"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.19 8:00 PM GMT","Summit Point Raceway - Jefferson Reverse","Global Mazda MX-5 Cup","2018","2","A","10","1933"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311145","311145","Ivan Cunto","1","9","0","Running","-00.000","15","","55.672","54.974","3","15","0","112","0","0","45","Brazil","1636","1738","11","351","11","360","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","308271","308271","Victor Tchakirian","3","5","0","Running","-04.092","0","","55.945","55.231","7","15","2","100","0","0","39","France","1925","1997","10","242","10","250","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","115052","115052","Ross Strain","2","1","0","Running","-06.760","0","","56.123","55.002","2","15","5","89","0","0","36","UK and I","2807","2833","11","358","11","354","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","323358","323358","Jose Joaquin Montilla Fernandez2","5","8","0","Running","-07.142","0","","56.148","55.265","3","15","3","78","0","0","38","Iberia","1662","1708","7","334","7","338","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","145390","145390","Jérôme Pietquin","7","3","0","Running","-15.293","0","","56.691","55.341","4","15","16","67","0","0","40","Benelux","2076","2088","10","247","10","222","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","307185","307185","Giuseppe Bacigalupo","6","4","0","Running","-15.759","0","","56.723","55.116","2","15","10","56","0","0","24","Hispanoamérica","1970","1969","8","417","8","408","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","257661","257661","Daniel Walther","10","7","0","Running","-24.577","0","","57.310","56.062","4","15","0","44","0","0","42","DE-AT-CH","1799","1786","19","381","19","390","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","72793","72793","Dennis Jaamann","9","10","0","Running","-1 L","0","","56.945","56.486","3","14","1","33","0","0","40","Benelux","1632","1608","7","353","7","361","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","314538","314538","Diego L Cruz","8","11","29","Disqualified","-4 L","0","","56.735","55.211","4","11","17","22","0","0","45","Brazil","1602","1561","6","273","6","249","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","319047","319047","Jose Antonio Baquero Garcia4","4","2","29","Disqualified","-5 L","0","","56.665","55.199","4","10","17","11","0","0","38","Iberia","2464","2373","6","254","6","233","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","253771","253771","Guilherme Martinez","11","6","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","45","Brazil","1902","1814","8","417","8","417","Global Mazda MX-5 Cup","100","0"
