"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.17 6:45 PM GMT","Las Vegas Motor Speedway - Oval","NASCAR iRacing Class A Fixed ","2018","4","N/A","1","2327"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","229855","229855","Jack E Shawley","17","16","0","Running","-00.000","6","","49.329","30.209","28","60","6","144","25","3","25","Carolina","2068","2175","18","297","18","285","NASCAR iRacing Class A Fixed ","100","0"
"2","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","251691","251691","Andrew Faryniarz","1","1","0","Running","-00.410","48","","49.336","29.961","13","60","0","138","23","1","12","New England","7571","7577","20","499","20","499","NASCAR iRacing Class A Fixed ","100","0"
"3","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","127371","127371","Robert Schweda","8","3","0","Running","-00.867","0","","49.343","30.148","39","60","0","132","21","1","42","DE-AT-CH","4183","4222","20","443","20","457","NASCAR iRacing Class A Fixed ","100","0"
"4","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","324230","324230","Conor Reel","9","19","0","Running","-01.291","0","","49.350","30.340","2","60","4","126","19","3","36","UK and I","1763","1857","18","291","18","288","NASCAR iRacing Class A Fixed ","100","0"
"5","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","52356","52356","Tracy Glenn","5","5","0","Running","-01.596","4","","49.356","30.156","15","60","0","120","17","1","31","Great Plains","3870","3899","20","439","20","452","NASCAR iRacing Class A Fixed ","100","0"
"6","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","59591","59591","Petr Jursik","16","13","0","Running","-02.211","0","","49.366","30.203","27","60","0","115","15","3","46","Central-Eastern Europe","2181","2245","19","371","19","385","NASCAR iRacing Class A Fixed ","100","0"
"7","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","16803","16803","Gabriel Stöhr","4","4","0","Running","-02.596","0","","49.372","30.140","39","60","0","109","13","1","42","DE-AT-CH","4100","4109","20","432","20","445","NASCAR iRacing Class A Fixed ","100","0"
"8","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","99134","99134","Antti Terho","7","6","0","Running","-03.094","0","","49.381","30.202","14","60","0","103","11","1","44","Finland","3737","3746","18","261","18","278","NASCAR iRacing Class A Fixed ","100","0"
"9","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","51490","51490","Jimmy Robertson","21","2","0","Running","-03.769","0","","49.392","30.201","27","60","4","97","9","1","29","Midwest","4188","4181","20","490","20","478","NASCAR iRacing Class A Fixed ","100","0"
"10","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","327396","327396","Gabriel Perry","2","7","0","Running","-04.322","0","","49.228","29.961","15","60","4","92","7","1","12","New England","3526","3525","19","311","19","314","NASCAR iRacing Class A Fixed ","100","0"
"11","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","248452","248452","Petteri Suomalainen","11","18","0","Running","-05.384","0","","49.419","30.247","39","60","0","86","5","3","44","Finland","1787","1826","19","346","19","358","NASCAR iRacing Class A Fixed ","100","0"
"12","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","77190","77190","Glenn Fulford","24","21","0","Running","-06.452","0","","47.709","30.390","27","60","0","80","3","3","21","Georgia","1569","1608","18","256","18","280","NASCAR iRacing Class A Fixed ","100","0"
"13","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","244021","244021","Andrew Springer","6","11","0","Running","-06.834","0","","49.443","30.177","2","60","9","74","1","2","23","Mid-South","2649","2647","19","353","19","330","NASCAR iRacing Class A Fixed ","100","0"
"14","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","331209","331209","David Dodd","26","24","0","Running","-07.291","0","","49.450","30.603","28","60","4","69","0","6","21","Georgia","1255","1291","19","380","19","374","NASCAR iRacing Class A Fixed ","100","0"
"15","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","303442","303442","Filipe M Oliveira","25","22","0","Running","-07.952","0","","49.461","30.524","14","60","4","63","0","4","38","Iberia","1551","1568","18","213","18","220","NASCAR iRacing Class A Fixed ","100","0"
"16","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","217071","217071","R. Mike Cox","23","20","0","Running","-08.495","0","","49.470","30.701","14","60","4","57","0","4","31","Great Plains","1665","1670","20","499","20","481","NASCAR iRacing Class A Fixed ","100","0"
"17","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","316131","316131","Jan Stange","10","12","0","Running","-08.889","2","","49.477","30.601","2","60","2","51","0","3","42","DE-AT-CH","2218","2198","18","212","18","227","NASCAR iRacing Class A Fixed ","100","0"
"18","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","122882","122882","Robert Roesch","13","8","0","Running","-09.741","0","","49.491","30.234","14","60","4","46","0","2","25","Carolina","3011","2961","19","335","19","336","NASCAR iRacing Class A Fixed ","100","0"
"19","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","211259","211259","Ross Beaver","20","26","0","Running","-10.998","0","","49.512","30.898","2","60","9","40","0","7","23","Mid-South","1154","1155","19","368","19","341","NASCAR iRacing Class A Fixed ","100","0"
"20","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","272600","272600","J Allen Tyre","22","15","0","Running","-12.539","0","","49.538","30.300","27","60","6","34","0","3","21","Georgia","2132","2091","19","359","19","345","NASCAR iRacing Class A Fixed ","100","0"
"21","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","123379","123379","Antoine Marc","15","9","0","Running","-13.242","0","","49.550","30.272","3","60","12","28","0","2","40","Benelux","2754","2687","19","359","19","323","NASCAR iRacing Class A Fixed ","100","0"
"22","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","74631","74631","Chad Streeter","18","14","0","Running","-14.236","0","","47.175","30.217","27","60","0","23","0","3","21","Georgia","2170","2113","19","379","19","397","NASCAR iRacing Class A Fixed ","100","0"
"23","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","252200","252200","Dustin Musil","12","17","32","Disconnected","-3 L","0","","45.630","30.236","39","57","6","17","0","3","29","Midwest","1979","1920","19","359","19","347","NASCAR iRacing Class A Fixed ","100","0"
