"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.21 6:45 PM GMT","Richmond Raceway","NASCAR iRacing Class A Fixed ","2018","4","N/A","2","2512"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","81346","81346","Tyler McClintock","1","1","0","Running","-00.000","75","","30.010","20.886","13","75","0","146","12","1","23","Mid-South","4149","4201","19","349","19","371","NASCAR iRacing Class A Fixed ","100","0"
"2","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","316264","316264","Max R Brady","12","5","0","Running","-00.216","0","","30.013","21.015","59","75","0","133","10","3","21","Georgia","2715","2788","16","426","16","440","NASCAR iRacing Class A Fixed ","100","0"
"3","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","177152","177152","William E Moore","3","2","0","Running","-00.406","0","","30.016","21.065","20","75","4","121","8","2","23","Mid-South","3476","3513","18","263","18","270","NASCAR iRacing Class A Fixed ","100","0"
"4","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","254880","254880","Jean Philippe Chretien","2","9","0","Running","-01.096","0","","30.025","20.907","20","75","8","109","6","2","39","France","2533","2580","19","341","19","325","NASCAR iRacing Class A Fixed ","100","0"
"5","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","24261","24261","Florian Nelamischkies","9","10","0","Running","-01.861","0","","30.035","21.034","58","75","0","97","4","2","42","DE-AT-CH","2505","2538","19","338","19","361","NASCAR iRacing Class A Fixed ","100","0"
"6","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","15822","15822","Bruno Le Doare","4","8","0","Running","-02.308","0","","30.041","21.291","59","75","4","85","2","2","39","France","2648","2661","18","267","18","276","NASCAR iRacing Class A Fixed ","100","0"
"7","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","173444","173444","Jake Douglas2","5","3","0","Running","-02.631","0","","30.045","21.085","59","75","4","73","0","2","12","New England","3368","3347","18","220","18","236","NASCAR iRacing Class A Fixed ","100","0"
"8","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","98257","98257","Mark Allen4","6","11","0","Running","-04.130","0","","30.065","21.273","58","75","0","60","0","3","29","Midwest","1924","1929","18","232","18","264","NASCAR iRacing Class A Fixed ","100","0"
"9","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","111737","111737","Stefan Waldherr","7","7","0","Running","-05.194","0","","30.079","21.381","7","75","4","48","0","2","42","DE-AT-CH","2674","2641","20","438","20","435","NASCAR iRacing Class A Fixed ","100","0"
"10","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","80607","80607","Joshua Johnston","13","6","0","Running","-07.010","0","","30.104","20.932","56","75","2","36","0","2","14","New York","2758","2707","19","342","19","355","NASCAR iRacing Class A Fixed ","100","0"
"11","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","292155","292155","Andy Lattaway","8","12","0","Running","-08.461","0","","30.123","21.449","19","75","6","24","0","7","36","UK and I","1473","1449","18","273","18","272","NASCAR iRacing Class A Fixed ","100","0"
"12","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","211259","211259","Ross Beaver","10","13","0","Running","-1 L","0","","30.501","21.752","21","74","12","12","0","7","23","Mid-South","1024","1002","18","227","18","213","NASCAR iRacing Class A Fixed ","100","0"
"13","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","105343","105343","Joseph Ciszek","11","4","32","Disconnected","-46 L","0","","33.728","21.114","20","29","7","6","0","2","25","Carolina","3180","3071","18","289","18","258","NASCAR iRacing Class A Fixed ","100","0"
