"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.20 9:00 PM GMT","Richmond Raceway","NASCAR iRacing Class B Fixed","2018","4","N/A","2","3207"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","52934","52934","Brandon Wilkinson","3","1","0","Running","-00.000","70","","25.392","21.095","7","70","0","196","24","1","12","New England","5867","5910","15","335","15","354","NASCAR iRacing Class B Fixed","100","0"
"2","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","111238","111238","Dalton Collins","5","3","0","Running","-00.250","0","","25.395","21.070","8","70","0","187","22","1","23","Mid-South","5272","5317","19","332","19","353","NASCAR iRacing Class B Fixed","100","0"
"3","69","NASCAR XFINITY Toyota Camry","57","Xfinity Series","265916","265916","Andrew Wooten","9","2","0","Running","-01.093","0","","25.407","21.087","7","70","10","179","20","1","25","Carolina","5683","5713","15","349","15","334","NASCAR iRacing Class B Fixed","100","0"
"4","69","NASCAR XFINITY Toyota Camry","57","Xfinity Series","134816","134816","Bobby Maiden III","1","10","0","Running","-01.414","0","","25.412","21.140","8","70","10","171","18","1","17","Virginias","4005","4061","20","448","20","418","NASCAR iRacing Class B Fixed","100","0"
"5","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","278023","278023","Alex Posey","2","9","0","Running","-01.646","0","","25.415","21.080","7","70","4","163","16","2","17","Virginias","4083","4129","19","356","19","351","NASCAR iRacing Class B Fixed","100","0"
"6","69","NASCAR XFINITY Toyota Camry","57","Xfinity Series","249882","249882","David Liaeff","10","4","0","Running","-01.978","0","","25.420","21.234","44","70","0","155","14","1","28","Michigan","4300","4333","19","322","19","344","NASCAR iRacing Class B Fixed","100","0"
"7","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","144552","144552","Roy Elliot","18","6","0","Running","-03.332","0","","25.439","21.214","8","70","2","147","12","1","20","Ohio","4151","4179","13","189","14","260","NASCAR iRacing Class B Fixed","100","0"
"8","51","NASCAR XFINITY Ford Mustang","57","Xfinity Series","49613","49613","Jacob Blair","16","7","0","Running","-03.657","0","","25.444","21.319","45","70","0","138","10","1","31","Great Plains","4107","4128","20","499","20","499","NASCAR iRacing Class B Fixed","100","0"
"9","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","285480","285480","Gregory Willis","6","19","0","Running","-04.380","0","","25.454","21.291","8","70","0","130","8","2","25","Carolina","2500","2555","19","365","19","387","NASCAR iRacing Class B Fixed","100","0"
"10","58","NASCAR XFINITY Chevrolet Camaro","57","Xfinity Series","62761","62761","Riley Halverson II","4","22","0","Running","-05.760","0","","25.474","21.078","7","70","4","122","6","2","25","Carolina","2221","2276","15","396","16","443","NASCAR iRacing Class B Fixed","100","0"
