"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.23 5:45 PM GMT","Detroit Grand Prix at Belle Isle - Belle Isle","Porsche iRacing Cup","2018","4","N/A","2","2961"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","130979","130979","Lando Norris","2","2","0","Running","-00.000","18","","1:32.551","1:31.709","2","19","0","174","15","1","36","UK and I","5805","5843","11","397","12","459","Porsche iRacing Cup","100","0"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","255919","255919","Alexander Thiebe","1","1","0","Running","-03.208","1","","1:32.720","1:32.076","3","19","0","162","13","1","42","DE-AT-CH","7112","7122","18","295","19","361","Porsche iRacing Cup","100","0"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","33098","33098","Tim Claessens","15","4","0","Running","-47.709","0","","1:34.766","1:33.217","12","19","12","150","11","1","40","Benelux","3565","3621","18","250","18","221","Porsche iRacing Cup","100","0"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","231077","231077","Kimmo Killström","11","5","0","Running","-55.550","0","","1:35.475","1:33.237","2","19","4","139","9","2","44","Finland","3472","3518","20","404","20","403","Porsche iRacing Cup","100","0"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","326705","326705","Luis Henriquez","12","14","0","Running","-1:04.347","0","","1:35.938","1:33.772","2","19","0","127","7","2","18","Atlantic","2244","2311","19","352","19","373","Porsche iRacing Cup","100","0"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","249193","249193","Philip Van den Heurck","6","7","0","Running","-1:06.098","0","","1:36.030","1:34.625","2","19","4","116","5","2","40","Benelux","3144","3173","20","492","20","475","Porsche iRacing Cup","100","0"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","219661","219661","Damien Devaux","16","12","0","Running","-1:22.526","0","","1:36.894","1:35.096","2","19","0","104","3","2","39","France","2331","2371","18","245","18","267","Porsche iRacing Cup","100","0"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","114293","114293","Ross Banfield","14","8","0","Running","-1:28.221","0","","1:37.194","1:35.330","15","19","0","92","1","2","17","Virginias","2935","2945","14","260","14","287","Porsche iRacing Cup","100","0"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","273412","273412","Jacob Tofts","5","16","29","Disqualified","-2 L","0","","1:34.746","1:33.498","3","17","17","81","0","3","36","UK and I","2017","2041","14","259","14","230","Porsche iRacing Cup","100","0"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","72890","72890","Chris Wendling","13","9","0","Running","-8 L","0","","1:37.234","1:34.297","5","11","6","69","0","2","27","Indiana","2821","2810","15","327","15","323","Porsche iRacing Cup","100","0"
"11","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","93931","93931","Gordon Mercer","8","15","32","Disconnected","-11 L","0","","1:36.666","1:34.328","2","8","6","58","0","3","15","Canada","2102","2100","18","247","18","234","Porsche iRacing Cup","100","0"
"12","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","48858","48858","Nicholas Fontana","3","6","32","Disconnected","-17 L","0","","1:35.435","1:32.979","2","2","0","46","0","2","12","New England","3163","3118","19","335","19","338","Porsche iRacing Cup","100","0"
"13","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","327210","327210","Martin Christensen4","10","13","32","Disconnected","-18 L","0","","00.000","","","1","4","34","0","3","43","Scandinavia","2286","2253","19","353","19","337","Porsche iRacing Cup","100","0"
"14","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","239055","239055","Pawel Szymanek","4","3","32","Disconnected","-18 L","0","","00.000","","","1","4","23","0","1","46","Central-Eastern Europe","3824","3737","20","499","20","488","Porsche iRacing Cup","100","0"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","295451","295451","Xavier Escudero","9","10","32","Disconnected","-18 L","0","","00.000","","","1","4","11","0","2","38","Iberia","2699","2630","20","439","20","422","Porsche iRacing Cup","100","0"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","298625","298625","Colin Duenker","7","11","32","Disconnected","-19 L","0","","00.000","","","0","4","0","0","3","42","DE-AT-CH","2411","2338","11","333","11","325","Porsche iRacing Cup","100","0"
