"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.30 9:45 PM GMT","Lime Rock Park - Full Course","Porsche iRacing Cup","2018","4","N/A","3","1830"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","314974","314974","Corentin Guinez","1","1","0","Running","-00.000","29","","51.060","49.934","3","29","5","108","12","2","39","France","3456","3503","14","237","14","243","Porsche iRacing Cup","100","0"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","317170","317170","Stefan Brettschneider","2","6","0","Running","-00.944","0","","51.093","50.334","3","29","0","99","10","3","42","DE-AT-CH","1996","2067","11","325","11","339","Porsche iRacing Cup","100","0"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","320441","320441","Ludovic Valarcher","3","5","0","Running","-03.513","0","","51.181","50.662","5","29","0","90","8","3","39","France","2135","2186","16","456","16","465","Porsche iRacing Cup","100","0"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","151580","151580","Johannes Ziske","5","3","0","Running","-04.373","0","","51.211","50.517","7","29","0","81","6","3","42","DE-AT-CH","2191","2225","19","301","19","316","Porsche iRacing Cup","100","0"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","148962","148962","Andrew S Brown","6","2","0","Running","-08.391","0","","51.349","50.697","8","29","2","72","4","2","36","UK and I","3301","3291","14","257","14","269","Porsche iRacing Cup","100","0"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","310159","310159","Daniel Martínez Fulgencio","4","8","0","Running","-12.165","0","","51.479","50.587","3","29","1","63","2","4","38","Iberia","1757","1775","18","247","18","263","Porsche iRacing Cup","100","0"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","308550","308550","Tomasz Siwek","7","4","0","Running","-12.437","0","","51.489","50.860","19","29","1","54","0","3","46","Central-Eastern Europe","2167","2156","14","265","14","282","Porsche iRacing Cup","100","0"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","295464","295464","Lucas Fajardo","10","10","0","Running","-39.918","0","","52.436","51.514","4","29","0","45","0","5","24","Hispanoamérica","1469","1468","14","245","14","266","Porsche iRacing Cup","100","0"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","305665","305665","Daniel Ozcoidi Txosto","9","9","0","Running","-41.925","0","","52.505","51.726","27","29","1","36","0","6","38","Iberia","1577","1557","10","282","11","343","Porsche iRacing Cup","100","0"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","162396","162396","Jean-Pierre Helpap","11","7","0","Running","-49.509","0","","52.767","51.372","6","29","3","27","0","3","42","DE-AT-CH","1939","1890","10","254","10","269","Porsche iRacing Cup","100","0"
"11","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","133435","133435","Zach Peterson","13","13","0","Running","-1 L","0","","53.163","52.026","18","28","4","18","0","6","29","Midwest","981","957","15","332","15","334","Porsche iRacing Cup","100","0"
"12","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","328072","328072","Deyvis J Vizcaino Ch","8","11","0","Running","-1 L","0","","53.168","51.395","2","28","11","9","0","5","24","Hispanoamérica","1157","1109","10","234","10","232","Porsche iRacing Cup","100","0"
"13","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","280566","280566","Javier López Rodriguez","12","12","0","Running","-1 L","0","","53.182","51.823","4","28","2","4","0","6","38","Iberia","1061","1003","11","364","11","373","Porsche iRacing Cup","100","0"
