"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.06 9:45 PM GMT","Nürburgring Nordschleife - Industriefahrten","Porsche iRacing Cup","2018","4","N/A","4","1430"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","311347","311347","Henning Kassens","1","2","0","Running","-00.000","4","","6:57.110","6:56.980","2","4","0","88","16","4","42","DE-AT-CH","1666","1749","19","341","19","363","Porsche iRacing Cup","100","0"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","335906","335906","Harry Thompson","5","4","0","Running","-06.998","0","","6:58.859","6:57.619","4","4","0","82","14","5","36","UK and I","1611","1685","11","369","11","391","Porsche iRacing Cup","100","0"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","256762","256762","Miquel A. Arias","4","3","0","Running","-07.928","0","","6:59.091","6:59.077","2","4","3","77","12","3","38","Iberia","1627","1688","14","247","14","264","Porsche iRacing Cup","100","0"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","315318","315318","Jochen Egger","2","13","0","Running","-38.414","0","","7:06.713","7:02.408","4","4","2","71","10","6","42","DE-AT-CH","1398","1458","19","340","19","355","Porsche iRacing Cup","100","0"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","275952","275952","David Andres Tovar","15","15","0","Running","-39.352","0","","7:06.945","7:05.349","3","4","8","66","8","5","24","Hispanoamérica","1309","1361","14","239","14","246","Porsche iRacing Cup","100","0"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","99676","99676","Hartmut Glöckner","14","14","0","Running","-1:03.888","0","","7:13.079","7:07.706","4","4","0","60","6","5","42","DE-AT-CH","1316","1356","20","466","20","483","Porsche iRacing Cup","100","0"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","232407","232407","Marco Hinrichs","16","16","0","Running","-1:47.895","0","","7:24.081","6:58.666","4","4","9","55","4","6","42","DE-AT-CH","1114","1153","10","208","10","223","Porsche iRacing Cup","100","0"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","308967","308967","Jalaguier Albin","17","17","0","Running","-2:39.743","0","","7:37.042","7:30.008","3","4","8","49","2","8","39","France","868","909","18","206","18","208","Porsche iRacing Cup","100","0"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","276302","276302","Gonzalo Fernandez Yaique","3","1","0","Running","-3:07.883","0","","7:35.869","7:32.075","3","4","1","44","0","3","24","Hispanoamérica","1678","1668","13","171","13","199","Porsche iRacing Cup","100","0"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","319161","319161","Sebastien Jackson","7","6","29","Disqualified","-1 L","0","","8:01.539","","","3","18","38","0","7","15","Canada","1504","1489","11","373","11","350","Porsche iRacing Cup","100","0"
"11","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","341072","341072","Ivan Harasta","6","5","32","Disconnected","-2 L","0","","7:11.183","","","2","12","33","0","4","46","Central-Eastern Europe","1574","1544","11","344","11","331","Porsche iRacing Cup","100","0"
"12","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","237040","237040","Sam Van Baelen","13","12","32","Disconnected","-2 L","0","","7:23.112","","","2","11","27","0","5","40","Benelux","1431","1396","14","247","14","228","Porsche iRacing Cup","100","0"
"13","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","268176","268176","Sebastien Browet","11","10","32","Disconnected","-3 L","0","","7:21.129","","","1","6","22","0","3","40","Benelux","1473","1424","15","333","15","317","Porsche iRacing Cup","100","0"
"14","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","273141","273141","Alex Knauer","10","9","32","Disconnected","-3 L","0","","00.000","","","1","2","16","0","5","42","DE-AT-CH","1476","1416","13","125","13","124","Porsche iRacing Cup","100","0"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","288002","288002","Ryan OToole","9","8","32","Disconnected","-4 L","0","","00.000","","","0","3","0","0","3","30","Texas","1476","1392","14","229","14","224","Porsche iRacing Cup","100","0"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","323040","323040","Glenn Vissers","12","11","32","Disconnected","-4 L","0","","00.000","","","0","6","0","0","4","40","Benelux","1469","1385","15","320","15","302","Porsche iRacing Cup","100","0"
"17","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","276210","276210","Antonio Batista","8","7","32","Disconnected","-4 L","0","","00.000","","","0","0","0","0","5","45","Brazil","1483","1400","10","282","10","282","Porsche iRacing Cup","100","0"
