"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.22 5:45 PM GMT","Brands Hatch Circuit - Grand Prix","Porsche iRacing Cup","2018","4","N/A","6","2732"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","313419","313419","Jordan Deschamps","1","1","0","Running","-00.000","18","","1:25.289","1:24.609","4","18","2","162","16","1","39","France","5965","5997","18","298","18","299","Porsche iRacing Cup","100","0"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","213599","213599","Nils Hartmann","2","4","0","Running","-00.692","0","","1:25.327","1:24.930","4","18","6","151","14","1","42","DE-AT-CH","4632","4674","19","331","19","317","Porsche iRacing Cup","100","0"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","195548","195548","Juan Diego Salguero","3","3","0","Running","-06.751","0","","1:25.664","1:25.066","5","18","9","141","12","1","38","Iberia","5149","5170","18","207","17","150","Porsche iRacing Cup","100","0"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","110457","110457","Will Tregurtha","5","2","0","Running","-15.295","0","","1:26.138","1:25.333","2","18","10","131","10","1","36","UK and I","5156","5165","18","254","18","228","Porsche iRacing Cup","100","0"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","15822","15822","Bruno Le Doare","7","7","0","Running","-24.493","0","","1:26.649","1:25.658","4","18","4","121","8","2","39","France","2719","2769","14","224","14","230","Porsche iRacing Cup","100","0"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","214284","214284","Tasio Vazquez","6","6","0","Running","-24.734","0","","1:26.663","1:25.763","4","18","1","111","6","2","38","Iberia","2744","2782","11","357","11","367","Porsche iRacing Cup","100","0"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","86741","86741","Andreas Voeller","4","5","0","Running","-27.153","0","","1:26.797","1:26.123","4","18","4","101","4","2","42","DE-AT-CH","3138","3154","19","353","19","347","Porsche iRacing Cup","100","0"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","266024","266024","Ricardo Peña Alonso3","16","13","0","Running","-42.824","0","","1:27.667","1:26.627","11","18","6","91","2","2","38","Iberia","2069","2104","18","272","18","251","Porsche iRacing Cup","100","0"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","255138","255138","Ander Marro Allende","11","9","0","Running","-45.313","0","","1:27.806","1:26.606","5","18","11","81","0","3","38","Iberia","2427","2439","15","333","15","313","Porsche iRacing Cup","100","0"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","253301","253301","Chris-Yannik Ebertshäuser","9","8","0","Running","-46.687","0","","1:27.882","1:26.145","18","18","14","70","0","2","42","DE-AT-CH","2496","2495","10","244","10","232","Porsche iRacing Cup","100","0"
"11","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","327262","327262","Dario Portmann","13","12","0","Running","-54.775","0","","1:28.331","1:26.605","13","18","3","60","0","3","42","DE-AT-CH","2095","2094","18","228","18","232","Porsche iRacing Cup","100","0"
"12","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","33826","33826","Uwe Vass","17","16","0","Running","-58.939","0","","1:28.562","1:27.078","18","18","6","50","0","2","42","DE-AT-CH","2013","2003","17","138","17","133","Porsche iRacing Cup","100","0"
"13","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","214670","214670","Christopher Jansen","15","14","0","Running","-1:01.326","0","","1:28.695","1:27.251","15","18","13","40","0","3","42","DE-AT-CH","2067","2044","20","431","19","347","Porsche iRacing Cup","100","0"
"14","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","243325","243325","Erwin Van Den Berg","12","10","0","Running","-1:02.507","0","","1:28.761","1:26.614","7","18","14","30","0","2","40","Benelux","2273","2232","18","238","18","203","Porsche iRacing Cup","100","0"
"15","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","304818","304818","Tommie Lindberg","10","17","0","Running","-1:09.506","0","","1:29.150","1:26.514","3","18","6","20","0","3","43","Scandinavia","2007","1962","13","185","13","187","Porsche iRacing Cup","100","0"
"16","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","308439","308439","Mihkel Kuusik","8","15","0","Running","-1:13.278","0","","1:29.359","1:26.746","14","18","9","10","0","4","46","Central-Eastern Europe","2042","1984","19","358","19","329","Porsche iRacing Cup","100","0"
"17","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","264325","264325","Joey Bolufe","14","11","32","Disconnected","-8 L","0","","1:29.658","1:26.462","5","10","10","5","0","3","22","Florida","2252","2176","19","362","19","322","Porsche iRacing Cup","100","0"
