"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.23 11:45 PM GMT","Canadian Tire Motorsports Park","Porsche iRacing Cup","2018","4","N/A","7","1348"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","282875","282875","Bruno Vitorino","3","1","0","Running","-00.000","5","","1:19.673","1:18.787","3","18","2","78","9","2","45","Brazil","2647","2692","14","230","14","243","Porsche iRacing Cup","100","0"
"2","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","129767","129767","Ethan Simioni","2","4","0","Running","-07.342","0","","1:20.081","1:18.295","7","18","5","69","7","4","15","Canada","1622","1679","14","252","14","254","Porsche iRacing Cup","100","0"
"3","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","310687","310687","Nick Thomas","1","2","0","Running","-11.660","9","","1:20.321","1:18.683","5","18","5","60","5","4","32","West","1902","1929","14","252","14","255","Porsche iRacing Cup","100","0"
"4","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","332476","332476","Edouard Duchamp","5","3","0","Running","-20.446","0","","1:20.808","1:19.431","7","18","6","52","3","6","15","Canada","1738","1751","16","422","16","415","Porsche iRacing Cup","100","0"
"5","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","339182","339182","Masatoshi Saito","7","6","0","Running","-29.623","0","","1:21.318","1:20.316","10","18","0","43","1","R","47","Asia","1339","1348","19","393","20","446","Porsche iRacing Cup","100","0"
"6","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","110840","110840","Scott Pregont","9","7","0","Running","-46.125","0","","1:22.235","1:20.621","7","18","3","34","0","6","14","New York","1227","1222","18","246","18","248","Porsche iRacing Cup","100","0"
"7","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","334610","334610","Sean Sorrell","8","8","0","Running","-2 L","0","","1:26.526","1:21.554","3","16","15","26","0","7","6","California Club","880","874","10","231","10","218","Porsche iRacing Cup","100","0"
"8","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","146687","146687","John Pregont","10","10","0","Running","-2 L","0","","1:31.795","1:28.544","9","16","0","17","0","9","22","Florida","526","524","14","239","14","255","Porsche iRacing Cup","100","0"
"9","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","41926","41926","Douglas Miller2","4","5","32","Disconnected","-5 L","4","","1:19.530","1:18.604","6","13","7","8","0","4","22","Florida","1454","1379","10","218","10","221","Porsche iRacing Cup","100","0"
"10","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","158739","158739","Cristian Perocarpi","6","9","32","Disconnected","-7 L","0","","1:21.023","1:18.932","3","11","5","4","0","9","27","Indiana","850","787","10","250","10","249","Porsche iRacing Cup","100","0"
