"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.11.13 7:45 PM GMT","Suzuka International Racing Course - Grand Prix","Pro Mazda Championship","2017","4","N/A","9","2606"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","4","Pro Mazda","4","Pro Mazda","256997","256997","David Dendelot","6","2","0","Running","-00.000","5","","1:55.963","1:55.200","10","16","3","155","15","3","40","Benelux","3571","3638","19","373","19","378","Pro Mazda Championship","32","0"
"2","4","Pro Mazda","4","Pro Mazda","66038","66038","Fabio Aoki","1","1","0","Running","-00.293","2","","1:55.982","1:55.350","13","16","1","144","13","2","45","Brazil","4109","4152","19","375","19","386","Pro Mazda Championship","32","0"
"3","4","Pro Mazda","4","Pro Mazda","180439","180439","Craig Ridley","10","4","0","Running","-12.592","0","","1:56.750","1:55.338","6","16","3","134","11","2","36","UK and I","3334","3383","19","378","19","379","Pro Mazda Championship","32","0"
"4","4","Pro Mazda","4","Pro Mazda","255734","255734","Vincenzo Taormina","9","7","0","Running","-12.819","0","","1:56.764","1:55.632","6","16","0","124","9","3","16","Pennsylvania","2794","2845","16","426","16","439","Pro Mazda Championship","32","0"
"5","4","Pro Mazda","4","Pro Mazda","209749","209749","Ignacio Tessari","3","3","0","Running","-13.145","0","","1:56.785","1:55.502","15","16","10","113","7","3","24","Hispanoamérica","3488","3508","14","231","14","231","Pro Mazda Championship","32","0"
"6","4","Pro Mazda","4","Pro Mazda","23724","23724","Montxo Gandia","8","12","0","Running","-22.901","0","","1:57.484","1:55.568","6","16","3","103","5","3","38","Iberia","2221","2265","17","104","17","132","Pro Mazda Championship","32","0"
"7","4","Pro Mazda","4","Pro Mazda","132756","132756","Garth Gastmeier","11","13","0","Running","-33.299","0","","1:58.044","1:56.638","8","16","2","93","3","3","15","Canada","2206","2238","19","344","19","356","Pro Mazda Championship","32","0"
"8","4","Pro Mazda","4","Pro Mazda","254881","254881","Danilo Sanfilippo2","14","11","0","Running","-40.530","0","","1:58.496","1:56.761","3","16","7","82","1","2","41","Italy","2260","2278","15","348","15","345","Pro Mazda Championship","32","0"
"9","4","Pro Mazda","4","Pro Mazda","81955","81955","Luuk Kikkert","7","16","0","Running","-46.075","0","","1:58.843","1:55.932","5","16","13","72","0","3","40","Benelux","1990","2005","15","333","15","318","Pro Mazda Championship","32","0"
"10","4","Pro Mazda","4","Pro Mazda","196747","196747","Matthias Huebl","16","14","0","Running","-1:06.137","0","","2:00.096","1:58.761","2","16","0","62","0","4","42","DE-AT-CH","2122","2121","20","429","20","442","Pro Mazda Championship","32","0"
"11","4","Pro Mazda","4","Pro Mazda","52474","52474","Axel Begemann","12","9","0","Running","-1 L","0","","2:08.427","1:56.005","4","15","11","51","0","4","42","DE-AT-CH","2434","2410","11","318","11","317","Pro Mazda Championship","32","0"
"12","4","Pro Mazda","4","Pro Mazda","76373","76373","Brian Egan","2","15","0","Running","-1 L","9","","2:13.176","1:55.349","12","15","4","41","0","3","36","UK and I","1990","1968","10","267","10","285","Pro Mazda Championship","32","0"
"13","4","Pro Mazda","4","Pro Mazda","136419","136419","Arne Stops","13","6","29","Disqualified","-4 L","0","","1:58.470","1:57.465","11","12","17","31","0","2","42","DE-AT-CH","2820","2759","19","313","18","228","Pro Mazda Championship","32","0"
"14","4","Pro Mazda","4","Pro Mazda","208616","208616","Steven Carkner","4","5","0","Running","-5 L","0","","2:53.451","1:56.789","7","11","2","20","0","2","15","Canada","2855","2780","16","418","16","423","Pro Mazda Championship","32","0"
"15","4","Pro Mazda","4","Pro Mazda","23653","23653","John Keefe","15","8","32","Disconnected","-11 L","0","","2:02.516","1:58.801","4","5","5","10","0","2","27","Indiana","2443","2369","20","458","20","438","Pro Mazda Championship","32","0"
"16","4","Pro Mazda","4","Pro Mazda","18412","18412","Anastasios Kalaitzidis","5","10","32","Disconnected","-12 L","0","","1:57.121","1:55.805","4","4","6","5","0","4","42","DE-AT-CH","2288","2206","11","377","11","368","Pro Mazda Championship","32","0"
