"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.06.12 9:00 PM GMT","Watkins Glen International - Boot","Radical Racing Challenge C","2018","3","N/A","1","3302"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","209451","209451","Jaume Dalmases Torres","5","1","0","Running","-00.000","6","","1:42.840","1:41.854","7","15","6","196","18","1","38","Iberia","5753","5799","18","265","18","253","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","113984","113984","Gilberto Miglioranza","1","2","0","Running","-02.020","0","","1:42.975","1:41.990","5","15","12","185","16","1","41","Italy","5612","5649","14","202","13","152","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","118444","118444","Renan Azeredo","3","6","0","Running","-05.560","6","","1:43.211","1:41.866","6","15","3","174","14","1","45","Brazil","4384","4435","10","274","10","286","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","8","10","0","Running","-10.618","0","","1:43.548","1:42.167","5","15","0","163","12","2","36","UK and I","3352","3417","18","238","18","257","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","60840","60840","Chris Atherton","4","7","0","Running","-11.311","0","","1:43.594","1:42.257","3","15","10","152","10","1","36","UK and I","4001","4040","19","344","19","316","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","99654","99654","Anthony Kopec","6","4","0","Running","-15.857","0","","1:43.897","1:42.665","6","15","4","141","8","1","39","France","4590","4605","19","320","19","318","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","243642","243642","Takeshi Kita","9","14","0","Running","-16.106","0","","1:43.913","1:42.687","5","15","0","130","6","2","24","Hispanoamérica","2425","2484","18","250","18","265","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","104769","104769","Ricardo A Martins","12","9","0","Running","-19.674","0","","1:44.151","1:42.842","5","15","0","119","4","2","38","Iberia","3432","3453","18","259","18","276","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","235939","235939","Alexander Galahov","7","5","0","Running","-29.761","0","","1:44.824","1:42.360","5","15","10","108","2","1","46","Central-Eastern Europe","4543","4528","14","280","14","259","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","117732","117732","Phillipp Urquhart","15","13","0","Running","-33.957","0","","1:45.103","1:43.643","11","15","0","98","0","2","36","UK and I","2696","2716","18","248","18","262","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","221525","221525","John Habig","14","15","0","Running","-34.363","0","","1:45.130","1:43.797","12","15","1","87","0","2","27","Indiana","2394","2412","14","252","14","269","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","156445","156445","Joseph Oetzell","17","19","0","Running","-42.049","0","","1:45.642","1:44.074","5","15","5","76","0","2","6","California Club","2314","2324","10","246","10","254","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","218119","218119","Jadson Santos","18","12","0","Running","-47.073","0","","1:45.977","1:44.354","2","15","6","65","0","2","45","Brazil","3059","3038","10","290","10","291","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","74085","74085","Matt Cox","11","8","0","Running","-5 L","0","","2:42.397","1:45.270","10","10","1","54","0","1","36","UK and I","3483","3441","18","215","18","221","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","66527","66527","Michael Talacka","10","18","32","Disconnected","-8 L","0","","1:44.685","1:42.967","4","7","6","43","0","2","36","UK and I","2335","2314","19","305","18","248","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","221041","221041","Hans Heuer","19","16","32","Disconnected","-8 L","0","","1:46.406","1:43.637","5","7","2","32","0","2","42","DE-AT-CH","2362","2329","10","269","10","271","Radical Racing Challenge C","100","0"
"17","13","Radical SR8","15","Radical SR8","204700","204700","Sergio Blasco","2","3","32","Disconnected","-8 L","3","","1:43.334","1:41.953","6","7","6","21","0","1","38","Iberia","5018","4910","14","237","14","226","Radical Racing Challenge C","100","0"
"18","13","Radical SR8","15","Radical SR8","301737","301737","Sietse Boersma","13","11","32","Disconnected","-12 L","0","","1:51.149","","","3","6","10","0","2","40","Benelux","3275","3197","10","210","10","203","Radical Racing Challenge C","100","0"
"19","13","Radical SR8","15","Radical SR8","138819","138819","Emmanuel Suter","16","17","32","Disconnected","-12 L","0","","1:50.331","","","3","5","5","0","2","39","France","2351","2288","19","312","18","252","Radical Racing Challenge C","100","0"
