"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.06.29 7:00 PM GMT","Road Atlanta - Full Course","Radical Racing Challenge C","2018","3","N/A","3","1487"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","16925","16925","Peter Kubin","5","4","0","Running","-00.000","20","","1:17.546","1:16.552","10","20","0","91","15","3","42","DE-AT-CH","1748","1830","14","271","14","296","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","19792","19792","Tibor Wittmann","9","10","0","Running","-25.783","0","","1:18.835","1:17.638","8","20","0","84","13","8","36","UK and I","1428","1511","14","281","15","346","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","328965","328965","Sergio Torrejón","10","6","0","Running","-29.204","0","","1:19.006","1:17.529","7","20","1","78","11","4","38","Iberia","1693","1752","11","373","11","389","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","210895","210895","Marcel Brunschwiler","6","9","0","Running","-33.658","0","","1:19.185","1:17.408","6","20","6","72","9","7","42","DE-AT-CH","1618","1668","11","358","11","362","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","268266","268266","Thomas Orthoff","12","8","0","Running","-36.475","0","","1:19.370","1:17.881","11","20","2","66","7","4","42","DE-AT-CH","1649","1685","15","358","15","368","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","321734","321734","Sunny Chen","11","15","0","Running","-46.302","0","","1:19.861","1:18.115","4","20","2","60","5","7","21","Georgia","873","935","15","315","15","321","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","157459","157459","Didier Lebarbier","7","11","0","Running","-46.621","0","","1:19.877","1:17.741","9","20","2","54","3","5","39","France","1401","1423","14","260","14","273","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","266849","266849","René Demouchy","14","13","0","Running","-48.477","0","","1:19.970","1:18.030","17","20","1","48","1","6","39","France","1327","1340","11","388","12","446","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","207716","207716","Enrique Navarro Izquierdo","8","1","0","Running","-53.730","0","","1:20.233","1:17.146","8","20","4","42","0","3","38","Iberia","2031","2004","18","219","18","225","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","155106","155106","Karl Handley","13","12","0","Running","-1:22.271","0","","1:21.659","1:17.443","14","20","5","36","0","5","36","UK and I","1392","1378","14","255","14","259","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","321066","321066","Jens Witzel","16","16","0","Running","-1 L","0","","1:22.672","1:19.721","10","19","0","30","0","5","42","DE-AT-CH","589","607","11","324","11","342","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","205930","205930","J-René Perron","15","14","0","Running","-1 L","0","","1:22.653","1:18.604","17","19","0","24","0","4","15","Canada","1318","1282","20","499","20","499","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","99553","99553","Riso Rosa","2","2","0","Running","-7 L","0","","2:12.032","1:17.170","5","13","9","18","0","3","46","Central-Eastern Europe","1955","1881","18","238","18","217","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","68213","68213","Thomas Stowers","4","5","32","Disconnected","-9 L","0","","1:19.130","1:16.994","3","11","3","12","0","9","21","Georgia","1742","1663","11","366","11","369","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","137750","137750","Nicholas Poindexter","3","7","32","Disconnected","-11 L","0","","1:22.385","1:17.414","3","9","6","6","0","4","25","Carolina","1680","1592","18","233","18","217","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","287888","287888","Istvan Fodor","1","3","0","Running","-19 L","0","","00.000","","","1","5","3","0","4","46","Central-Eastern Europe","1855","1748","10","222","10","215","Radical Racing Challenge C","100","0"
