"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.08 11:00 PM GMT","Circuit de Spa-Francorchamps - Classic Pits","Radical Racing Challenge C","2018","3","N/A","4","999"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","307029","307029","Orlando J Carbia Acevedo","1","6","0","Running","-00.000","12","","2:18.731","2:17.465","4","12","1","61","15","6","18","Atlantic","1041","1132","10","233","10","256","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","205499","205499","James Claeys","4","4","0","Running","-02.106","0","","2:18.907","2:16.892","5","12","1","56","13","7","25","Carolina","1070","1146","19","367","19","382","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","257201","257201","LE Witman","11","10","0","Running","-21.009","0","","2:20.482","2:18.262","9","12","6","52","11","7","40","Benelux","995","1063","9","190","10","243","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","117512","117512","Steven Southwell","6","7","0","Running","-34.867","0","","2:21.637","2:18.119","5","12","5","48","9","8","30","Texas","1036","1089","10","269","10","284","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","293425","293425","Alexandre Bernardi","12","11","0","Running","-1:03.122","0","","2:21.683","2:16.857","3","12","10","44","7","8","39","France","984","1028","10","224","10","230","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","315647","315647","Sandro Mueller","2","8","0","Running","-1:04.578","0","","2:20.584","2:17.530","9","12","12","40","5","6","42","DE-AT-CH","1021","1050","10","242","10","241","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","264803","264803","Gabe Butler","13","12","0","Running","-1:34.863","0","","2:26.636","2:21.932","6","12","3","36","3","8","22","Florida","956","977","15","345","15","353","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","321225","321225","Michel Bourguignon","10","5","0","Running","-2:06.487","0","","2:29.271","2:22.596","2","12","16","32","1","6","40","Benelux","1069","1070","9","132","9","137","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","132293","132293","Mauricio Moreno2","7","1","32","Disconnected","-2 L","0","","2:19.302","2:17.067","6","10","15","28","0","5","24","Hispanoamérica","1196","1179","11","341","11","325","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","307382","307382","Stuart Cross","5","15","29","Disqualified","-4 L","0","","2:23.551","2:19.874","6","8","17","24","0","7","32","West","850","841","10","224","10","210","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","255581","255581","Guilherme Cravo","8","2","32","Disconnected","-7 L","0","","2:25.107","2:17.301","3","5","9","20","0","5","38","Iberia","1142","1103","14","209","13","149","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","319237","319237","Sam Machin","14","13","32","Disconnected","-8 L","0","","2:22.704","2:17.087","3","4","7","16","0","8","36","UK and I","901","864","9","159","9","155","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","252671","252671","Michael Robinson4","15","14","32","Disconnected","-8 L","0","","2:25.053","","","4","8","12","0","7","31","Great Plains","885","837","11","323","11","313","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","118696","118696","Brandon Gill","16","16","32","Disconnected","-9 L","0","","2:24.964","","","3","6","8","0","9","15","Canada","767","714","10","248","10","240","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","324011","324011","Cesar De los Santos","9","3","32","Disconnected","-9 L","0","","7:37.965","2:23.798","3","3","4","4","0","8","24","Hispanoamérica","1112","1025","15","368","15","358","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","141717","141717","Warren Leitner","3","9","32","Disconnected","-11 L","0","","00.000","","","1","4","2","0","7","25","Carolina","1004","911","11","349","11","341","Radical Racing Challenge C","100","0"
