"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.11 7:00 PM GMT","Silverstone Circuit - Historical Grand Prix","Radical Racing Challenge C","2018","3","N/A","5","1515"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","286129","286129","Glen Corrigan","3","2","0","Running","-00.000","15","","1:36.777","1:35.889","12","15","0","93","18","2","34","Australia/NZ","3027","3076","19","388","20","449","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","78342","78342","Christiaan Tanahatoe","14","1","0","Running","-00.276","0","","1:36.795","1:35.187","4","15","12","87","16","1","40","Benelux","4609","4622","14","215","14","210","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","29874","29874","Alex Koster","4","4","0","Running","-08.398","0","","1:37.337","1:36.093","2","15","0","82","14","3","40","Benelux","2137","2188","20","402","20","414","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","51532","51532","Domingos Frias","1","6","0","Running","-17.455","0","","1:37.941","1:35.575","9","15","8","77","12","3","45","Brazil","1949","1995","14","234","14","237","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","157459","157459","Didier Lebarbier","7","9","0","Running","-27.190","0","","1:38.590","1:37.557","5","15","0","72","10","5","39","France","1478","1531","14","285","15","356","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","127331","127331","Friedrich Ladits","11","7","0","Running","-27.662","0","","1:38.621","1:37.185","8","15","4","67","8","4","42","DE-AT-CH","1622","1659","20","445","20","439","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","161225","161225","Guido Kölsch","8","5","0","Running","-45.288","0","","1:39.796","1:37.102","3","15","9","62","6","3","42","DE-AT-CH","1965","1979","18","272","18","252","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","237281","237281","Oscar Quiroga","19","18","0","Running","-47.143","0","","1:39.919","1:36.930","13","15","8","56","4","7","38","Iberia","861","913","14","210","14","214","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","213957","213957","Abhinav Thakur","15","11","0","Running","-47.323","0","","1:39.931","1:38.104","10","15","4","51","2","7","47","Asia","1220","1243","19","392","19","385","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","156651","156651","Mickey Kern","18","17","0","Running","-1:14.000","0","","1:41.710","1:38.499","11","15","9","46","0","8","17","Virginias","1023","1045","18","251","18","236","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","67034","67034","Neil Brimble","17","16","0","Running","-1:32.665","0","","1:42.954","1:40.672","10","15","4","41","0","7","36","UK and I","1046","1056","14","254","14","263","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","327600","327600","Marco Knisse","6","8","0","Running","-2 L","0","","1:47.234","1:41.016","5","13","4","36","0","R","42","DE-AT-CH","1606","1581","15","341","15","342","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","15644","15644","Joe Walker","13","19","0","Running","-5 L","0","","2:30.743","1:39.993","2","10","14","31","0","9","23","Mid-South","477","501","10","217","10","210","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","21008","21008","Laszlo Miskolczi","5","10","32","Disconnected","-6 L","0","","2:43.699","1:38.490","7","9","5","25","0","7","46","Central-Eastern Europe","1387","1350","18","272","18","261","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","266375","266375","Pedro T M Cardoso","10","12","0","Running","-6 L","0","","2:50.284","1:37.503","4","9","10","20","0","4","45","Brazil","1191","1154","10","216","10","213","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","302041","302041","Richard Clay","16","15","0","Running","-7 L","0","","1:43.340","1:39.134","6","8","9","15","0","6","14","New York","1117","1073","10","282","10","269","Radical Racing Challenge C","100","0"
"17","13","Radical SR8","15","Radical SR8","166808","166808","Petteri Tavaststjerna","12","13","32","Disconnected","-14 L","0","","00.000","","","1","3","10","0","6","44","Finland","1190","1132","10","235","10","229","Radical Racing Challenge C","100","0"
"18","13","Radical SR8","15","Radical SR8","96992","96992","Darrell Taylor","2","3","32","Disconnected","-14 L","0","","00.000","","","1","7","5","0","2","36","UK and I","2435","2321","17","154","17","130","Radical Racing Challenge C","100","0"
"19","13","Radical SR8","15","Radical SR8","321191","321191","Bernd Halang","9","14","32","Disconnected","-14 L","0","","00.000","","","1","4","2","0","7","42","DE-AT-CH","1188","1109","11","363","11","355","Radical Racing Challenge C","100","0"
