"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.20 9:00 PM GMT","Oulton Park Circuit - Intl w/no Chicanes","Radical Racing Challenge C","2018","3","N/A","6","2231"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","189750","189750","Jesper Drlicka","2","1","0","Running","-00.000","20","","1:20.823","1:19.968","9","20","4","135","16","1","30","Texas","5730","5759","18","265","18","270","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","1","4","0","Running","-04.621","0","","1:21.054","1:20.124","5","20","6","126","14","2","36","UK and I","3735","3783","18","251","18","249","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","207763","207763","Barry Baird","4","5","0","Running","-14.911","0","","1:21.569","1:20.288","5","20","10","118","12","1","36","UK and I","3422","3465","18","241","18","218","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","237958","237958","Fabian van Dooren","10","8","0","Running","-39.830","0","","1:22.814","1:21.364","2","20","4","109","10","3","40","Benelux","2445","2501","19","309","19","306","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","170998","170998","Simon Underhill","8","6","0","Running","-44.353","0","","1:23.041","1:20.949","15","20","13","101","8","2","36","UK and I","2551","2592","18","218","17","151","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","254991","254991","Florian Giacomini","12","12","0","Running","-1:11.173","0","","1:24.381","1:22.538","15","20","9","92","6","5","39","France","1613","1671","14","210","14","204","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","210895","210895","Marcel Brunschwiler","11","11","0","Running","-1:14.312","0","","1:24.538","1:21.638","18","20","14","84","4","7","42","DE-AT-CH","2199","2226","19","364","19","318","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","243456","243456","Barry Waldrom","16","15","0","Running","-1:25.069","0","","1:25.076","1:22.721","17","20","3","75","2","8","34","Australia/NZ","1047","1103","20","446","20","435","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","30901","30901","Ed Benson","14","16","0","Running","-1 L","0","","1:26.802","1:24.196","13","19","5","67","0","8","25","Carolina","932","981","16","444","16","440","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","92937","92937","Ryan D Walker","15","13","0","Running","-5 L","0","","1:28.926","1:25.578","10","15","15","59","0","4","36","UK and I","1644","1654","19","371","19","314","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","259769","259769","Josh Brain","7","10","0","Running","-7 L","0","","2:06.759","1:21.824","11","13","10","50","0","4","36","UK and I","2207","2188","15","348","15","329","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","209451","209451","Jaume Dalmases Torres","6","2","32","Disconnected","-9 L","0","","1:21.146","1:19.869","6","11","7","42","0","1","38","Iberia","5433","5337","18","268","18","247","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","28134","28134","Nelson Mason","5","14","32","Disconnected","-10 L","0","","1:21.820","1:20.347","9","10","5","33","0","7","15","Canada","1409","1393","14","248","14","246","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","167588","167588","Antoine Drouin","13","9","32","Disconnected","-17 L","0","","00.000","","","3","6","25","0","2","15","Canada","2416","2356","10","232","10","224","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","237968","237968","Giancarlo Granalli","9","7","32","Disconnected","-17 L","0","","1:29.231","","","3","9","16","0","3","41","Italy","2491","2417","18","207","17","132","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","233182","233182","Gary Reece2","17","17","32","Disconnected","-18 L","0","","1:29.630","1:24.189","2","2","4","8","0","8","36","UK and I","794","769","18","212","17","145","Radical Racing Challenge C","100","0"
"17","13","Radical SR8","15","Radical SR8","112158","112158","Ian Nadin","3","3","0","Running","-19 L","0","","00.000","","","1","2","4","0","1","36","UK and I","3775","3648","14","205","14","200","Radical Racing Challenge C","100","0"
