"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.11 7:00 PM GMT","Road Atlanta - Full Course","Radical Racing Challenge C","2018","4","N/A","1","1951"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","171643","171643","Ivan Hernandez","4","6","0","Running","-00.000","8","","1:17.883","1:16.681","11","20","1","121","23","2","42","DE-AT-CH","2901","2969","19","346","19","356","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","319173","319173","Andre Felix","1","5","0","Running","-01.314","12","","1:17.949","1:16.495","14","20","1","115","21","2","38","Iberia","2919","2978","20","432","20","440","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","84341","84341","Christopher Kasch","2","1","0","Running","-08.390","0","","1:18.343","1:16.654","9","20","6","110","19","1","36","UK and I","4237","4260","20","499","20","499","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","286129","286129","Glen Corrigan","3","3","0","Running","-11.732","0","","1:18.470","1:16.996","15","20","3","105","17","2","34","Australia/NZ","3046","3085","20","437","20","436","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","90604","90604","Jamie-lee Mayers","8","8","0","Running","-20.895","0","","1:18.928","1:17.462","6","20","8","99","15","2","36","UK and I","2653","2694","20","475","20","442","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","29874","29874","Alex Koster","17","9","0","Running","-21.256","0","","1:18.945","1:17.383","6","20","1","94","13","2","40","Benelux","2450","2489","19","312","19","323","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","50401","50401","Robert Plumley","7","4","0","Running","-42.789","0","","1:18.879","1:16.656","18","20","10","89","11","2","36","UK and I","2990","3006","18","266","18","242","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","123107","123107","Francois Gagne","21","17","0","Running","-51.812","0","","1:20.473","1:17.817","9","20","1","84","9","4","15","Canada","1498","1553","19","366","19","378","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","173438","173438","Michael J Taylor","15","16","0","Running","-1:15.699","0","","1:21.668","1:18.522","20","20","5","78","7","4","36","UK and I","1513","1559","14","219","14","227","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","18915","18915","Steve Kagerer","20","13","32","Disconnected","-1 L","0","","1:20.551","1:17.875","9","19","7","73","5","3","15","Canada","1716","1746","15","307","15","306","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","293425","293425","Alexandre Bernardi","23","24","0","Running","-5 L","0","","1:23.014","1:19.081","8","15","11","68","3","7","39","France","953","1007","10","233","10","222","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","140571","140571","Elvis  Emanuele Pellicioli","13","22","0","Running","-6 L","0","","1:22.258","1:18.370","8","14","4","63","1","6","41","Italy","1179","1214","19","358","19","351","Radical Racing Challenge C","40","0"
"13","13","Radical SR8","15","Radical SR8","251294","251294","Mario Lodinger","14","20","0","Running","-7 L","0","","1:24.941","1:19.200","6","13","11","57","0","5","42","DE-AT-CH","1286","1308","14","241","14","225","Radical Racing Challenge C","40","0"
"14","13","Radical SR8","15","Radical SR8","258883","258883","Jack Hobbs","6","7","0","Running","-7 L","0","","2:05.780","1:16.993","11","13","5","52","0","2","36","UK and I","2872","2833","14","211","14","215","Radical Racing Challenge C","40","0"
"15","13","Radical SR8","15","Radical SR8","17823","17823","Derek Roeleveld","18","11","0","Running","-7 L","0","","1:19.875","1:18.619","8","13","4","47","0","3","15","Canada","1983","1963","19","366","19","352","Radical Racing Challenge C","40","0"
"16","13","Radical SR8","15","Radical SR8","177031","177031","Mark J Edmonds","11","19","0","Running","-8 L","0","","2:14.275","1:19.517","2","12","4","42","0","5","36","UK and I","1360","1355","18","262","18","259","Radical Racing Challenge C","40","0"
"17","13","Radical SR8","15","Radical SR8","294983","294983","Mark Young5","22","23","29","Disqualified","-9 L","0","","2:31.574","1:22.735","6","11","17","36","0","7","36","UK and I","1084","1083","10","265","10","231","Radical Racing Challenge C","40","0"
"18","13","Radical SR8","15","Radical SR8","68369","68369","Tae Kim","10","2","32","Disconnected","-12 L","0","","1:19.861","1:16.415","7","8","5","31","0","1","15","Canada","3649","3559","14","234","14","228","Radical Racing Challenge C","40","0"
"19","13","Radical SR8","15","Radical SR8","185825","185825","Stéphane Lesly","9","15","0","Running","-13 L","0","","4:43.576","1:18.724","5","7","5","26","0","4","39","France","1675","1632","18","258","18","245","Radical Racing Challenge C","40","0"
"20","13","Radical SR8","15","Radical SR8","163933","163933","Marius Jonikas","16","21","32","Disconnected","-16 L","0","","1:23.145","1:19.605","3","4","4","21","0","6","46","Central-Eastern Europe","1183","1153","15","343","15","330","Radical Racing Challenge C","40","0"
"21","13","Radical SR8","15","Radical SR8","77452","77452","Yohann Margot","19","12","0","Running","-18 L","0","","00.000","","","2","2","15","0","3","39","France","1926","1858","18","252","18","245","Radical Racing Challenge C","40","0"
"22","13","Radical SR8","15","Radical SR8","172234","172234","Rene Lopez","5","10","0","Running","-19 L","0","","00.000","","","1","8","10","0","3","36","UK and I","2056","1976","20","411","19","342","Radical Racing Challenge C","40","0"
"23","13","Radical SR8","15","Radical SR8","275898","275898","Tomasz Hamryszak","12","14","32","Disconnected","-20 L","0","","00.000","","","0","4","0","0","4","15","Canada","1708","1628","14","259","14","248","Radical Racing Challenge C","40","0"
"24","13","Radical SR8","15","Radical SR8","283731","283731","Paul Rosanski","24","18","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","4","42","DE-AT-CH","1461","1390","10","257","10","257","Radical Racing Challenge C","40","0"
