"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.12 7:00 PM GMT","Road Atlanta - Full Course","Radical Racing Challenge C","2018","4","N/A","1","1658"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","84341","84341","Christopher Kasch","1","1","0","Running","-00.000","20","","1:17.321","1:16.275","7","20","2","102","18","1","36","UK and I","4260","4292","20","499","20","499","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","319173","319173","Andre Felix","2","3","0","Running","-02.390","0","","1:17.441","1:16.444","11","20","0","96","16","2","38","Iberia","2978","3023","20","435","20","444","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","224869","224869","Tobias Seigner","3","2","0","Running","-07.868","0","","1:17.715","1:16.815","15","20","1","90","14","2","42","DE-AT-CH","3048","3081","19","336","19","350","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","185825","185825","Stéphane Lesly","6","9","0","Running","-25.203","0","","1:18.581","1:17.150","6","20","2","85","12","4","39","France","1632","1696","18","245","18","260","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","119166","119166","Randy Shewmake","5","7","0","Running","-41.541","0","","1:19.398","1:17.480","2","20","4","79","10","3","30","Texas","1865","1910","20","429","20","425","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","302857","302857","Daniel Sharp","8","6","0","Running","-42.761","0","","1:19.459","1:17.037","13","20","3","73","8","3","36","UK and I","2215","2238","19","342","19","346","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","316408","316408","Andrea Cini","7","4","0","Running","-47.115","0","","1:19.091","1:17.285","5","20","6","68","6","2","41","Italy","2774","2772","12","446","12","444","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","157459","157459","Didier Lebarbier","10","12","0","Running","-1:02.454","0","","1:20.444","1:18.660","2","20","2","62","4","4","39","France","1458","1487","16","445","16","450","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","166808","166808","Petteri Tavaststjerna","15","16","0","Running","-1:06.961","0","","1:20.669","1:18.266","16","20","3","56","2","7","44","Finland","1076","1111","10","260","10","276","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","189168","189168","Thomas Tucker","11","8","0","Running","-1 L","0","","1:20.036","1:18.127","8","19","7","51","0","4","17","Virginias","1698","1697","19","351","19","336","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","67034","67034","Neil Brimble","18","17","0","Running","-1 L","0","","1:23.962","1:20.485","10","19","5","45","0","7","36","UK and I","1036","1052","14","252","14","251","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","275437","275437","Jonas Wallander","13","14","0","Running","-3 L","0","","1:23.496","1:19.502","9","17","8","39","0","6","43","Scandinavia","1246","1243","18","279","18","258","Radical Racing Challenge C","40","0"
"13","13","Radical SR8","15","Radical SR8","202344","202344","Manel Segret","17","15","0","Running","-10 L","0","","1:25.088","1:20.972","5","10","5","34","0","6","38","Iberia","1183","1172","19","304","18","248","Radical Racing Challenge C","40","0"
"14","13","Radical SR8","15","Radical SR8","320662","320662","Oliver Schmiedchen","9","11","0","Running","-12 L","0","","1:20.341","1:18.217","4","8","3","28","0","4","42","DE-AT-CH","1466","1432","14","244","14","246","Radical Racing Challenge C","40","0"
"15","13","Radical SR8","15","Radical SR8","29874","29874","Alex Koster","4","5","0","Running","-13 L","0","","7:00.394","1:19.794","6","7","4","22","0","2","40","Benelux","2533","2453","19","334","19","323","Radical Racing Challenge C","40","0"
"16","13","Radical SR8","15","Radical SR8","273571","273571","Pascal Martineau2","16","13","0","Running","-13 L","0","","4:16.443","1:20.548","5","7","5","17","0","5","39","France","1389","1337","14","279","14","268","Radical Racing Challenge C","40","0"
"17","13","Radical SR8","15","Radical SR8","286143","286143","Cameron Smith6","14","10","32","Disconnected","-14 L","0","","1:24.174","1:19.363","2","6","5","11","0","5","36","UK and I","1477","1411","10","268","10","262","Radical Racing Challenge C","40","0"
"18","13","Radical SR8","15","Radical SR8","293425","293425","Alexandre Bernardi","12","18","0","Running","-18 L","0","","00.000","","","2","9","5","0","7","39","France","934","883","10","207","9","156","Radical Racing Challenge C","40","0"
"19","13","Radical SR8","15","Radical SR8","259467","259467","Billie Briggins2","19","19","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","10","25","Carolina","301","279","10","276","10","276","Radical Racing Challenge C","40","0"
