"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.09.24 5:00 PM GMT","Lime Rock Park - Full Course","Radical Racing Challenge C","2018","4","N/A","2","1201"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","217357","217357","Jesco Kaczmarek","2","11","0","Running","-00.000","25","","48.202","47.572","11","30","0","72","11","7","42","DE-AT-CH","957","1062","14","223","14","241","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","209035","209035","Nils Schmidt2","1","3","0","Running","-18.484","5","","48.818","47.121","19","30","7","65","9","5","42","DE-AT-CH","1443","1505","11","362","11","359","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","278249","278249","Daniel W Taylor","5","6","0","Running","-18.808","0","","48.829","47.478","10","30","6","58","7","5","36","UK and I","1276","1330","10","233","10","240","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","332337","332337","Rafael Ruano Calmaestra2","11","10","0","Running","-37.174","0","","49.441","47.960","27","30","1","52","5","7","38","Iberia","999","1051","10","256","10","272","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","336177","336177","Mark Bredbenner","9","7","0","Running","-43.236","0","","49.643","47.861","25","30","4","45","3","7","12","New England","1247","1269","14","287","14","292","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","290372","290372","Michael Donlan","10","9","0","Running","-4 L","0","","49.690","48.263","13","26","3","39","1","7","27","Indiana","1039","1055","15","351","15","346","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","323833","323833","Manuel De Jose Ortiz","6","12","0","Running","-12 L","0","","1:21.341","47.366","7","18","11","32","0","9","38","Iberia","720","741","10","265","10","252","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","301388","301388","Jose Vazquez Padilla","8","8","0","Running","-12 L","0","","52.168","47.965","10","18","6","26","0","6","38","Iberia","1125","1104","10","232","10","234","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","194522","194522","Jose Luis Paz Vilas","4","1","32","Disconnected","-15 L","0","","50.378","47.465","5","15","7","19","0","4","38","Iberia","1649","1587","18","247","18","225","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","301670","301670","Jacques Beaurain","3","4","0","Running","-16 L","0","","49.393","47.141","4","14","9","13","0","5","39","France","1362","1296","14","246","14","228","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","336105","336105","David Pernas","7","2","32","Disconnected","-29 L","0","","00.000","","","1","4","6","0","5","38","Iberia","1446","1359","10","262","10","251","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","250008","250008","Maxim Kapustin","12","5","32","Disconnected","-30 L","0","","00.000","","","0","0","0","0","5","46","Central-Eastern Europe","1316","1220","10","217","10","217","Radical Racing Challenge C","40","0"
