"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.11 11:00 PM GMT","Circuit de Spa-Francorchamps - Classic Pits","Radical Racing Challenge C","2018","4","N/A","5","2553"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","107016","107016","Stephane Gamblin","1","3","0","Running","-00.000","6","","2:15.476","2:14.146","7","12","3","155","19","1","39","France","3849","3912","19","336","19","343","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","143851","143851","Michael Guariglia","19","6","0","Running","-04.491","0","","2:15.849","2:13.819","4","12","5","146","17","2","25","Carolina","3027","3100","14","230","14","237","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","159155","159155","Rob Crouch","8","8","0","Running","-09.865","0","","2:16.298","2:14.398","7","12","4","138","15","2","34","Australia/NZ","2851","2919","19","341","19","344","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","182312","182312","Chinmai Kristo Punukollu","7","2","0","Running","-16.743","0","","2:16.871","2:15.226","6","12","4","130","13","1","47","Asia","4768","4783","20","433","20","428","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","198584","198584","Deh Marques","6","5","0","Running","-21.794","0","","2:17.292","2:15.930","5","12","11","122","11","2","45","Brazil","3031","3074","14","220","14","217","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","260841","260841","Andrew Love","20","12","0","Running","-45.463","0","","2:19.263","2:16.227","7","12","2","114","9","4","17","Virginias","2243","2299","15","318","15","329","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","27386","27386","Mark Jeangerard","12","16","0","Running","-47.209","0","","2:16.516","2:15.603","4","12","0","106","7","3","32","West","1950","2006","20","422","20","436","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","223288","223288","Adam Hadfield","14","15","0","Running","-1:01.520","0","","2:20.602","2:17.988","4","12","9","97","5","3","36","UK and I","1990","2035","15","343","15","334","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","297498","297498","Erich Merrill III","18","20","0","Running","-1:20.081","0","","2:22.148","2:19.714","6","12","0","89","3","4","33","Northwest","1655","1701","14","294","15","365","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","267097","267097","Ignacio Papp","2","11","0","Running","-1 L","6","","2:15.454","2:14.204","6","11","14","81","1","2","38","Iberia","2587","2593","20","405","19","330","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","342014","342014","david Flamant","17","18","0","Running","-3 L","0","","2:20.249","2:17.311","5","9","8","73","0","3","39","France","1785","1807","11","344","11","340","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","306904","306904","Ricardo Prieto2","15","17","0","Running","-5 L","0","","4:04.654","2:17.054","5","7","6","65","0","10","38","Iberia","1850","1859","11","314","11","311","Radical Racing Challenge C","40","0"
"13","13","Radical SR8","15","Radical SR8","247114","247114","Brenden Campbell","11","10","0","Running","-6 L","0","","4:37.507","","","6","9","57","0","2","34","Australia/NZ","2834","2804","16","465","16","437","Radical Racing Challenge C","40","0"
"14","13","Radical SR8","15","Radical SR8","32250","32250","Doug Lierle","3","1","29","Disqualified","-7 L","0","","00.000","","","5","4","48","0","1","6","California Club","5321","5228","19","380","19","368","Radical Racing Challenge C","40","0"
"15","13","Radical SR8","15","Radical SR8","304812","304812","Nicolas Salmini","4","9","0","Running","-7 L","0","","6:31.946","2:17.317","4","5","5","40","0","2","45","Brazil","2836","2786","18","279","18","264","Radical Racing Challenge C","40","0"
"16","13","Radical SR8","15","Radical SR8","310858","310858","Onur Ozben","9","19","0","Running","-7 L","0","","2:20.572","","","5","10","32","0","3","1","International Club","1707","1682","10","219","10","210","Radical Racing Challenge C","40","0"
"17","13","Radical SR8","15","Radical SR8","51816","51816","Marc-Andre Seguin","10","13","0","Running","-8 L","0","","8:06.711","2:21.663","3","4","9","24","0","3","15","Canada","2022","1977","11","349","11","336","Radical Racing Challenge C","40","0"
"18","13","Radical SR8","15","Radical SR8","20399","20399","Kristof Huyck","16","14","32","Disconnected","-10 L","0","","2:24.242","2:16.059","2","2","7","16","0","3","40","Benelux","1993","1939","14","236","14","220","Radical Racing Challenge C","40","0"
"19","13","Radical SR8","15","Radical SR8","337820","337820","Miguel San Martín","13","4","32","Disconnected","-11 L","0","","00.000","","","1","4","8","0","2","24","Hispanoamérica","3348","3245","15","350","15","337","Radical Racing Challenge C","40","0"
"20","13","Radical SR8","15","Radical SR8","118122","118122","Jimmy Mullis","5","7","32","Disconnected","-12 L","0","","00.000","","","0","4","0","0","2","25","Carolina","2919","2817","14","257","14","247","Radical Racing Challenge C","40","0"
