"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.16 9:00 PM GMT","Oulton Park Circuit - International","Radical Racing Challenge C","2018","4","N/A","6","2021"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","84341","84341","Christopher Kasch","1","1","0","Running","-00.000","18","","1:29.871","1:28.641","4","18","3","118","11","1","36","UK and I","4595","4631","19","353","19","362","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","60840","60840","Chris Atherton","3","3","0","Running","-17.438","0","","1:30.840","1:28.395","6","18","7","107","9","1","36","UK and I","3938","3969","18","234","18","238","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","82074","82074","Rodrigo Peres","7","7","0","Running","-43.111","0","","1:32.266","1:30.992","6","18","3","96","7","3","45","Brazil","2057","2116","16","470","16","474","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","259769","259769","Josh Brain","4","6","0","Running","-55.732","0","","1:32.967","1:30.332","4","18","10","85","5","3","36","UK and I","2146","2186","15","384","15","368","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","324656","324656","Gianluca Colacione","9","8","0","Running","-1:11.152","0","","1:33.823","1:32.398","11","18","2","75","3","5","41","Italy","1290","1343","19","322","19","335","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","235956","235956","Jason Rozentals","11","9","0","Running","-1:12.697","0","","1:33.909","1:31.133","13","18","5","64","1","6","36","UK and I","1194","1234","14","242","14","257","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","340009","340009","Bob Bosserman","10","12","0","Running","-1 L","0","","1:40.813","1:38.246","12","17","5","53","0","8","33","Northwest","979","1012","11","393","12","443","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","2","2","0","Running","-6 L","0","","2:21.686","1:28.528","3","12","7","42","0","1","36","UK and I","4250","4176","18","236","18","228","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","159155","159155","Rob Crouch","6","4","0","Running","-6 L","0","","2:23.279","1:30.759","9","12","9","32","0","2","34","Australia/NZ","2893","2830","19","307","18","244","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","301597","301597","Guy Crawford","5","5","0","Running","-7 L","0","","1:39.363","1:31.210","6","11","13","21","0","3","36","UK and I","2226","2164","15","355","15","328","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","277461","277461","Elliot Javed","12","11","0","Running","-7 L","0","","1:40.446","1:32.723","4","11","7","10","0","7","36","UK and I","1115","1077","10","253","10","255","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","212744","212744","Joseph Vidmajer","8","10","32","Disconnected","-11 L","0","","1:35.665","1:32.638","6","7","5","5","0","6","34","Australia/NZ","1138","1083","10","253","10","251","Radical Racing Challenge C","40","0"
