"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.10.17 5:00 PM GMT","Oulton Park Circuit - International","Radical Racing Challenge C","2018","4","N/A","6","1948"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","230463","230463","Cesar Armengod","1","1","0","Running","-00.000","18","","1:29.097","1:28.271","4","18","3","118","16","1","38","Iberia","6261","6280","18","225","18","242","Radical Racing Challenge C","40","0"
"2","13","Radical SR8","15","Radical SR8","305893","305893","Ty Keveth","3","4","0","Running","-13.853","0","","1:29.867","1:28.712","14","18","5","110","14","2","36","UK and I","2626","2690","17","147","17","162","Radical Racing Challenge C","40","0"
"3","13","Radical SR8","15","Radical SR8","207433","207433","Fabio Iotti","2","2","0","Running","-18.188","0","","1:30.108","1:28.686","8","18","10","103","12","1","41","Italy","5515","5518","18","211","18","210","Radical Racing Challenge C","40","0"
"4","13","Radical SR8","15","Radical SR8","146886","146886","Loic Barbe","7","3","0","Running","-38.798","0","","1:31.253","1:29.783","13","18","3","95","10","1","39","France","3924","3938","19","341","19","346","Radical Racing Challenge C","40","0"
"5","13","Radical SR8","15","Radical SR8","158952","158952","Claudio Ferrera","6","7","0","Running","-42.879","0","","1:31.479","1:30.400","11","18","1","88","8","2","42","DE-AT-CH","2272","2311","19","371","19","389","Radical Racing Challenge C","40","0"
"6","13","Radical SR8","15","Radical SR8","287364","287364","Eric Henriksen","4","6","0","Running","-43.744","0","","1:31.527","1:30.183","14","18","2","81","6","2","23","Mid-South","2292","2318","16","440","16","450","Radical Racing Challenge C","40","0"
"7","13","Radical SR8","15","Radical SR8","29874","29874","Alex Koster","14","9","0","Running","-46.170","0","","1:31.662","1:30.024","17","18","9","73","4","2","40","Benelux","2108","2128","18","256","18","244","Radical Racing Challenge C","40","0"
"8","13","Radical SR8","15","Radical SR8","218009","218009","Yannick S. Reigner","9","10","0","Running","-1:12.612","0","","1:33.131","1:30.992","12","18","3","66","2","5","42","DE-AT-CH","1545","1572","15","360","15","372","Radical Racing Challenge C","40","0"
"9","13","Radical SR8","15","Radical SR8","225874","225874","Yvan Snig","12","13","0","Running","-1:24.915","0","","1:33.814","1:31.816","11","18","8","59","0","5","46","Central-Eastern Europe","1398","1419","15","344","15","340","Radical Racing Challenge C","40","0"
"10","13","Radical SR8","15","Radical SR8","287025","287025","Jordan Gustin","15","14","0","Running","-1:32.842","0","","1:34.255","1:31.256","8","18","5","51","0","7","40","Benelux","1161","1180","10","281","10","298","Radical Racing Challenge C","40","0"
"11","13","Radical SR8","15","Radical SR8","302857","302857","Daniel Sharp","5","5","32","Disconnected","-4 L","0","","1:33.543","1:30.670","8","14","15","44","0","3","36","UK and I","2353","2320","18","224","17","152","Radical Racing Challenge C","40","0"
"12","13","Radical SR8","15","Radical SR8","335070","335070","Lerousseau Hugo","10","15","0","Running","-6 L","0","","1:33.439","1:31.007","7","12","6","36","0","5","39","France","1106","1105","10","281","10","285","Radical Racing Challenge C","40","0"
"13","13","Radical SR8","15","Radical SR8","187911","187911","David H Leisegang","8","8","0","Running","-6 L","0","","2:20.806","1:30.656","12","12","4","29","0","3","1","International Club","2219","2166","20","462","20","451","Radical Racing Challenge C","40","0"
"14","13","Radical SR8","15","Radical SR8","177031","177031","Mark J Edmonds","13","12","0","Running","-6 L","0","","2:23.621","1:33.516","9","12","5","22","0","5","36","UK and I","1513","1472","17","156","17","159","Radical Racing Challenge C","40","0"
"15","13","Radical SR8","15","Radical SR8","106040","106040","Adam Shaw2","17","17","32","Disconnected","-9 L","0","","1:39.841","1:35.168","7","9","14","14","0","10","20","Ohio","462","458","10","232","10","221","Radical Racing Challenge C","40","0"
"16","13","Radical SR8","15","Radical SR8","236881","236881","Adam Kyles","16","16","32","Disconnected","-13 L","0","","1:41.363","1:36.800","2","5","7","7","0","7","34","Australia/NZ","1022","978","10","220","10","217","Radical Racing Challenge C","40","0"
"17","13","Radical SR8","15","Radical SR8","44228","44228","Glenn Read","11","11","32","Disconnected","-17 L","0","","00.000","","","1","1","3","0","4","36","UK and I","1528","1452","18","243","18","239","Radical Racing Challenge C","40","0"
