"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2018.12.05 11:00 PM GMT","Charlotte Motor Speedway - Roval","13th Week Roval Race","2018","4","N/A","1","1111",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","265527","265527","Kyle Carpenter","2","1","0","Running","-00.000","14","","1:18.363","1:16.930","12","15","0","0","0","0","25","Carolina","1209","1209","10","268","10","268","13th Week Roval Race","100","0"
"2","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","142858","142858","Luke Turpin","11","12","0","Running","-04.212","0","","1:18.644","1:15.774","6","15","18","0","0","0","25","Carolina","","","2","254","2","254","13th Week Roval Race","100","0"
"3","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","332793","332793","Boyd Hoggan","4","51","0","Running","-05.195","1","","1:18.709","1:16.354","8","15","12","0","0","0","15","Canada","","","2","250","2","250","13th Week Roval Race","100","0"
"4","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","248988","248988","Sartaj Mann","20","49","0","Running","-24.306","0","","1:19.983","1:18.103","10","15","10","0","0","0","30","Texas","940","940","10","230","10","230","13th Week Roval Race","100","0"
"5","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","315518","315518","Austin Olive","19","012","0","Running","-44.317","0","","1:21.317","1:17.579","3","15","9","0","0","0","17","Virginias","943","943","6","228","6","228","13th Week Roval Race","100","0"
"6","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","334890","334890","Justin Adolfsen","6","3","0","Running","-47.255","0","","1:21.513","1:19.390","10","15","4","0","0","0","14","New York","","","2","250","2","250","13th Week Roval Race","100","0"
"7","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","287620","287620","William Anderson8","9","4","0","Running","-51.017","0","","1:21.764","1:19.165","8","15","9","0","0","0","14","New York","1171","1171","6","296","6","296","13th Week Roval Race","100","0"
"8","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","115825","115825","Philip hayden","3","14","0","Running","-1:00.629","0","","1:22.405","1:19.469","6","15","7","0","0","0","6","California Club","1204","1204","15","344","15","344","13th Week Roval Race","100","0"
"9","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","332478","332478","Blake Kelley","23","5","0","Running","-1 L","0","","1:23.004","1:18.276","5","14","7","0","0","0","23","Mid-South","","","2","232","2","232","13th Week Roval Race","100","0"
"10","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","28244","28244","Collin Carroll","17","24","32","Disconnected","-5 L","0","","1:21.963","1:18.010","6","10","9","0","0","0","22","Florida","957","957","10","235","10","235","13th Week Roval Race","100","0"
"11","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","90649","90649","Collin Fern","13","53","32","Disconnected","-7 L","0","","1:23.106","1:17.376","4","8","12","0","0","0","14","New York","1050","1050","10","215","10","215","13th Week Roval Race","100","0"
"12","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","292001","292001","Timothy Glynn","25","02","32","Disconnected","-9 L","0","","1:33.300","1:22.839","3","6","8","0","0","0","12","New England","846","846","7","355","7","355","13th Week Roval Race","100","0"
"13","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","81207","81207","Dennis Sather","1","11","32","Disconnected","-11 L","0","","1:25.747","1:20.093","2","4","16","0","0","0","6","California Club","963","963","18","234","18","234","13th Week Roval Race","100","0"
"14","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","264215","264215","Donald Powers","16","71","32","Disconnected","-11 L","0","","1:28.132","1:18.629","3","4","10","0","0","0","15","Canada","993","993","7","346","7","346","13th Week Roval Race","100","0"
"15","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","198423","198423","Grant Sartain2","24","31","32","Disconnected","-12 L","0","","1:38.613","1:24.838","2","3","2","0","0","0","23","Mid-South","","","2","271","2","271","13th Week Roval Race","100","0"
"16","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","335577","335577","Branden Kloosterhuis","10","94","32","Disconnected","-13 L","0","","1:36.289","","","2","18","0","0","0","15","Canada","","","2","267","2","267","13th Week Roval Race","100","0"
"17","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","54961","54961","Christopher Birling","22","10","32","Disconnected","-13 L","0","","1:34.684","","","2","8","0","0","0","29","Midwest","893","893","18","242","18","242","13th Week Roval Race","100","0"
"18","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","306425","306425","Meta Lockwood","14","6","32","Disconnected","-13 L","0","","00.000","","","2","12","0","0","0","25","Carolina","","","2","248","2","248","13th Week Roval Race","100","0"
"19","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","116343","116343","Craig Kenny","12","90","32","Disconnected","-14 L","0","","1:36.515","","","1","12","0","0","0","15","Canada","1062","1062","17","130","17","130","13th Week Roval Race","100","0"
"20","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","268958","268958","Steve Miskolczi","18","8","32","Disconnected","-14 L","0","","1:51.598","","","1","8","0","0","0","18","Atlantic","","","2","247","2","247","13th Week Roval Race","100","0"
"21","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","332809","332809","Joshua Nelson3","15","7","32","Disconnected","-14 L","0","","00.000","","","1","7","0","0","0","23","Mid-South","","","2","256","2","256","13th Week Roval Race","100","0"
"22","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","346006","346006","Nick Vann","5","46","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","14","New York","","","2","250","2","250","13th Week Roval Race","100","0"
"23","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","309031","309031","Zach Creller","7","2","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","14","New York","","","2","250","2","250","13th Week Roval Race","100","0"
"24","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","343925","343925","Jered Siebler","8","420","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","31","Great Plains","","","2","250","2","250","13th Week Roval Race","100","0"
"25","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","251546","251546","Michael Neary","21","9","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","15","Canada","937","937","10","265","10","265","13th Week Roval Race","100","0"
