"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2018.12.06 10:00 PM GMT","Charlotte Motor Speedway - Roval","13th Week Roval Race","2018","4","N/A","1","1926",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","112868","112868","Taylor Bowe","2","54","0","Running","-00.000","1","","1:16.123","1:14.345","2","15","6","0","0","0","6","California Club","2346","2346","12","479","12","479","13th Week Roval Race","100","0"
"2","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","216050","216050","Thomas Bressi III","13","24","0","Running","-05.710","0","","1:16.503","1:14.204","4","15","8","0","0","0","16","Pennsylvania","1469","1469","20","446","20","446","13th Week Roval Race","100","0"
"3","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","207737","207737","Justin Faulkner","3","51","0","Running","-48.472","14","","1:16.082","1:14.583","3","15","9","0","0","0","22","Florida","1400","1400","10","242","10","242","13th Week Roval Race","100","0"
"4","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","287254","287254","Evan Marlow","17","22","0","Running","-56.471","0","","1:19.887","1:15.859","3","15","9","0","0","0","27","Indiana","1352","1352","6","261","6","261","13th Week Roval Race","100","0"
"5","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","128210","128210","Aaron Kitterman","10","5","0","Running","-57.392","0","","1:20.278","1:16.170","5","15","11","0","0","0","26","Illinois","1811","1811","19","316","19","316","13th Week Roval Race","100","0"
"6","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","123143","123143","Jorge Ordonez Villegas","8","3","0","Running","-1 L","0","","1:23.659","1:15.815","2","14","32","0","0","0","24","Hispanoamérica","3147","3147","18","279","18","279","13th Week Roval Race","100","0"
"7","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","285298","285298","Jarret Causby","15","11","0","Running","-2 L","0","","1:28.000","1:17.673","6","13","19","0","0","0","20","Ohio","1451","1451","11","337","11","337","13th Week Roval Race","100","0"
"8","103","NASCAR Monster Energy Cup Chevrolet Camaro ZL1","50","Sprint Cup","320311","320311","Geoff Gerline","20","7","0","Running","-2 L","0","","1:29.826","1:21.258","11","13","16","0","0","0","27","Indiana","","","2","250","2","250","13th Week Roval Race","100","0"
"9","46","NASCAR Monster Energy Cup Ford Fusion","50","Sprint Cup","254536","254536","James Saffell","18","21","0","Running","-2 L","0","","1:30.230","1:19.792","9","13","23","0","0","0","17","Virginias","1295","1295","20","499","20","499","13th Week Roval Race","100","0"
"10","56","NASCAR Monster Energy Cup Toyota Camry","50","Sprint Cup","165135","165135","Markus Gjesdal","12","97","29","Disqualified","-3 L","0","","1:18.922","1:16.395","6","12","16","0","0","0","43","Scandinavia","1556","1556","14","252","14","252","13th Week Roval Race","100","0"
