"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.17 5:00 PM GMT","Lime Rock Park - Full Course","Ruf GT3 Challenge","2018","2","N/A","1","1967"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","230463","230463","Cesar Armengod","1","1","0","Running","-00.000","36","","50.576","49.907","3","36","6","119","15","1","38","Iberia","6063","6080","19","361","19","350","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","213512","213512","Gorka Albizu","3","5","0","Running","-18.364","0","","51.086","50.497","4","36","2","111","13","3","38","Iberia","2122","2199","14","223","14","245","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","282875","282875","Bruno Vitorino","4","3","0","Running","-21.497","0","","51.173","50.441","4","36","4","103","11","2","45","Brazil","2392","2447","13","165","13","188","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","159798","159798","Marco Van Wisse2","7","4","0","Running","-22.650","0","","51.205","50.431","2","36","4","95","9","3","40","Benelux","2226","2274","19","353","19","352","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310206","310206","Sergio Bianco","5","6","0","Running","-27.594","0","","51.342","50.591","2","36","1","87","7","3","41","Italy","2096","2136","20","414","20","423","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","246113","246113","Johan Venter","8","15","0","Running","-37.202","0","","51.609","50.723","7","36","0","79","5","4","1","International Club","1452","1503","18","207","18","234","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","43302","43302","David Ogden","9","10","0","Running","-37.441","0","","51.615","50.749","6","36","1","71","3","3","20","Ohio","1608","1641","18","230","18","249","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","294704","294704","Jairo Bernal","10","12","0","Running","-41.851","0","","51.738","50.790","3","36","1","63","1","4","38","Iberia","1560","1582","18","269","18","287","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","307793","307793","Steven Gressent","12","14","0","Running","-43.224","0","","51.776","50.723","3","36","6","55","0","6","39","France","1506","1518","7","381","7","387","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","290170","290170","Jose Manuel5","11","11","0","Running","-1 L","0","","52.330","50.835","10","35","9","47","0","4","38","Iberia","1567","1565","11","305","11","307","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","313160","313160","Maurizio Costanzo","6","9","0","Running","-1 L","0","","52.531","50.513","3","35","7","39","0","3","38","Iberia","1661","1643","7","333","7","344","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","199234","199234","Arturo Cruz Ramos","13","7","0","Running","-1 L","0","","53.307","50.844","8","35","5","31","0","3","38","Iberia","2048","2003","19","325","19","323","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","42830","42830","Jaroslav Polma","2","2","0","Running","-2 L","0","","50.877","50.387","6","34","3","23","0","1","46","Central-Eastern Europe","3681","3581","20","496","20","489","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","313880","313880","Alexander Buschmann","16","8","0","Running","-2 L","0","","54.154","51.572","11","34","13","15","0","5","42","DE-AT-CH","1683","1626","7","337","7","335","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","300111","300111","Ariel Michinski","14","16","32","Disconnected","-4 L","0","","54.644","51.476","3","32","13","7","0","5","24","Hispanoamérica","1418","1359","6","271","6","272","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","283248","283248","Ralph Cummins","15","13","32","Disconnected","-27 L","0","","53.531","51.396","3","9","5","3","0","4","36","UK and I","1516","1442","7","350","7","346","Ruf GT3 Challenge","100","0"
