"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.24 5:00 PM GMT","Road Atlanta - Full Course","Ruf GT3 Challenge","2018","2","N/A","2","1153"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","77490","77490","Paul A Nelson","1","7","0","Running","-00.000","23","","1:22.085","1:20.848","5","23","4","72","19","6","34","Australia/NZ","1364","1446","14","258","14","273","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","141443","141443","Adam Peter Kalasz","2","15","0","Running","-00.523","0","","1:22.108","1:21.052","3","23","3","68","17","8","46","Central-Eastern Europe","1097","1184","16","440","16","445","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","316532","316532","Jake Harvey","4","3","0","Running","-17.344","0","","1:22.839","1:21.688","15","23","3","64","15","R","36","UK and I","1412","1473","6","290","7","354","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","264218","264218","Frank Lange","8","11","0","Running","-18.437","0","","1:22.886","1:21.701","7","23","0","60","13","5","42","DE-AT-CH","1274","1332","14","231","14","261","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","246113","246113","Johan Venter","6","5","0","Running","-25.349","0","","1:23.187","1:21.702","5","23","6","56","11","4","1","International Club","1385","1427","17","148","17","159","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","317982","317982","Christian Peinemann","11","9","0","Running","-34.542","0","","1:23.586","1:22.287","18","23","0","53","9","5","42","DE-AT-CH","1302","1338","7","380","8","446","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","263992","263992","Gabor Budahazi2","7","18","0","Running","-51.394","0","","1:24.319","1:22.022","13","23","14","49","7","8","32","West","855","906","14","260","14","243","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","182782","182782","James Coulibaly","18","8","0","Running","-1:13.694","0","","1:25.288","1:23.168","16","23","5","45","5","5","16","Pennsylvania","1341","1355","19","309","19","311","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","275892","275892","Alberto Veiga","3","2","0","Running","-1 L","0","","1:25.972","1:21.078","2","22","16","41","3","5","38","Iberia","1500","1498","14","269","14","240","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265054","265054","Enrique Perez","17","4","0","Running","-1 L","0","","1:25.903","1:22.066","8","22","14","37","1","5","38","Iberia","1405","1397","14","200","13","152","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","227093","227093","Craig Napier","19","12","0","Running","-1 L","0","","1:27.963","1:24.646","7","22","12","34","0","5","36","UK and I","1247","1237","11","333","11","325","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","43050","43050","Steven A Festa","9","13","0","Running","-1 L","0","","1:28.683","1:22.713","6","22","13","30","0","7","36","UK and I","1170","1154","9","167","9","175","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","118868","118868","Mike Sanders","16","16","0","Running","-2 L","0","","1:30.732","1:26.262","5","21","5","26","0","7","29","Midwest","985","969","14","279","14","285","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","219812","219812","Luis Costa","14","10","0","Running","-2 L","0","","1:26.394","1:24.251","10","21","8","22","0","R","38","Iberia","1293","1251","6","252","6","269","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","300557","300557","Tero Kokko","10","6","0","Running","-4 L","0","","1:24.382","1:23.346","15","19","16","18","0","5","44","Finland","1379","1323","18","265","18","219","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","290440","290440","Gino Borsoi","5","1","32","Disconnected","-7 L","0","","1:22.679","1:21.337","11","16","11","15","0","4","38","Iberia","1509","1437","13","147","13","140","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","137766","137766","Andre Rios","15","19","32","Disconnected","-14 L","0","","1:32.233","1:26.159","7","9","16","11","0","9","45","Brazil","608","578","6","247","6","231","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","307130","307130","Steve Beaudin","12","17","32","Disconnected","-15 L","0","","1:27.096","1:23.552","2","8","9","7","0","7","15","Canada","944","881","6","222","6","222","Ruf GT3 Challenge","100","0"
"19","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265162","265162","Joseph M Berman","13","20","32","Disconnected","-21 L","0","","1:29.812","","","2","5","3","0","10","22","Florida","309","286","5","159","5","157","Ruf GT3 Challenge","100","0"
"20","50","Ruf RT 12R Track","55","Ruf RT 12R Track","251096","251096","David Piazza","20","14","32","Disconnected","-22 L","0","","1:42.971","","","1","11","1","0","4","14","New York","1108","1015","6","277","6","254","Ruf GT3 Challenge","100","0"
