"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.30 5:00 PM GMT","Canadian Tire Motorsports Park","Ruf GT3 Challenge","2018","2","N/A","3","1767"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","245774","245774","Miguel Angel Segarra Rodrigo","1","2","0","Running","-00.000","22","","1:18.636","1:18.065","5","23","1","110","24","1","38","Iberia","5380","5405","18","264","18","283","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","159005","159005","Carlos Diegues","2","1","0","Running","-01.217","1","","1:18.688","1:18.089","4","23","1","105","22","1","38","Iberia","6144","6154","26","220","26","224","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","170226","170226","Luis Quintela","3","4","0","Running","-05.131","0","","1:18.858","1:18.289","7","23","3","100","20","2","38","Iberia","3559","3594","20","435","20","433","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","42830","42830","Jaroslav Polma","5","3","0","Running","-22.179","0","","1:19.599","1:18.447","3","23","0","96","18","1","46","Central-Eastern Europe","3827","3849","20","499","20","499","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","109129","109129","Rafael Rivera Fandos","7","5","0","Running","-30.988","0","","1:19.982","1:19.323","5","23","7","91","16","2","38","Iberia","2554","2595","18","225","18","222","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265017","265017","Patrik Stollhof","10","10","0","Running","-33.056","0","","1:20.072","1:19.304","9","23","4","87","14","4","42","DE-AT-CH","1824","1878","15","333","15","338","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","303989","303989","Luan Fernandes","6","7","0","Running","-33.186","0","","1:20.078","1:19.188","10","23","1","82","12","3","45","Brazil","2227","2261","17","185","18","258","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310206","310206","Sergio Bianco","9","9","0","Running","-35.922","0","","1:20.197","1:19.242","9","23","0","77","10","3","41","Italy","2135","2163","19","337","19","355","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","281489","281489","Carlos Sosa","8","8","0","Running","-38.087","0","","1:20.291","1:18.997","5","23","3","73","8","2","38","Iberia","2224","2242","15","338","15","346","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","233806","233806","Derek Macdonald","16","15","0","Running","-48.172","0","","1:20.729","1:19.458","3","23","0","68","6","6","36","UK and I","1520","1554","18","232","18","242","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","93842","93842","Darren Leslie","22","12","0","Running","-51.391","0","","1:20.869","1:19.204","8","23","0","64","4","4","15","Canada","1624","1646","20","444","20","454","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","138768","138768","Steve Beattie","12","18","0","Running","-55.394","0","","1:21.043","1:19.985","19","23","0","59","2","5","15","Canada","1426","1447","18","271","18","295","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","87157","87157","Richard Hnatyk","23","14","0","Running","-1:01.475","0","","1:21.307","1:19.680","17","23","0","55","0","4","21","Georgia","1543","1552","15","388","16","450","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","263992","263992","Gabor Budahazi2","18","21","0","Running","-1 L","0","","1:22.489","1:20.691","9","22","9","50","0","8","32","West","1058","1079","14","234","14","232","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","197251","197251","Manel Dupre Daroca","24","16","0","Running","-1 L","0","","1:21.120","1:19.907","22","22","0","45","0","4","38","Iberia","1494","1490","18","248","18","270","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","292246","292246","Alexandre Lemaire","15","17","0","Running","-1 L","0","","1:22.558","1:19.939","6","22","9","41","0","5","39","France","1470","1459","7","327","7","332","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","296625","296625","Miguel Marcé Serra","14","24","0","Running","-1 L","0","","1:23.294","1:20.172","4","22","13","36","0","9","38","Iberia","758","771","6","278","6","278","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","301109","301109","Daniel Jerez Juan","20","13","0","Running","-1 L","0","","1:23.547","1:20.355","8","22","5","32","0","3","38","Iberia","1551","1520","10","278","10","285","Ruf GT3 Challenge","100","0"
"19","50","Ruf RT 12R Track","55","Ruf RT 12R Track","243620","243620","Robert Holmes","17","19","0","Running","-1 L","0","","1:23.694","1:20.731","20","22","4","27","0","5","15","Canada","1281","1253","18","217","18","225","Ruf GT3 Challenge","100","0"
"20","50","Ruf RT 12R Track","55","Ruf RT 12R Track","316532","316532","Jake Harvey","19","11","0","Running","-1 L","0","","1:24.122","1:19.790","19","22","4","22","0","R","36","UK and I","1691","1639","11","364","11","369","Ruf GT3 Challenge","100","0"
"21","50","Ruf RT 12R Track","55","Ruf RT 12R Track","297839","297839","Juan Hernandez2","11","20","0","Running","-1 L","0","","1:23.309","1:19.600","4","22","10","18","0","8","38","Iberia","1060","1026","7","325","7","327","Ruf GT3 Challenge","100","0"
"22","50","Ruf RT 12R Track","55","Ruf RT 12R Track","138615","138615","Robert Yorke","25","25","0","Running","-1 L","0","","1:25.022","1:22.248","7","22","8","13","0","7","36","UK and I","705","682","10","230","10","232","Ruf GT3 Challenge","100","0"
"23","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265223","265223","Tim Lange","13","22","0","Running","-2 L","0","","1:23.593","1:20.107","6","21","16","9","0","7","42","DE-AT-CH","1001","954","18","229","17","142","Ruf GT3 Challenge","100","0"
"24","50","Ruf RT 12R Track","55","Ruf RT 12R Track","307130","307130","Steve Beaudin","21","23","0","Running","-3 L","0","","1:24.911","1:22.193","14","20","7","4","0","7","15","Canada","783","740","6","212","6","227","Ruf GT3 Challenge","100","0"
"25","50","Ruf RT 12R Track","55","Ruf RT 12R Track","175293","175293","João LP Rodrigues","4","6","32","Disconnected","-18 L","0","","1:20.075","1:18.780","4","5","0","2","0","2","38","Iberia","2440","2326","20","468","20","472","Ruf GT3 Challenge","100","0"
