"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.07 7:00 PM GMT","Watkins Glen International - Boot","Ruf GT3 Challenge","2018","2","N/A","4","2197"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","159005","159005","Carlos Diegues","1","1","0","Running","-00.000","17","","1:47.325","1:46.626","3","17","0","135","20","1","38","Iberia","6059","6080","26","279","27","343","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","252689","252689","Ricardo Rico2","2","2","0","Running","-17.223","0","","1:48.338","1:46.698","2","17","11","128","18","1","38","Iberia","4214","4251","26","238","25","154","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","68369","68369","Tae Kim","4","10","0","Running","-26.583","0","","1:48.888","1:47.893","8","17","1","121","16","2","15","Canada","2370","2442","13","189","14","256","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","247188","247188","Sam Sanders","5","4","0","Running","-29.313","0","","1:49.049","1:47.935","10","17","9","114","14","2","36","UK and I","3032","3076","14","223","14","221","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","129718","129718","Nathan Dowd","8","5","0","Running","-36.976","0","","1:49.500","1:48.566","6","17","4","108","12","2","29","Midwest","2821","2861","18","239","18","245","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","200429","200429","Aleksi Aalto","3","9","0","Running","-37.989","0","","1:49.559","1:48.117","4","17","3","101","10","3","44","Finland","2415","2457","11","397","12","445","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","89080","89080","Cameron Bradley","18","18","0","Running","-42.597","0","","1:49.830","1:48.630","12","17","4","94","8","4","23","Mid-South","1532","1595","14","242","14","250","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","319947","319947","Paul Webster3","11","17","0","Running","-43.006","0","","1:49.854","1:48.700","3","17","0","87","6","4","36","UK and I","1563","1615","7","342","7","362","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","30051","30051","Gary Dangelo","10","3","0","Running","-45.315","0","","1:49.990","1:48.954","4","17","1","81","4","2","20","Ohio","3111","3106","16","499","16","499","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","54898","54898","Glen Hoffman","9","8","0","Running","-55.346","0","","1:50.580","1:48.421","14","17","4","74","2","2","26","Illinois","2426","2430","15","340","15","342","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","38576","38576","Humberto Valoura","7","19","0","Running","-55.612","0","","1:50.596","1:48.473","6","17","2","67","0","9","39","France","1436","1465","18","218","18","230","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","100605","100605","Zoli Brenner","17","13","0","Running","-59.605","0","","1:50.830","1:49.600","10","17","1","60","0","3","46","Central-Eastern Europe","2045","2043","18","243","18","260","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","132179","132179","Jeffery Vandervort","13","6","0","Running","-1:01.521","0","","1:50.943","1:49.514","16","17","5","54","0","2","29","Midwest","2649","2618","20","425","20","416","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","319754","319754","Falk Massmann","14","21","0","Running","-1:07.542","0","","1:51.297","1:49.525","8","17","6","47","0","5","42","DE-AT-CH","1355","1358","7","348","7","356","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","143197","143197","Dennis DiFrancesco","21","20","0","Running","-1:10.634","0","","1:51.479","1:49.817","17","17","2","40","0","5","15","Canada","1392","1385","20","450","20","450","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","303849","303849","Miguel Angel Rodriguez","15","15","0","Running","-1:44.949","0","","1:52.172","1:49.179","8","17","6","33","0","4","38","Iberia","1615","1590","11","317","11","322","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","308436","308436","Tomas M Baarman","6","11","0","Running","-1:49.731","0","","1:52.703","1:48.902","11","17","12","27","0","3","43","Scandinavia","2120","2068","11","365","11","352","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","317901","317901","Max Louis Patric Leonhardt","12","16","0","Running","-1 L","0","","1:53.161","1:49.176","15","16","2","20","0","4","42","DE-AT-CH","1584","1541","7","351","7","365","Ruf GT3 Challenge","100","0"
"19","50","Ruf RT 12R Track","55","Ruf RT 12R Track","50300","50300","Matt Smith-Doiron","19","7","32","Disconnected","-4 L","0","","1:50.978","1:49.169","7","13","6","13","0","2","15","Canada","2466","2384","17","153","17","149","Ruf GT3 Challenge","100","0"
"20","50","Ruf RT 12R Track","55","Ruf RT 12R Track","254287","254287","Adrián Pazos Vazquez2","20","14","32","Disconnected","-7 L","0","","1:54.345","1:49.193","4","10","3","6","0","4","38","Iberia","1872","1800","10","276","10","281","Ruf GT3 Challenge","100","0"
"21","50","Ruf RT 12R Track","55","Ruf RT 12R Track","53950","53950","Dragan Mihai","16","12","32","Disconnected","-13 L","0","","1:52.891","1:49.404","4","4","4","3","0","3","46","Central-Eastern Europe","2057","1969","7","355","7","352","Ruf GT3 Challenge","100","0"
