"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.23 9:00 PM GMT","Donington Park Racing Circuit - National","Ruf GT3 Challenge","2018","2","N/A","6","940"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","316357","316357","Ivan Puig","1","15","0","Running","-00.000","27","","1:07.876","1:06.283","19","27","6","58","16","R","24","Hispanoamérica","674","784","6","229","6","255","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310094","310094","Jonathan Leiva","5","12","0","Running","-12.711","0","","1:08.347","1:06.814","5","27","10","54","14","6","24","Hispanoamérica","768","860","6","266","6","280","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","303644","303644","Adam Ciezkowski","4","9","0","Running","-17.584","0","","1:08.527","1:06.829","8","27","14","50","12","6","46","Central-Eastern Europe","1026","1090","6","249","6","257","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","219812","219812","Luis Costa","8","11","0","Running","-18.353","0","","1:08.556","1:07.259","21","27","8","47","10","R","38","Iberia","897","957","6","274","6","293","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","264843","264843","Pawel Sobocinski","9","6","0","Running","-30.287","0","","1:08.283","1:06.285","11","27","5","43","8","7","46","Central-Eastern Europe","1176","1208","11","328","11","338","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","115616","115616","Aki Sandberg","15","2","0","Running","-37.388","0","","1:09.285","1:06.961","24","27","10","39","6","6","44","Finland","1217","1235","11","311","11","313","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","302335","302335","Francisco Gómez","17","14","0","Running","-40.458","0","","1:09.374","1:07.099","27","27","7","36","4","9","38","Iberia","684","724","7","380","7","387","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","319877","319877","Michael Weidlich","7","5","0","Running","-57.140","0","","1:09.992","1:07.243","13","27","10","32","2","7","42","DE-AT-CH","1196","1193","11","322","11","321","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","268140","268140","Neil A. Jackson","2","1","0","Running","-1 L","0","","1:07.648","1:06.118","17","26","8","29","0","5","36","UK and I","1234","1217","13","126","13","142","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265054","265054","Enrique Perez","16","8","0","Running","-1 L","0","","1:11.628","1:06.077","13","26","8","25","0","5","38","Iberia","1096","1075","14","266","14","264","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","230611","230611","Angel Calviño Dominguez4","13","13","0","Running","-2 L","0","","1:13.311","1:08.130","7","25","13","21","0","8","38","Iberia","728","719","13","101","13","105","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","134437","134437","Jordy Rhodes","6","3","0","Running","-2 L","0","","1:09.854","1:06.544","23","25","12","18","0","3","36","UK and I","1217","1166","10","259","10","257","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","280146","280146","Raul Monraba","10","10","29","Disqualified","-3 L","0","","1:09.648","1:06.670","18","24","17","14","0","4","38","Iberia","1004","953","9","191","9","183","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","303433","303433","Scott Quattlebaum","14","4","0","Running","-4 L","0","","1:11.583","1:08.158","23","23","11","10","0","R","25","Carolina","1216","1141","6","295","6","298","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265162","265162","Joseph M Berman","11","17","32","Disconnected","-13 L","0","","1:11.063","1:07.291","5","14","12","7","0","10","22","Florida","367","344","6","237","6","235","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","258075","258075","Finger Andreas","3","16","32","Disconnected","-21 L","0","","1:08.575","1:06.613","3","6","2","3","0","8","42","DE-AT-CH","643","581","6","209","6","218","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","319333","319333","Damy Cruts","12","7","29","Disqualified","-21 L","0","","1:21.852","","","6","6","1","0","7","40","Benelux","1102","998","6","253","6","251","Ruf GT3 Challenge","100","0"
