"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.30 9:00 PM GMT","Sonoma Raceway - Long","Ruf GT3 Challenge","2018","2","N/A","7","1429"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","196569","196569","Pedro Rahn","1","1","0","Running","-00.000","20","","1:32.026","1:31.027","9","20","2","86","13","1","38","Iberia","4131","4157","19","369","19","381","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","153795","153795","Loris Amadio","2","2","0","Running","-01.312","0","","1:32.091","1:31.252","2","20","3","79","11","2","41","Italy","3043","3074","16","456","16","460","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","247787","247787","Cory Baker","3","3","0","Running","-19.653","0","","1:33.008","1:31.652","2","20","2","72","9","3","34","Australia/NZ","2332","2365","19","327","19","341","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","240290","240290","Roberto Simonetta","11","6","0","Running","-37.304","0","","1:33.891","1:32.123","4","20","1","66","7","4","41","Italy","1466","1513","15","353","15","371","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","230404","230404","Kory Enders","12","7","0","Running","-39.525","0","","1:34.002","1:32.647","6","20","10","59","5","3","30","Texas","1445","1479","6","206","6","229","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","231184","231184","John Szpyt","5","4","0","Running","-57.000","0","","1:34.876","1:33.062","19","20","12","52","3","4","12","New England","2185","2180","19","353","19","323","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","302335","302335","Francisco Gómez","14","13","0","Running","-1 L","0","","1:37.899","1:36.887","11","19","6","46","1","9","38","Iberia","724","766","7","387","7","394","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","318736","318736","Juan Maria2","4","5","0","Running","-1 L","0","","1:37.784","1:32.753","8","19","13","39","0","5","38","Iberia","1485","1475","7","346","7","348","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","309002","309002","Gerardo Santillan Amuategi","6","10","0","Running","-1 L","0","","1:37.231","1:33.970","11","19","6","33","0","5","38","Iberia","966","965","10","282","10","296","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","321231","321231","Kevin Toller","13","8","0","Running","-2 L","0","","1:42.909","1:33.884","14","18","12","26","0","5","26","Illinois","1196","1170","7","382","7","376","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","320412","320412","Tristan Payne","10","11","0","Running","-2 L","0","","1:41.647","1:37.677","2","18","8","19","0","8","17","Virginias","921","895","7","353","7","363","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","315130","315130","Miguel Matos Cardoso","8","14","0","Running","-2 L","0","","1:38.562","1:36.350","7","18","12","13","0","R","38","Iberia","619","598","6","258","6","271","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","235195","235195","Jonathan Cooper3","9","12","0","Running","-3 L","0","","1:41.186","1:35.996","10","17","9","6","0","10","36","UK and I","816","768","7","377","7","378","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","270553","270553","Sascha Siebers","7","9","32","Disconnected","-18 L","0","","2:01.021","","","2","6","3","0","6","42","DE-AT-CH","1047","971","6","281","6","272","Ruf GT3 Challenge","100","0"
