"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.13 5:00 PM GMT","Daytona circa 2007 - Road Course","Ruf GT3 Challenge","2018","2","N/A","9","2469"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","182312","182312","Chinmai Kristo Punukollu","10","1","0","Running","-00.000","3","","1:49.308","1:48.075","5","17","1","150","18","1","47","Asia","4915","4954","19","359","19","369","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","131871","131871","Robert Rippl","7","3","0","Running","-12.036","0","","1:50.016","1:48.726","4","17","8","141","16","2","46","Central-Eastern Europe","3558","3614","19","338","19","320","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","314471","314471","Maurizio Cheli","1","7","0","Running","-12.436","13","","1:50.040","1:48.461","3","17","7","133","14","4","42","DE-AT-CH","2885","2948","14","253","14","252","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","315615","315615","Akos Hypr","9","15","0","Running","-14.903","0","","1:50.184","1:48.955","5","17","2","125","12","R","46","Central-Eastern Europe","1844","1929","7","361","7","376","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","89297","89297","David Pillon","2","2","0","Running","-25.386","1","","1:50.801","1:47.762","4","17","5","116","10","2","41","Italy","3933","3949","18","274","18","266","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","44792","44792","Eli Gorton","18","19","0","Running","-34.360","0","","1:51.328","1:49.377","10","17","3","108","8","3","6","California Club","1674","1744","6","250","6","274","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","287818","287818","Russell Aplin","17","18","0","Running","-34.440","0","","1:51.333","1:49.556","7","17","3","100","6","4","36","UK and I","1674","1734","7","347","7","360","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","50079","50079","Jose Pinho","4","6","0","Running","-37.069","0","","1:51.488","1:50.089","6","17","7","91","4","2","21","Georgia","2911","2920","20","449","20","427","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","211843","211843","Jean-Philippe Bousselin","13","10","0","Running","-46.566","0","","1:51.046","1:50.084","6","17","12","83","2","3","42","DE-AT-CH","2577","2586","20","425","19","349","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","233678","233678","Imre Lukacs","16","11","0","Running","-1:00.028","0","","1:52.838","1:49.496","15","17","5","75","0","3","46","Central-Eastern Europe","2273","2281","18","266","18","259","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","20544","20544","Nikolaus Neumann","15","13","0","Running","-1:19.324","0","","1:53.973","1:49.304","5","17","8","66","0","3","1","International Club","1913","1922","16","450","16","435","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","163403","163403","Oleg Varfolomeev","12","9","0","Running","-1:33.307","0","","1:50.008","1:48.474","7","17","6","58","0","3","46","Central-Eastern Europe","2711","2685","19","355","19","341","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","195608","195608","David Bosse","8","17","0","Running","-1:41.449","0","","1:54.907","1:48.905","4","17","6","50","0","4","6","California Club","1745","1740","10","291","10","295","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","313160","313160","Maurizio Costanzo","14","14","0","Running","-1:58.388","0","","1:51.210","1:48.685","5","17","8","41","0","3","38","Iberia","1850","1831","11","366","11","360","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","48053","48053","Maurizio Miconi","3","8","0","Running","-1 L","0","","1:51.042","1:47.793","5","16","10","33","0","2","41","Italy","2773","2714","17","147","17","131","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","30051","30051","Gary Dangelo","19","5","32","Disconnected","-2 L","0","","1:51.411","1:49.721","8","15","4","25","0","2","20","Ohio","3213","3131","16","499","16","499","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","301109","301109","Daniel Jerez Juan","11","16","32","Disconnected","-6 L","0","","1:52.525","1:49.849","4","11","10","16","0","3","38","Iberia","1829","1779","14","264","14","245","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","245217","245217","Daniel Antequera","5","4","29","Disqualified","-11 L","0","","1:56.103","","","6","7","8","0","2","38","Iberia","3231","3128","18","245","18","223","Ruf GT3 Challenge","100","0"
"19","50","Ruf RT 12R Track","55","Ruf RT 12R Track","255978","255978","Sami-Matti Trogen","6","12","32","Disconnected","-17 L","0","","00.000","","","0","0","0","0","3","44","Finland","2110","2030","15","329","15","330","Ruf GT3 Challenge","100","0"
