"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.15 7:00 PM GMT","Circuit Gilles Villeneuve","Ruf GT3 Challenge","2018","2","N/A","10","2344"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","79495","79495","Gerardo Babio Ramos","1","1","0","Running","-00.000","19","","1:35.190","1:34.284","2","19","0","141","17","1","38","Iberia","8449","8459","20","499","20","499","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","158586","158586","Tom Michelmore","2","3","0","Running","-20.122","0","","1:36.250","1:34.993","6","19","1","132","15","1","36","UK and I","4307","4348","20","481","20","488","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","173270","173270","Marcel Huwyler","5","4","0","Running","-26.909","0","","1:36.607","1:35.509","2","19","0","124","13","2","42","DE-AT-CH","3637","3680","19","328","19","347","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","153795","153795","Loris Amadio","8","6","0","Running","-33.130","0","","1:36.934","1:35.347","2","19","4","116","11","2","41","Italy","3241","3282","16","438","16","439","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","210826","210826","Magnus Asp","3","5","0","Running","-33.417","0","","1:36.949","1:35.640","2","19","6","107","9","2","43","Scandinavia","3336","3363","16","404","16","402","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","259484","259484","Derek Issa","4","2","0","Running","-34.290","0","","1:36.995","1:35.264","19","19","7","99","7","1","38","Iberia","4770","4760","15","352","15","347","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","294704","294704","Jairo Bernal","6","13","0","Running","-43.552","0","","1:37.482","1:36.232","15","19","4","91","5","4","38","Iberia","1635","1689","20","425","20","422","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","207718","207718","Felipe Javier","9","10","0","Running","-56.326","0","","1:38.155","1:37.053","3","19","5","82","3","2","38","Iberia","1732","1771","14","205","14","219","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","318001","318001","Alessio Abrugiati","10","18","0","Running","-58.692","0","","1:38.279","1:37.386","4","19","2","74","1","4","41","Italy","1466","1503","6","285","7","349","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","63912","63912","Joerg Heimbach","14","7","0","Running","-1:07.466","0","","1:38.741","1:37.132","14","19","2","66","0","4","42","DE-AT-CH","2965","2947","14","281","14","299","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","168508","168508","Uwe Länger","12","8","0","Running","-1:08.057","0","","1:38.772","1:36.178","18","19","14","58","0","2","42","DE-AT-CH","2559","2540","20","457","20","407","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310956","310956","Marc Gurri Sacristan","16","14","0","Running","-1:17.275","0","","1:39.257","1:37.070","16","19","4","49","0","4","38","Iberia","1575","1576","12","440","12","445","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","236362","236362","Nicklas Gjerulff","13","12","0","Running","-1:20.159","0","","1:39.409","1:37.794","5","19","0","41","0","4","43","Scandinavia","1698","1684","14","228","14","254","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","223598","223598","Cristian Otarola","7","9","0","Running","-1 L","0","","1:37.242","1:36.001","3","18","9","33","0","3","24","Hispanoamérica","2135","2095","19","364","19","338","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","289582","289582","Tommy Mitchell","15","15","0","Running","-1 L","0","","1:48.062","1:37.842","6","18","12","24","0","7","25","Carolina","1528","1498","15","368","15","345","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","240290","240290","Roberto Simonetta","17","16","0","Running","-2 L","0","","1:39.531","1:37.423","14","17","8","16","0","4","41","Italy","1488","1448","14","272","14","265","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","283606","283606","Kevin Salden","18","17","32","Disconnected","-11 L","0","","1:46.386","1:37.939","7","8","16","8","0","6","40","Benelux","1484","1433","7","361","7","341","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","252117","252117","Dave Kirk","11","11","32","Disconnected","-16 L","0","","1:41.004","1:37.340","3","3","10","4","0","3","36","UK and I","1719","1648","10","229","10","213","Ruf GT3 Challenge","100","0"
