"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.06 9:15 PM GMT","Mazda Raceway Laguna Seca - Full Course","Skip Barber Race Series","2018","1","N/A","9","1639"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","72051","72051","Stefan Tscherne","1","15","0","Running","-00.000","14","","1:38.444","1:37.151","7","14","0","100","17","4","42","DE-AT-CH","1534","1633","14","241","14","258","Skip Barber Race Series","100","0"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","284620","284620","Geoffrey Bachelot","2","1","0","Running","-02.932","0","","1:38.653","1:37.644","14","14","0","94","15","4","39","France","1891","1964","14","209","14","225","Skip Barber Race Series","100","0"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","255943","255943","Alex Zuloaga","4","17","0","Running","-14.267","0","","1:39.463","1:38.239","8","14","7","88","13","4","38","Iberia","1527","1604","14","255","14","250","Skip Barber Race Series","100","0"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","257001","257001","Tomas Rajchman","6","7","0","Running","-17.524","0","","1:39.695","1:38.137","9","14","3","82","11","3","46","Central-Eastern Europe","1691","1749","18","245","18","248","Skip Barber Race Series","100","0"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","273822","273822","Victor Ramirez Lopez","3","4","0","Running","-19.415","0","","1:39.830","1:38.178","8","14","6","76","9","4","38","Iberia","1736","1781","18","280","18","265","Skip Barber Race Series","100","0"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","226478","226478","Beñat Taberna Telletxea","17","2","0","Running","-20.866","0","","1:39.933","1:38.025","7","14","4","70","7","3","38","Iberia","1880","1909","18","211","18","213","Skip Barber Race Series","100","0"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","265143","265143","Fernando Velayos","5","12","0","Running","-22.106","0","","1:40.022","1:38.352","9","14","3","64","5","3","38","Iberia","1553","1584","14","236","14","243","Skip Barber Race Series","100","0"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","139416","139416","Andrew B Whitehead","11","13","0","Running","-23.776","0","","1:40.141","1:38.505","11","14","2","58","3","3","36","UK and I","1551","1571","18","262","18","269","Skip Barber Race Series","100","0"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","278327","278327","Ismael Martin Garcia","14","3","0","Running","-30.146","0","","1:40.596","1:39.221","7","14","2","52","1","4","38","Iberia","1800","1799","15","335","15","342","Skip Barber Race Series","100","0"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","229895","229895","J william Smith","18","10","0","Running","-36.001","0","","1:41.014","1:38.801","11","14","0","47","0","4","15","Canada","1581","1578","12","499","12","499","Skip Barber Race Series","100","0"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","308843","308843","Adam Cohn","9","9","0","Running","-37.585","0","","1:41.128","1:38.977","13","14","2","41","0","5","34","Australia/NZ","1626","1610","11","374","11","382","Skip Barber Race Series","100","0"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","81085","81085","Chris Hellier","8","5","0","Running","-39.659","0","","1:41.276","1:39.096","8","14","4","35","0","3","36","UK and I","1714","1684","12","440","12","440","Skip Barber Race Series","100","0"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","285401","285401","Ivan Sanchez Gutierrez2","7","16","0","Running","-40.354","0","","1:41.326","1:38.987","6","14","3","29","0","4","38","Iberia","1533","1499","15","355","15","356","Skip Barber Race Series","100","0"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","274682","274682","Bastian Huber","15","8","0","Running","-1:15.907","0","","1:43.865","1:39.156","4","14","10","23","0","6","42","DE-AT-CH","1640","1590","15","368","15","345","Skip Barber Race Series","100","0"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","215713","215713","Luis Garzon","13","6","0","Running","-1:20.868","0","","1:44.219","1:38.272","7","14","9","17","0","3","38","Iberia","1700","1637","14","246","14","236","Skip Barber Race Series","100","0"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","235859","235859","Daniel Mosqueda","16","18","0","Running","-1:24.036","0","","1:44.445","1:40.261","2","14","8","11","0","4","38","Iberia","1506","1440","11","366","11","358","Skip Barber Race Series","100","0"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","267262","267262","Will Emery","10","11","32","Disconnected","-3 L","0","","1:43.103","1:38.660","9","11","8","5","0","4","20","Ohio","1572","1492","10","275","10","270","Skip Barber Race Series","100","0"
"18","1","Skip Barber Formula 2000","1","Skip Barber Race Series","188557","188557","Stuart Atkinson","12","14","32","Disconnected","-14 L","0","","00.000","","","0","0","0","0","4","36","UK and I","1535","1446","18","249","18","247","Skip Barber Race Series","100","0"
