"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.13 8:15 PM GMT","Circuit of the Americas - West","Skip Barber Race Series","2018","1","N/A","10","2348"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","118444","118444","Renan Azeredo","2","2","0","Running","-00.000","11","","1:45.127","1:45.037","4","13","11","140","15","1","45","Brazil","4399","4445","19","316","18","250","Skip Barber Race Series","100","0"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","260008","260008","Alfredo Malo R","1","1","0","Running","-00.434","2","","1:45.161","1:44.266","6","13","6","130","13","1","38","Iberia","6141","6151","25","159","25","148","Skip Barber Race Series","100","0"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","181761","181761","Sebastian Scholz","3","3","0","Running","-07.105","0","","1:45.674","1:45.298","11","13","2","121","11","2","42","DE-AT-CH","4086","4113","18","242","18","256","Skip Barber Race Series","100","0"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","221041","221041","Hans Heuer","5","4","0","Running","-20.761","0","","1:46.724","1:46.117","8","13","5","112","9","2","42","DE-AT-CH","2353","2411","14","226","14","235","Skip Barber Race Series","100","0"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","267878","267878","Ari Cejas","7","8","0","Running","-25.079","0","","1:47.056","1:46.239","6","13","3","102","7","3","24","Hispanoamérica","2129","2181","18","251","18","259","Skip Barber Race Series","100","0"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","20350","20350","Jokin Castaño Rodrigo","6","14","0","Running","-25.613","0","","1:47.097","1:46.226","6","13","4","93","5","4","38","Iberia","1830","1880","15","320","15","324","Skip Barber Race Series","100","0"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","266038","266038","Romain Jaureguy","4","10","0","Running","-26.453","0","","1:47.162","1:46.433","5","13","7","84","3","4","39","France","2078","2107","15","321","15","318","Skip Barber Race Series","100","0"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","73636","73636","Oscar Chinchilla Maza","10","7","0","Running","-26.631","0","","1:47.175","1:46.218","6","13","8","74","1","5","38","Iberia","2147","2161","12","444","12","437","Skip Barber Race Series","100","0"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","268649","268649","Tony Stack","12","13","0","Running","-45.234","0","","1:48.606","1:47.435","8","13","1","65","0","4","36","UK and I","1844","1856","19","351","19","359","Skip Barber Race Series","100","0"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","294432","294432","Miguel García","14","15","0","Running","-46.053","0","","1:48.669","1:46.786","10","13","1","56","0","3","38","Iberia","1768","1770","15","312","15","323","Skip Barber Race Series","100","0"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","32772","32772","Thibaut Lefevre","8","16","0","Running","-46.150","0","","1:48.677","1:47.082","3","13","10","46","0","4","39","France","1748","1739","10","248","10","248","Skip Barber Race Series","100","0"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","292688","292688","Samuel Fernandez","11","9","0","Running","-48.667","0","","1:48.870","1:47.071","10","13","2","37","0","4","38","Iberia","2115","2081","16","408","16","414","Skip Barber Race Series","100","0"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","226478","226478","Beñat Taberna Telletxea","9","11","0","Running","-1:02.991","0","","1:49.878","1:46.678","5","13","2","28","0","3","38","Iberia","2023","1981","18","257","18","270","Skip Barber Race Series","100","0"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","194440","194440","Stefan Krumbholz","15","12","0","Running","-1:04.023","0","","1:49.765","1:47.509","10","13","11","18","0","3","42","DE-AT-CH","1894","1844","11","343","11","334","Skip Barber Race Series","100","0"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","26403","26403","Peter Cowan","13","6","0","Running","-1:04.321","0","","1:50.074","1:46.417","9","13","4","9","0","2","36","UK and I","2279","2203","16","446","16","443","Skip Barber Race Series","100","0"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","107966","107966","Said Reklaoui","16","5","32","Disconnected","-13 L","0","","00.000","","","0","0","0","0","3","38","Iberia","2298","2209","14","283","14","283","Skip Barber Race Series","100","0"
