"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.06.16 11:15 AM GMT","Okayama International Circuit - Full Course","Skip Barber Race Series","2019","3","N/A","1","2812",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","202350","202350","Luke Whitten2","1","2","0","Running","-00.000","14","","1:43.651","1:42.945","8","14","2","167","16","2","34","Australia/NZ","3611","3683","14","270","14","277","Skip Barber Race Series","100","0","167"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","295288","295288","José I. Soria","4","5","0","Running","-04.842","0","","1:43.997","1:42.841","14","14","1","156","14","2","38","Iberia","3340","3408","13","134","13","153","Skip Barber Race Series","100","0","156"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","129307","129307","Matthew Thomas3","2","4","0","Running","-12.788","0","","1:44.565","1:43.039","9","14","3","146","12","2","34","Australia/NZ","3450","3503","19","339","19","338","Skip Barber Race Series","100","0","146"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","107339","107339","Colin Suttie","6","3","0","Running","-13.504","0","","1:44.616","1:43.039","9","14","3","135","10","1","34","Australia/NZ","3558","3597","16","412","16","413","Skip Barber Race Series","100","0","135"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","32773","32773","Olivier Vinot","10","11","0","Running","-13.592","0","","1:44.622","1:43.386","5","14","1","125","8","2","39","France","2633","2686","11","384","11","393","Skip Barber Race Series","100","0","125"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","292835","292835","Michael Scurlock","9","8","0","Running","-20.633","0","","1:45.125","1:43.431","12","14","1","114","6","2","34","Australia/NZ","2995","3025","19","354","19","358","Skip Barber Race Series","100","0","114"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","321645","321645","Shaun Karran","12","14","0","Running","-22.389","0","","1:45.250","1:42.940","11","14","6","104","4","2","34","Australia/NZ","2276","2317","18","205","18","202","Skip Barber Race Series","100","0","104"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","267092","267092","Tim Auwema","11","9","0","Running","-23.333","0","","1:45.317","1:43.448","7","14","7","93","2","2","34","Australia/NZ","2750","2764","10","271","10","266","Skip Barber Race Series","100","0","93"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","339846","339846","Luke Sweetnam","13","12","0","Running","-24.290","0","","1:45.385","1:43.477","13","14","1","83","0","2","34","Australia/NZ","2398","2411","14","254","14","268","Skip Barber Race Series","100","0","83"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","321583","321583","Samuel Heathcote","16","17","0","Running","-26.970","0","","1:45.577","1:43.788","11","14","1","73","0","3","36","UK and I","2217","2224","18","247","18","257","Skip Barber Race Series","100","0","73"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","70803","70803","Mark Jeffery","15","16","0","Running","-29.482","0","","1:45.756","1:43.678","12","14","3","62","0","3","34","Australia/NZ","2245","2241","15","365","15","364","Skip Barber Race Series","100","0","62"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","137883","137883","Russell Clark","7","6","0","Running","-53.444","0","","1:47.468","1:43.732","11","14","5","52","0","2","34","Australia/NZ","3308","3260","14","258","14","253","Skip Barber Race Series","100","0","52"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","51672","51672","Greg Barber","3","1","0","Running","-1 L","0","","1:44.305","1:43.150","5","13","3","41","0","1","34","Australia/NZ","3674","3605","19","323","19","321","Skip Barber Race Series","100","0","41"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","57327","57327","Daryl Ridley","5","10","0","Running","-1 L","0","","1:45.612","1:43.519","11","13","5","31","0","2","34","Australia/NZ","2653","2601","14","276","14","269","Skip Barber Race Series","100","0","31"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","142411","142411","Ashley Ruskin","14","13","0","Running","-1 L","0","","1:45.891","1:43.836","13","13","5","20","0","3","34","Australia/NZ","2302","2249","20","454","20","437","Skip Barber Race Series","100","0","20"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","114239","114239","Yvon Drolet","17","15","32","Disconnected","-4 L","0","","1:49.144","1:45.484","10","10","5","10","0","3","15","Canada","2247","2185","14","200","14","200","Skip Barber Race Series","100","0","10"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","284270","284270","Jon Scholtz","8","7","32","Disconnected","-10 L","0","","1:47.361","1:43.665","2","4","6","5","0","2","34","Australia/NZ","3168","3066","14","298","14","278","Skip Barber Race Series","100","0","5"
