"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.06.26 11:15 AM GMT","Road America - Full Course","Skip Barber Race Series","2019","3","N/A","3","3012",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","140549","140549","Kevin Henderson","4","6","0","Running","-00.000","7","","2:34.686","2:33.391","5","10","4","178","16","1","34","Australia/NZ","3597","3678","15","313","15","317","Skip Barber Race Series","100","0","178"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","192550","192550","Alex McKellar","3","1","0","Running","-01.397","0","","2:34.826","2:33.087","3","10","5","166","14","1","34","Australia/NZ","5529","5558","20","433","20","418","Skip Barber Race Series","100","0","166"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","73636","73636","Oscar Chinchilla Maza","5","2","0","Running","-01.433","0","","2:34.829","2:33.099","5","10","4","155","12","1","38","Iberia","4805","4835","17","154","17","156","Skip Barber Race Series","100","0","155"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","315756","315756","Victor Guguianu","7","10","0","Running","-05.327","0","","2:35.218","2:32.975","7","10","7","144","10","2","39","France","2732","2801","18","202","17","154","Skip Barber Race Series","100","0","144"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","137694","137694","Benn Snell","12","3","0","Running","-08.871","0","","2:35.572","2:32.241","7","10","13","133","8","1","34","Australia/NZ","4048","4071","10","230","10","224","Skip Barber Race Series","100","0","133"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","332417","332417","Benjamin Reig Molero","1","7","0","Running","-09.001","3","","2:35.586","2:33.152","8","10","4","122","6","2","38","Iberia","3357","3385","14","262","14","268","Skip Barber Race Series","100","0","122"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","113351","113351","Stephen Nobes","9","8","0","Running","-09.171","0","","2:35.602","2:32.706","9","10","6","111","4","2","36","UK and I","3260","3279","18","235","18","226","Skip Barber Race Series","100","0","111"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","339903","339903","Diego Barjollo","17","15","0","Running","-11.611","0","","2:35.846","2:33.530","9","10","1","100","2","3","38","Iberia","2227","2264","14","219","14","232","Skip Barber Race Series","100","0","100"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","332407","332407","Paul Batey","6","9","0","Running","-11.782","0","","2:35.864","2:33.654","9","10","3","89","0","2","34","Australia/NZ","3005","3008","15","395","15","396","Skip Barber Race Series","100","0","89"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","351097","351097","Andy Whit","8","16","0","Running","-21.780","0","","2:36.863","2:34.176","6","10","4","77","0","2","36","UK and I","2180","2195","11","350","11","353","Skip Barber Race Series","100","0","77"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","277544","277544","Christopher A. Shelton","15","12","0","Running","-34.546","0","","2:38.139","2:35.836","2","10","9","66","0","2","29","Midwest","2381","2379","10","295","10","282","Skip Barber Race Series","100","0","66"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","359870","359870","Guillermo Estrems Sendra","11","17","0","Running","-47.301","0","","2:39.415","2:35.921","8","10","5","55","0","2","38","Iberia","2154","2147","14","229","14","230","Skip Barber Race Series","100","0","55"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","308856","308856","Iván Arjones Pereiras","2","5","0","Running","-55.418","0","","2:38.755","2:33.709","8","10","13","44","0","1","38","Iberia","3826","3761","14","243","14","223","Skip Barber Race Series","100","0","44"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","32773","32773","Olivier Vinot","14","11","0","Running","-1:24.726","0","","2:34.059","2:33.583","7","10","5","33","0","2","39","France","2718","2671","11","356","11","357","Skip Barber Race Series","100","0","33"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","181795","181795","Troy Duffin","16","13","32","Disconnected","-5 L","0","","2:41.182","2:34.749","5","5","4","22","0","2","34","Australia/NZ","2286","2241","20","478","20","460","Skip Barber Race Series","100","0","22"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","189553","189553","Ronan Griffin","10","14","32","Disconnected","-7 L","0","","2:35.594","2:35.594","3","3","8","11","0","3","36","UK and I","2253","2197","18","260","18","230","Skip Barber Race Series","100","0","11"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","19885","19885","Mitchell McLeod","13","4","32","Disconnected","-8 L","0","","2:44.228","","","2","7","5","0","1","34","Australia/NZ","3878","3766","14","225","14","210","Skip Barber Race Series","100","0","5"
