"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.06.27 4:15 PM GMT","Road America - Full Course","Skip Barber Race Series","2019","3","N/A","3","1559",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","312359","312359","Tyler Zimmerman","1","1","0","Running","-00.000","10","","2:34.887","2:33.097","6","10","2","96","17","3","16","Pennsylvania","1752","1837","13","131","13","154","Skip Barber Race Series","100","0","96"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","351235","351235","Pablo Arenas Sánchez","7","2","0","Running","-13.650","0","","2:36.251","2:34.084","9","10","0","90","15","3","38","Iberia","1749","1824","11","338","11","352","Skip Barber Race Series","100","0","90"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","361958","361958","Matias Feliziani","2","7","0","Running","-13.945","0","","00.000","","","10","6","84","13","3","24","Hispanoamérica","1619","1688","10","222","10","227","Skip Barber Race Series","100","0","84"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","65818","65818","Giovanni Lazzari","12","12","0","Running","-20.063","0","","2:36.892","2:33.850","7","10","4","79","11","6","36","UK and I","1509","1572","10","280","10","290","Skip Barber Race Series","100","0","79"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","346458","346458","Oscar Araco","18","13","0","Running","-20.166","0","","2:36.901","2:33.639","5","10","2","73","9","6","38","Iberia","1500","1552","14","228","14","240","Skip Barber Race Series","100","0","73"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","382059","382059","Daniel Gallego5","10","9","0","Running","-22.854","0","","2:37.171","2:35.091","7","10","2","67","7","5","24","Hispanoamérica","1567","1605","11","360","11","368","Skip Barber Race Series","100","0","67"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","328126","328126","Laszlo Erdos","14","17","0","Running","-34.323","0","","2:38.318","2:35.757","5","10","4","62","5","6","36","UK and I","1405","1439","14","268","14","271","Skip Barber Race Series","100","0","62"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","89474","89474","Alberto Alarcon Lopez","3","3","0","Running","-48.593","0","","2:36.395","2:33.209","8","10","5","56","3","6","38","Iberia","1706","1716","14","261","14","262","Skip Barber Race Series","100","0","56"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","383641","383641","Adrià Zaragoza","13","15","0","Running","-48.894","0","","2:39.775","2:36.870","4","10","9","50","1","4","38","Iberia","1447","1457","7","339","7","340","Skip Barber Race Series","100","0","50"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","311216","311216","Israel Lopez","6","8","0","Running","-53.097","0","","2:40.196","2:36.712","6","10","4","45","0","4","38","Iberia","1570","1564","10","296","11","345","Skip Barber Race Series","100","0","45"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","372563","372563","Alberto J Vicente","15","10","0","Running","-1:10.578","0","","2:41.943","2:37.956","2","10","5","39","0","4","38","Iberia","1556","1540","11","379","11","375","Skip Barber Race Series","100","0","39"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","260672","260672","Justin Kay","5","18","0","Running","-1:15.073","0","","2:39.634","2:36.091","5","10","16","33","0","5","30","Texas","1384","1365","10","236","10","224","Skip Barber Race Series","100","0","33"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","355065","355065","Vili Laine2","4","6","0","Running","-1:31.374","0","","2:40.509","2:34.329","3","10","11","28","0","4","44","Finland","1623","1582","6","278","6","279","Skip Barber Race Series","100","0","28"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","183748","183748","Floriano Sestini2","8","4","0","Running","-1:35.298","0","","2:34.324","2:33.848","6","10","6","22","0","5","41","Italy","1642","1589","15","339","15","332","Skip Barber Race Series","100","0","22"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","325417","325417","Bruno DMinardi","16","14","0","Running","-1:55.115","0","","2:43.701","2:36.337","9","10","8","16","0","5","45","Brazil","1465","1409","14","228","14","225","Skip Barber Race Series","100","0","16"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","356452","356452","David Palomares Ribas","11","16","32","Disconnected","-1 L","0","","2:43.620","2:34.072","8","9","7","11","0","4","38","Iberia","1440","1374","11","329","11","327","Skip Barber Race Series","100","0","11"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","328496","328496","Tommi Lantta2","17","11","0","Running","-1 L","0","","2:40.274","2:35.096","5","9","9","5","0","4","44","Finland","1543","1461","14","234","14","221","Skip Barber Race Series","100","0","5"
"18","1","Skip Barber Formula 2000","1","Skip Barber Race Series","363730","363730","Jose M. Iglesias","9","5","0","Running","-6 L","0","","2:43.542","2:38.271","3","4","7","2","0","4","38","Iberia","1641","1544","10","263","10","253","Skip Barber Race Series","100","0","2"
