"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.08 4:15 AM GMT","Oran Park Raceway - Grand Prix","Skip Barber Race Series","2019","3","N/A","4","1802",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","33650","33650","Norbert Rebelski","1","1","0","Running","-00.000","20","","1:14.454","1:13.773","20","20","0","107","12","1","46","Central-Eastern Europe","4685","4713","20","430","20","443","Skip Barber Race Series","100","0","107"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","254026","254026","Lucas Loyarte","11","2","0","Running","-08.589","0","","1:14.883","1:13.466","14","20","3","98","10","1","24","Hispanoamérica","3766","3793","14","261","14","274","Skip Barber Race Series","100","0","98"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","325098","325098","Gregory Armstrong","5","4","0","Running","-41.062","0","","1:16.507","1:15.342","16","20","0","89","8","3","32","West","1841","1902","18","257","18","283","Skip Barber Race Series","100","0","89"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","361448","361448","Neil Barber","4","9","0","Running","-41.612","0","","1:16.535","1:15.153","20","20","2","80","6","5","34","Australia/NZ","1300","1366","15","312","15","323","Skip Barber Race Series","100","0","80"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","103841","103841","Craig Foster","3","3","0","Running","-43.038","0","","1:15.860","1:13.911","10","20","5","71","4","2","6","California Club","3454","3442","15","348","15","349","Skip Barber Race Series","100","0","71"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","378650","378650","Marcelo Mezzera","8","10","0","Running","-46.428","0","","1:16.775","1:15.232","15","20","3","62","2","5","6","California Club","1284","1320","11","384","11","392","Skip Barber Race Series","100","0","62"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","308594","308594","Joshua Collins2","7","7","0","Running","-53.887","0","","1:15.831","1:14.775","20","20","3","53","0","4","30","Texas","1370","1387","14","298","15","352","Skip Barber Race Series","100","0","53"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","353619","353619","Claudio Bustamante","10","12","0","Running","-1 L","0","","1:18.568","1:16.144","13","19","5","44","0","6","24","Hispanoamérica","1210","1219","14","233","14","242","Skip Barber Race Series","100","0","44"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","338127","338127","Todd Frisbie","6","8","0","Running","-1 L","0","","1:18.761","1:14.877","16","19","10","35","0","7","31","Great Plains","1320","1310","14","280","14","268","Skip Barber Race Series","100","0","35"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","36900","36900","Mrs S P Ledger","13","13","0","Running","-1 L","0","","1:19.622","1:16.825","16","19","5","26","0","7","36","UK and I","1207","1186","15","348","15","349","Skip Barber Race Series","100","0","26"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","362876","362876","Joshua Spears2","9","11","0","Running","-1 L","0","","1:20.872","1:15.828","10","19","6","17","0","8","6","California Club","1282","1243","11","319","11","321","Skip Barber Race Series","100","0","17"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","301179","301179","Connor Nash","12","5","32","Disconnected","-8 L","0","","1:17.014","1:14.664","11","12","9","8","0","5","6","California Club","1779","1705","7","364","7","354","Skip Barber Race Series","100","0","8"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","217505","217505","Zachary Routhier","2","6","32","Disconnected","-18 L","0","","1:38.785","","","2","8","4","0","4","32","West","1739","1651","10","270","10","249","Skip Barber Race Series","100","0","4"
