"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.07.30 1:15 AM GMT","New Hampshire Motor Speedway - Road Course with South Oval","Skip Barber Race Series","2019","3","N/A","8","2739",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","175893","175893","Nicholas Johnston","6","4","0","Running","-00.000","20","","1:09.665","1:08.962","10","21","2","160","13","1","25","Carolina","3917","3987","17","132","17","162","Skip Barber Race Series","100","0","160"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","63647","63647","Gresham Wagner","4","2","0","Running","-01.519","0","","1:09.731","1:08.830","17","21","3","147","11","1","17","Virginias","5360","5389","15","337","15","348","Skip Barber Race Series","100","0","147"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","106352","106352","Cody Bolinske","2","6","0","Running","-08.326","1","","1:10.062","1:09.272","15","21","1","135","9","1","29","Midwest","3676","3722","16","426","16","436","Skip Barber Race Series","100","0","135"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","49942","49942","Brenden Baker","5","3","0","Running","-13.976","0","","1:09.792","1:09.080","21","21","4","123","7","1","30","Texas","4638","4651","13","177","14","248","Skip Barber Race Series","100","0","123"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","295288","295288","José I. Soria","3","5","0","Running","-17.914","0","","1:10.519","1:08.923","20","21","7","110","5","2","38","Iberia","3872","3886","13","153","13","173","Skip Barber Race Series","100","0","110"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","112871","112871","Paul M. Johnson","9","11","0","Running","-34.214","0","","1:11.295","1:09.835","18","21","0","98","3","3","23","Mid-South","1784","1838","14","239","14","270","Skip Barber Race Series","100","0","98"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","177646","177646","Jacob Abel","7","7","0","Running","-37.626","0","","1:11.457","1:09.884","17","21","4","86","1","2","23","Mid-South","2374","2396","6","244","6","274","Skip Barber Race Series","100","0","86"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","340002","340002","Gabriel Savoie3","11","13","0","Running","-40.644","0","","1:11.601","1:10.207","20","21","5","73","0","4","15","Canada","1753","1779","6","258","6","285","Skip Barber Race Series","100","0","73"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","310813","310813","Jack M Hall","12","14","0","Running","-46.298","0","","1:11.870","1:10.121","10","21","3","61","0","4","19","New Jersey","1725","1738","15","349","15","362","Skip Barber Race Series","100","0","61"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","386625","386625","Jose Dueñas Moyano","14","12","0","Running","-1 L","0","","1:12.562","1:10.061","13","20","5","49","0","6","38","Iberia","1763","1762","11","379","11","385","Skip Barber Race Series","100","0","49"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","357506","357506","Ricardo Cangas","8","8","0","Running","-1 L","0","","1:10.323","1:09.292","9","20","5","36","0","4","38","Iberia","2348","2315","15","359","15","362","Skip Barber Race Series","100","0","36"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","100885","100885","Jacob Loomis","10","9","32","Disconnected","-4 L","0","","1:15.450","1:09.563","9","17","9","24","0","3","30","Texas","2251","2206","11","317","11","315","Skip Barber Race Series","100","0","24"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","79495","79495","Gerardo Babio Ramos","1","1","0","Running","-5 L","0","","1:10.060","1:08.718","12","16","8","12","0","1","38","Iberia","7153","7004","18","266","18","248","Skip Barber Race Series","100","0","12"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","378773","378773","Giuseppe Genna","13","10","32","Disconnected","-19 L","0","","00.000","","","2","6","6","0","4","42","DE-AT-CH","1812","1753","9","160","9","151","Skip Barber Race Series","100","0","6"
